"label","title","author","journal","volume","number","pages","year","doi","abstract","n_duplicates","AbstractID","screener initials","include or exclude (note: exclude only if the abstract is unrelated to our topic, if you are unsure mark as include)","ecological scale (e.g. interspecific or intraspecific)","topic area (e.g. predator-prey, parasite-host, male-female, theoretical/modelling, review)"
"X.ISI.000469449100002","Transitivity and structural balance in marmot social networks","Wey, Tina W. and Jordan, Ferenc and Blumstein, Daniel T.","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY",73,"6",NA,2019,"10.1007/s00265-019-2699-3","Social relationships are composed of both positive (affiliative) and negative (agonistic) interactions, representing opposing effects. Social network theory predicts that positive relationships should be transitive; thus, the friend of a friend is more likely to be a friend. Further, when considering both positive and negative relationships jointly, structural balance theory predicts that certain configurations of positive and negative relationships in a triad are inherently less stable (unbalanced) and should tend to be eliminated. However, structural balance has been rarely examined in nonhuman social systems. We tested for transitivity and structural balance in social networks of socially flexible yellow-bellied marmots (Marmota flaviventer) and asked if group size, network density, or group composition affected the degree of structural balance. We found a consistent pattern of significant transitivity in positive interactions, some transitivity in negative interactions, and some evidence of structural balance. In particular, a weak definition of structural balance is probably more common than strong structural balance, which used a stricter definition of balance. Network size limited the ability to detect these social processes, and smaller networks were less likely to show significant transitivity or structural balance. The proportion of adult females in a group affected the level of transitivity but did not affect the degree of structural balance. Our study suggests that there are intriguing similarities in social processes across diverse animal societies and that studying triads and network motifs may help identify basic social mechanisms linking local to global structure.Significance statementSocial network theory predicts that basic social mechanisms should lead to similar structural properties across different societies. For example, positive relationships should be transitive (a friend of a friend is a friend), and certain combinations of positive and negative relationships represent conflict and should be unstable over time (e.g., a friend of a friend being an enemy is an unstable state). This latter theory, called structural balance, has rarely been examined in nonhuman societies; hence, we tested for transitivity and structural balance in groups of free-living yellow-bellied marmots. Positive interactions were generally transitive, but evidence for structural balance was inconsistent. Furthermore, group composition could affect network transitivity, and small network size (associated with few interactions) limits ability to detect significant patterns. Our results suggest that transitivity is fundamental in structuring positive relationships, while some forms of structural balance are present but not widespread.",1,"MA395","","","",""
"Doll2018","Interactions of spatial strategies producing generalization gradient and blocking: A computational approach","Doll, L. and Chavarriaga, R. and Guillot, A. and Khamassi, M.","PLoS Computational Biology",14,"4",NA,2018,"10.1371/journal.pcbi.1006092","We present a computational model of spatial navigation comprising different learning mechanisms in mammals, i.e., associative, cognitive mapping and parallel systems. This model is able to reproduce a large number of experimental results in different variants of the Morris water maze task, including standard associative phenomena (spatial generalization gradient and blocking), as well as navigation based on cognitive mapping. Furthermore, we show that competitive and cooperative patterns between different navigation strategies in the model allow to explain previous apparently contradictory results supporting either associative or cognitive mechanisms for spatial learning. The key computational mechanism to reconcile experimental results showing different influences of distal and proximal cues on the behavior, different learning times, and different abilities of individuals to alternatively perform spatial and response strategies, relies in the dynamic coordination of navigation strategies, whose performance is evaluated online with a common currency through a modular approach. We provide a set of concrete experimental predictions to further test the computational model. Overall, this computational work sheds new light on inter-individual differences in navigation learning, and provides a formal and mechanistic approach to test various theories of spatial cognition in mammals.  2018 Doll et al.",1,"MA211","","","",""
"X.ISI.000256307700020","Isolation of naturally associated bacteria of necromenic Pristionchus nematodes and fitness consequences","Rae, Robbie and Riebesell, Metta and Dinkelacker, Iris and Wang, Qiong and Herrmann, Matthias and Weller, Andreas M. and Dieterich, Christoph and Sommer, Ralf J.","JOURNAL OF EXPERIMENTAL BIOLOGY",211,"12","1927-1936",2008,"10.1242/jeb.014944","Nematodes and bacteria are major components of the soil ecosystem. Many nematodes use bacteria for food, whereas others evolved specialized bacterial interactions ranging from mutualism to parasitism. Little is known about the biological mechanisms by which nematode - bacterial interactions are achieved, largely because in the laboratory nematodes are often cultured under artificial conditions. We investigated the bacterial interactions of nematodes from the genus Pristionchus that have a strong association with scarab beetles. Pristionchus has a different feeding strategy than Caenorhabditis and meta-genomic 16S sequence analysis of Pristionchus individuals showed a diversity of living bacteria within the nematode gut and on the nematode cuticle. Twenty-three different bacterial strains were isolated from three Pristionchus - beetle associations and were used to study nematode - bacterial interactions under controlled laboratory conditions. We show a continuum of bacterial interactions from dissemination, to reduction in brood size and nematode mortality caused by bacteria derived from insect hosts. Olfactory discrimination experiments show distinct chemoattraction and fitness profiles of Pristionchus nematodes when exposed to different bacteria. For example, Pristionchus pacificus avoids Serratia marcescens possibly because of pathogenicity. Also, P. pacificus avoids Bacillus thuringiensis and insect pathogenic bacteria but is resistant to the human pathogens Staphylococcus aureus and Pseudomonas aeruginosa, unlike Caenorhabditis elegans. Pristionchus specifically recognize and respond to bacteria that cause ill health. Bringing the nematode - bacterial interaction into the laboratory allows detailed functional studies, including the genetic manipulation of the interaction in both nematodes and bacteria.",2,"MA226","","","",""
"X.ISI.A1996UP21900015","Experimental demonstration of no effect by the cleaner wrasse Labroides dimidiatus (Cuvier and Valenciennes) on the host fish Pomacentrus moluccensis (Bleeker)","Grutter, AS","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY",196,"01-Feb","285-298",1996,"10.1016/0022-0981(95)00135-2","To date, the benefits of cleaner fish to host fish have not been clearly identified. This study investigates the effect of the cleaner wrasse Labroides dimidiatus (Cuvier and Valenciennes) on the host damselfish Pomacentrus moluccensis (Bleeker) by excluding all cleaner fish from 8 reefs for 6 months at Lizard Island, Great Barrier Reef. The subsequent effect of cleaner removal on parasites (total number, number per category of parasite, and size of parasite) and host abundance was estimated and compared to control reefs where L. dimidiatus were not removed. Parasite loads of P. moluccensis were low (usually 0-3 per fish) on all reefs after the experiment, and were dominated by small copepod larvae (260-1370 mu m). The removal of L. dimidiatus had no detectable effect on the mean number of parasites per host, either across all parasite taxa combined or by each parasite taxon individually. Nor did I detect a difference in the mean size of the most abundant copepod species. There was, however, a significant difference in the mean number of parasites (combining all species) per fish among reefs irrespective of the presence of L. dimidiatus. This difference was not correlated with P. moluccensis abundance. The abundance of P. moluccensis declined during the experiment (7-33\%) but the decline did not differ among reefs with and without L. dimidiatus. This result suggests that P. moluccensis did not leave reefs and seek cleaning elsewhere, nor did this host suffer increased mortality in the absence of L. dimidiatus. The absence of any detectable effect of L. dimidiatus on the parasites of P. moluccensis is compatible with the selective feeding habits of L. dimidiatus. It is likely that factors other than ectoparasite removal motivate P. moluccensis to seek cleaning.",2,"MA134","","","",""
"X.ISI.000399639200029","Genetic and genomic evidence of niche partitioning and adaptive radiation in mountain pine beetle fungal symbionts","Alayon, Dario I. Ojeda and Tsui, Clement K. M. and Feau, Nicolas and Capron, Arnaud and Dhillon, Braham and Zhang, Yiyuan and Alamouti, Sepideh Massoumi and Boone, Celia K. and Carroll, Allan L. and Cooke, Janice E. K. and Roe, Amanda D. and Sperling, Felix A. H. and Hamelin, Richard C.","MOLECULAR ECOLOGY",26,"7, SI","2077-2091",2017,"10.1111/mec.14074","Bark beetles form multipartite symbiotic associations with blue stain fungi (Ophiostomatales, Ascomycota). These fungal symbionts play an important role during the beetle's life cycle by providing nutritional supplementation, overcoming tree defences and modifying host tissues to favour brood development. The maintenance of stable multipartite symbioses with seemingly less competitive symbionts in similar habitats is of fundamental interest to ecology and evolution. We tested the hypothesis that the coexistence of three fungal species associated with the mountain pine beetle is the result of niche partitioning and adaptive radiation using SNP genotyping coupled with genotype-environment association analysis and phenotypic characterization of growth rate under different temperatures. We found that genetic variation and population structure within each species is best explained by distinct spatial and environmental variables. We observed both common (temperature seasonality and the host species) and distinct (drought, cold stress, precipitation) environmental and spatial factors that shaped the genomes of these fungi resulting in contrasting outcomes. Phenotypic intraspecific variations in Grosmannia clavigera and Leptographium longiclavatum, together with high heritability, suggest potential for adaptive selection in these species. By contrast, Ophiostoma montium displayed narrower intraspecific variation but greater tolerance to extreme high temperatures. Our study highlights unique phenotypic and genotypic characteristics in these symbionts that are consistent with our hypothesis. By maintaining this multipartite relationship, the bark beetles have a greater likelihood of obtaining the benefits afforded by the fungi and reduce the risk of being left aposymbiotic. Complementarity among species could facilitate colonization of new habitats and survival under adverse conditions.",2,"MA163","","","",""
"X.ISI.000353378200024","Social cognition","Seyfarth, Robert M. and Cheney, Dorothy L.","ANIMAL BEHAVIOUR",103,NA,"191-202",2015,"10.1016/j.anbehav.2015.01.030","The social intelligence hypothesis argues that competition and cooperation among individuals have shaped the evolution of cognition in animals. What do we mean by social cognition? Here we suggest that the building blocks of social cognition are a suite of skills, ordered roughly according to the cognitive demands they place upon individuals. These skills allow an animal to recognize others by various means; to recognize and remember other animals' relationships; and, perhaps, to attribute mental states to them. Some skills are elementary and virtually ubiquitous in the animal kingdom; others are more limited in their taxonomic distribution. We treat these skills as the targets of selection, and assume that more complex levels of social cognition evolve only when simpler methods are inadequate. As a result, more complex levels of social cognition indicate greater selective pressures in the past. The presence of each skill can be tested directly through field observations and experiments. In addition, the same methods that have been used to compare social cognition across species can also be used to measure individual differences within species and to test the hypothesis that individual differences in social cognition are linked to differences in reproductive success. (C) 2015 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",2,"MA330","","","",""
"Vrublevska2015111","Personality and density affect nest defence and nest survival in the great tit","Vrublevska, J. and Krama, T. and Rantala, M.J. and Mierauskas, P. and Freeberg, T.M. and Krams, I.A.","Acta Ethologica",18,"2","111-120",2015,"10.1007/s10211-014-0191-7","Recent studies suggest that individual variation in behaviour of prey individuals may cause distinctive responses to nest predators and cooperation with conspecifics. We assessed individual differences during a novel object test and whether these responses were related to nest failure and survival of females during incubation. We additionally carried out experimental trials in natural field conditions using a stuffed pine marten, a principal nest predator, to test for a relationship between neophobia and mobbing predators. Our results show that antipredator responses of breeding great tits are dependent on their personality and personality type of neighbouring conspecifics. We found that neophilic individuals (those that rapidly resumed feeding of nestlings in the presence of a novel object) have an advantage over neophobic individuals (those that slowly resumed feeding of nestlings in the presence of a novel object) in their reproductive success, as measured in numbers of successful nests and of females that survived. Furthermore, neophilic-neophilic pairs exhibited stronger antipredator mobbing responses than neophobic-neophobic pairs. Results show that consistent individual differences in response against novel objects and antipredator behaviour are related, and that these responses are important predictors of nest failure in breeding great tits.  2014, Springer-Verlag Berlin Heidelberg and ISPA.",2,"MA275","","","",""
"Raulo2018388","Social behaviour and gut microbiota in red-bellied lemurs (Eulemur rubriventer): In search of the role of immunity in the evolution of sociality","Raulo, A. and Ruokolainen, L. and Lane, A. and Amato, K. and Knight, R. and Leigh, S. and Stumpf, R. and White, B. and Nelson, K.E. and Baden, A.L. and Tecot, S.R.","Journal of Animal Ecology",87,"2","388-399",2018,"10.1111/1365-2656.12781","Vertebrate gut microbiota form a key component of immunity and a dynamic link between an individual and the ecosystem. Microbiota might play a role in social systems as well, because microbes are transmitted during social contact and can affect host behaviour. Combining methods from behavioural and molecular research, we describe the relationship between social dynamics and gut microbiota of a group-living cooperative species of primate, the red-bellied lemur (Eulemur rubriventer). Specifically, we ask whether patterns of social contact (group membership, group size, position in social network, individual sociality) are associated with patterns of gut microbial composition (diversity and similarity) between individuals and across time. Red-bellied lemurs were found to have gut microbiota with slight temporal fluctuations and strong social group-specific composition. Contrary to expectations, individual sociality was negatively associated with gut microbial diversity. However, position within the social network predicted gut microbial composition. These results emphasize the role of the social environment in determining the microbiota of adult animals. Since social transmission of gut microbiota has the potential to enhance immunity, microbiota might have played an escalating role in the evolution of sociality.  2017 The Authors. Journal of Animal Ecology  2017 British Ecological Society",1,"MA328","","","",""
"Trillmich2010267","Parental care: Adjustments to conflict and cooperation","Trillmich, F.","Animal Behaviour: Evolution and Mechanisms",NA,NA,"267-298",2010,"10.1007/978-3-642-02624-9_10","In many species parental care is needed to rear offspring that survive to reproduce, a good measure of benefits in fitness terms. Such care may involve major costs to the individual. Balancing benefits and costs of care almost inevitably leads to tensions among individuals that provide and use the resource 'parental care'. Thus parental care and with it parental investment (i.e. the ultimate costs of care) is enacted in a game of conflict and cooperation. Using mostly examples from mammals, I discuss Tinbergen's four questions as they apply to parental care. Phylogenetic analyses of parental care are complicated by substantial intraspecific variability of this trait. Understanding the physiological and ontogenetic processes underlying parental care behaviour helps to understand how differences in the cost of care depend on the state of parents and their environment. A deeper insight into the strategies of conflict and cooperation in care can be derived from consideration of the behavioural mechanisms available to participants. 2010 Springer-Verlag Berlin Heidelberg. All rights reserved.",1,"MA271","","","",""
"Rodrguez.Ruano2015","The hoopoe's uropygial gland hosts a bacterial community influenced by the living conditions of the bird","Rodrguez-Ruano, S.M. and Martn-Vivaldi, M. and Martn-Platero, A.M. and Lpez-Lpez, J.P. and Peralta-Snchez, J.M. and Ruiz-Rodrguez, M. and Soler, J.J. and Valdivia, E. and Martnez-Bueno, M.","PLoS ONE",10,"10",NA,2015,"10.1371/journal.pone.0139734","Molecular methods have revealed that symbiotic systems involving bacteria are mostly based on whole bacterial communities. Bacterial diversity in hoopoe uropygial gland secretion is known to be mainly composed of certain strains of enterococci, but this conclusion is based solely on culture-dependent techniques. This study, by using culture-independent techniques (based on the 16S rDNA and the ribosomal intergenic spacer region) shows that the bacterial community in the uropygial gland secretion is more complex than previously thought and its composition is affected by the living conditions of the bird. Besides the known enterococci, the uropygial gland hosts other facultative anaerobic species and several obligated anaerobic species (mostly clostridia). The bacterial assemblage of this community was largely invariable among study individuals, although differences were detected between captive and wild female hoopoes, with some strains showing significantly higher prevalence in wild birds. These results alter previous views on the hoopoe-bacteria symbiosis and open a new window to further explore this system, delving into the possible sources of symbiotic bacteria (e.g. nest environments, digestive tract, winter quarters) or the possible functions of different bacterial groups in different contexts of parasitism or predation of their hoopoe host.  2015 Rodrguez-Ruano et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",1,"MA379","","","",""
