title,abstract,abstract.id,screener.id,decision,scale,topic
Bet hedging based cooperation can limit kin selection and form a basis for mutualism,"Mutualism is a mechanism of cooperation in which partners that differ help each other. As such, mutualism opposes mechanisms of kin selection and tag-based selection (for example the green beard mechanism), which are based on giving exclusive help to partners that are related or carry the same tag. In contrast to kin selection, which is a basis for parochialism and intergroup warfare, mutualism can therefore be regarded as a mechanism that drives peaceful coexistence between different groups and individuals. Here the competition between mutualism and kin (tag) selection is studied. In a model where kin selection and tag-based selection are dominant, mutualism is promoted by introducing environmental fluctuations. These fluctuations cause reduction in reproductive success by the mechanism of variance discount. The best strategy to counter variance discount is to share with agents who experience the most anticorrelated fluctuations, a strategy called bet hedging. In this way, bet hedging stimulates cooperation with the most unrelated partners, which is a basis for mutualism. Analytic results and simulations reveal that, if this effect is large enough, mutualistic strategies can dominate kin selective strategies. In addition, mutants of these mutualistic strategies that experience fluctuations that are more anticorrelated to their partner, can outcompete wild type, which can lead to the evolution of specialization. In this way, the evolutionary success of mutualistic strategies can be explained by bet hedging-based cooperation. (C) 2011 Elsevier Ltd. All rights reserved.",MA34,NM,include,intraspecific,theoretical/modelling; competition-cooperation
"Capuchin monkeys (Sapajus {[}Cebus] apella) play Nash equilibria in dynamic games, but their decisions are likely not influenced by oxytocin","Comparative approaches to experimental economics have shed light on the evolution of social decision-making across a range of primate species, including humans. Here we replicate our previous work looking at six pairs of capuchin monkeys' (Sapajus {[}Cebus] apella) responses to scenarios requiring both coordination (Assurance Game) and anti-coordination (Hawk-Dove Game). This then provides a foundation for assessing their responses to two additional games, one with a scenario of beneficial cooperation with a temptation to defect (Prisoner's Dilemma) and one with an environment requiring changing strategies within short temporal proximity (Alternating Economic Game). We additionally explored the effects of exogenous oxytocin on decision-making. Oxytocin did not affect decisions in any of our games. Results from the first two games largely replicated our previous findings. Responses to the Prisoner's Dilemma were more varied than was seen in previous games, with pairs respectively cooperating, defecting, and failing to establish stable strategies. Such variability indicates that this game may be a good assay for individual differences in social decision-making. Finally, capuchins were able to flexibly switch between their previously established strategies within each of the different games, even when the games were presented within the same session, requiring strategy adjustments within short temporal proximity. These results build on earlier findings showing that capuchins can alter decision-making strategies as the context demands, which is likely essential for decision-making in naturally occurring contexts.",MA39,NM,include,intraspecific,competition-cooperation; social decision making
Cell communities and robustness in development,"The robustness of patterning events in development is a key feature that must be accounted for in proposed models of these events. When considering explicitly cellular systems, robustness can be exhibited at different levels of organization. Consideration of two widespread patterning mechanisms suggests that robustness at the level of cell communities can result from variable development at the level of individual cells; models of these mechanisms show how interactions between participating cells guarantee community-level robustness. Cooperative interactions enhance homogeneity within communities of like cells and the sharpness of boundaries between communities of distinct cells, while competitive interactions amplify small inhomogeneities within communities of initially equivalent cells, resulting in fine-grained patterns of cell specialization. (C) 1997 Society for Mathematical Biology.",MA42,NM,exclude,,
"Chilli-briquettes modify the temporal behaviour of elephants, but not their numbers","Crop loss to foraging elephants is one of the most significant causes of conflict between people and elephants in areas where wild elephants share resources with people. Effective solutions to reduce the effects of human-elephant conflict on local livelihoods are thus essential to foster coexistence between elephants and people. We assessed the effectiveness of chilli-briquettes (bricks made of dry chilli, elephant dung and water) in altering elephants use of space in the eastern Okavango Panhandle, Botswana. We burned > 600 briquettes during the night over a 2-month period to test five treatments: Frequent burning of (1) chilli and (2) chilli-free briquettes, occasional burning of (3) chilli and (4) chilli-free briquettes, and (5) a control treatment. Using camera traps and footprint surveys we assessed the number of elephants that used experimental sites, and the times at which they did so. We found elephants changed their movement behaviour from predominantly nocturnal to diurnal in areas where chilli-briquettes were burned throughout the night; however, there was no difference in the mean numbers of individuals between treatments with and without chillies. In other words, chilli-briquettes had a repellent but not a deterrent effect on elephants, keeping them away only at times when chilli-briquettes were smouldering. Based on these findings we recommend the use of chilli-briquettes as a method to deter elephants in the short term. In the long term, chilli-briquettes should be applied in combination with other larger-scale mitigation approaches, such as land management and cooperative community-based tools.  2017 Fauna and Flora International.",MA45,NM,exclude,,
Coalitions destabilize dyadic dominance relationships in male Barbary macaques (Macaca sylvanus),"Dyadic agonistic dominance relationships are thought to result from asymmetries in both intrinsic and extrinsic power. One form of extrinsic power is the ability to solicit agonistic support from other individuals. In extreme cases extrinsic power differences may override intrinsic power differences so that physically inferior individuals attain rank positions above stronger competitors. In other cases superior extrinsic power in physically inferior individuals may destabilize the otherwise clear dominance relationships. We tested this prediction with observational data on adult males in one of three free-ranging groups of Barbary macaques at Affenberg Salem, Germany. All prime males that were subjects of this study were at least 5-8 years (average 10 years) younger than the old post-prime males that were all subordinate to them. Assuming large age differences to reflect large intrinsic/physical power differences, interactions between these prime and the old males allowed investigation of the separate effects of intrinsic and extrinsic power asymmetries on dominance relationships. We estimated relationship instability using four different estimates (counter aggression, conflicts initiated by aggression from the subordinate, spontaneous submissions by dominants, and decided conflicts won by the subordinate). Relationship instability did not decrease with increasing asymmetry in intrinsic power. Instead, all four measures of relationship instability were positively related to the number of times the dominant in a dyad was target of destabilizing coalitions. Destabilizing coalitions targeted dominant males in old male-prime male dyads more often than in old male-old male dyads. Consequently, old males had less stable relationships with the much stronger prime males than with each other. We conclude that extrinsic power asymmetries predicted the instability of dyadic dominance relationships and may systematically override intrinsic power asymmetries.",MA48,NM,include,intraspecific,competition-cooperation; social hierarchies/networks
Codivergence and multiple host species use by fig wasp populations of the Ficus pollination mutualism,"Background: The interaction between insects and plants takes myriad forms in the generation of spectacular diversity. In this association a species host range is fundamental and often measured using an estimate of phylogenetic concordance between species. Pollinating fig wasps display extreme host species specificity, but the intraspecific variation in empirical accounts of host affiliation has previously been underestimated. In this investigation, lineage delimitation and codiversification tests are used to generate and discuss hypotheses elucidating on pollinating fig wasp associations with Ficus. Results: Statistical parsimony and AMOVA revealed deep divergences at the COI locus within several pollinating fig wasp species that persist on the same host Ficus species. Changes in branching patterns estimated using the generalized mixed Yule coalescent test indicated lineage duplication on the same Ficus species. Conversely, Elisabethiella and Alfonsiella fig wasp species are able to reproduce on multiple, but closely related host fig species. Tree reconciliation tests indicate significant codiversification as well as significant incongruence between fig wasp and Ficus phylogenies. Conclusions: The findings demonstrate more relaxed pollinating fig wasp host specificity than previously appreciated. Evolutionarily conservative host associations have been tempered by horizontal transfer and lineage duplication among closely related Ficus species. Independent and asynchronistic diversification of pollinating fig wasps is best explained by a combination of both sympatric and allopatric models of speciation. Pollinator host preference constraints permit reproduction on closely related Ficus species, but uncertainty of the frequency and duration of these associations requires better resolution.",MA49,NM,include,interspecific,pollinator-plant
Collective action problem in heterogeneous groups,"I review the theoretical and experimental literature on the collective action problem in groups whose members differ in various characteristics affecting individual costs, benefits and preferences in collective actions. I focus on evolutionary models that predict how individual efforts and fitnesses, group efforts and the amount of produced collective goods depend on the groups size and heterogeneity, as well as on the benefit and cost functions and parameters. I consider collective actions that aim to overcome the challenges from nature or win competition with neighbouring groups of co-specifics. I show that the largest contributors towards production of collective goods will typically be group members with the highest stake in it or for whom the effort is least costly, or those who have the largest capability or initial endowment. Under some conditions, such group members end up with smaller net pay-offs than the rest of the group. That is, they effectively behave as altruists. With weak nonlinearity in benefit and cost functions, the group effort typically decreases with group size and increases with within-group heterogeneity. With strong nonlinearity in benefit and cost functions, these patterns are reversed. I discuss the implications of theoretical results for animal behaviour, human origins and psychology.  2015 The Author(s) Published by the Royal Society. All rights reserved.",MA52,NM,include,intraspecific,theoretical/modelling; competition-cooperation
Communal range defence in primates as a public goods dilemma,"Classic socio-ecological theory holds that the occurrence of aggressive range defence is primarily driven by ecological incentives, most notably by the economic defendability of an area or the resources it contains. While this ecological cost-benefit framework has great explanatory power in solitary or pair-living species, comparative work on group-living primates has always found economic defendability to be a necessary, but not sufficient condition to account for the distribution of effective range defence across the taxon. This mismatch between theory and observation has recently been ascribed to a collective action problem among group members in, what is more informatively viewed as, a public goods dilemma: mounting effective defence of a communal range against intrusions by outgroup conspecifics. We here further develop this framework, and report on analyses at three levels of biological organization: across species, across populations within a single lineage and across groups and individuals within a single population. We find that communal range defence in primates very rarely involves collective action sensu stricto and that it is best interpreted as the outcome of opportunistic and strategic individual-level decisions. Whether the public good of a defended communal range is produced by solitary, joint or collective action is thus the outcome of the interplay between the unique characteristics of each individual, local and current socio-ecological conditions, and fundamental life-history traits of the species.  2015 The Author(s) Published by the Royal Society. All rights reserved.",MA54,NM,include,both,theoretical/modelling; competition-cooperation
Community-wide consequences of sexual dimorphism: evidence from nectar microbes in dioecious plants,"Intraspecific trait variation is receiving renewed interest as a factor affecting the structure of multi-species communities within and across trophic levels. One pervasive form of intraspecific trait variation is sexual dimorphism in animals and plants, which might exert large effects particularly on the communities of host-associated organisms, but the extent of these effects is not well understood. We investigated whether host-associated microbial communities developed differently in the floral nectar of female and male individuals of the dioecious shrubs, Eurya emarginata and E.japonica. We found that nectar-colonizing microbes such as bacteria and fungi were more than twice as prevalent and, overall, more than 10 times as abundant in male flowers as in female flowers. Microbial species composition also differed between flower sexes. To examine potential mechanisms behind these differences, we manipulated the frequency of flower visitation by animals and the order of arrival of microbial species to nectar. Animal visitation frequency affected microbial communities more greatly in male flowers, while arrival order affected them more in female flowers. These sex-specific effects appeared attributable to differences in how animals and microbes altered the chemical characteristics of nectar that limited microbial growth. Taken together, our results provide evidence that sexual dimorphism can have large effects on the structure of host-associated communities.  2018 by the Ecological Society of America",MA56,NM,exclude,,
Competition in a group of equal foragers,"Using techniques from renewal process theory, we build a stochastic model for gain accumulation in a group of equal competitors foraging in a patchy environment. The model for gain of the individuals is based on the waiting times between subsequent prey encounters by the group. These waiting times depend on the number of foragers in the group. A single parameter of this dependency encompasses a variety of foraging scenarios, from cooperation to scramble. With constant patch size, correlations between gains of any pair of foragers are negative. This dependency is most intense in small groups. Increased variation in patch size makes correlations in gains between group members positive irrespective of the group size. For a solitary forager, variance in gain approaches zero with increasing time in the patch. For an individual member in a group, variance grows monotonically. Thus, depending on the patch departure rule controlling the time to be spent in the patch, solitary foragers may have a smaller variance in gain than members in a group. As solitary foragers also potentially harvest all prey in the patch, it is hard to believe that grouping behavior would evolve solely on the basis of foraging.",MA61,NM,exclude,,
COMPETITION VERSUS COOPERATION - SUCCESS OF INDIVIDUALS FORAGING ALONE AND IN GROUPS,"Using a variant of information-sharing models, we examine the pros and cons of group foraging against the alternative of staying alone. Models of this category-assuming that in groups food finding by one results in food sharing by many-conclude that patch-finding rate improves with group size. In our modification interference among individuals reduces pooled searching efficiency of the group. We introduce a term, s, the probability of an individual's being among the ones sharing the food in a patch found by the group. Not unexpectedly, these fine-tunings prolong food-finding rates that push individuals in the group toward the foraging status of a solitary individual. With phenotype-related differences in s, foraging in groups turns out to be a less profitable option the lower an individual is ranked in the group. The model suggests that, in terms of food finding, individuals have to pay attention to their performance in the foraging group. The option of foraging alone may easily be a better strategy than that of a low-ranking individual foraging in a group. If so, the model also suggests groups assorted by phenotype.",MA62,NM,include,intraspecific,theoretical/modelling; competition-cooperation; social hierarchies/networks; feeding-foraging
Competitive altruism: from reciprocity to the handicap principle,"Current work on cooperation is focused on the theory of reciprocal altruism. However, reciprocity is just one way of getting a return on an investment in altruism and is difficult to apply to many examples. Reciprocity theory addresses how animals respond dynamically to others so as to cooperate without being exploited. I discuss how introducing differences in individual generosity together with partner choice into models of reciprocity can lead to an escalation in altruistic behaviour. Individuals may compete for the most altruistic partners and non-altruists may become ostracized. I refer to this phenomenon as competitive altruism and propose that it can represent a move away from the dynamic responsiveness of reciprocity. Altruism may be rewarded in kind, but rewards may be indirectly accrued or may not involve the return of altruism at all, for example if altruists tend to be chosen as mates. This variety makes the idea of competitive altruism relevant to behaviours which cannot be explained by reciprocity. I consider whether altruism might act as a signal of quality, as proposed by the handicap principle. I suggest that altruistic acts could make particularly effective signals because of the inherent benefits to receivers. I consider how reciprocity and competitive altruism are related and how they may be distinguished.",MA63,NM,include,intraspecific,competition-cooperation; social hierarchies/networks
Complex network representation of multiagent systems with cooperative and competitive interactions,"The dynamic behavior of Multi-Agent Systems (MAS) is analyzed in the context of a modifed Lotka-Volterra model. The interaction strength is determined by the difference of agent sizes: as the difference increases, the interaction is weaker. Competitive and cooperative scenarios are analyzed, showing clusters of agents in the stationary state. However, meantime in the competitive scenario the agent sizes are constrained to be non greater than the capacity value ( = 1), in the cooperative scenario, they are allowed to exceed such capacity making clear the advantages of cooperation. The complex network representation is introduced in order to enhance the role of agent sizes and their one-on-one interactions in the dynamic behavior of the system.  2014 by the Author.",MA67,NM,include,both,theoretical/modelling; competition-cooperation; social hierarchies/networks; feeding-foraging
Conditional mutualism between allodynerus delphinalis (Hymenoptera: Vespidae) and ensliniella parasitica (Astigmata: Winterschmidtiidae) may determine maximum parasitic mite Infestation,"Mutualism is a prominent interaction within ecosystems, yet most may actually be conditional. The symbiotic mite, Ensliniella parasitica Vitzthum, ingests the hemolymph of juvenile potter wasps, Allodynerus delphinalis (Giraud), but also protects them from a natural enemy, Melittobia acasta, and is transported to new nests in host pockets specialized for this purpose (i.e., acarinaria). Thus, two different antagonisms from the mite may arise: commensalistic cheating is expected without the natural enemy of the host, and parasitism is predicted with excessive numbers of the mite. However, facultative parasitism mediated by mutualism has rarely been studied in any organism. We found no significant differences in juvenile mortality, nesting rate, or fecundity between mite-free and naturally mite-laden juveniles. However, when overloaded with mites (1.52.5 times more mites than the maximum number per wasp larva in the field), the developmental period of the male wasp was significantly delayed, and juvenile wasp mortality increased to 30%. These results show that mutualism mediated by parasitism may revert to parasitism, suggesting that either or both organisms in a mutualism mediated by parasitism need population control of the parasite to avoid the risk of parasitism.  2010 Entomological Society of America.",MA70,NM,include,interspecific,parasite-host
Context-dependent interactions of insects and defensive symbionts: insights from a novel system in siricid woodwasps,"Many insect species derive fitness benefits from associations with defensive microbial symbionts that confer protection against pathogens and parasites. These relationships are varied and diverse, but a number of studies highlight important trends. The effects of defensive symbionts can be context-dependent and influenced by variable selection imposed by the organism against which the symbiont protects. Additionally, genetic variation in both hosts and symbionts can greatly influence the outcome of these interactions. Here, we describe interactions between siricid woodwasps, their fungal symbionts and parasitic nematodes and show how defense by symbionts in this system is also context-dependent. The species or strain of the white rot fungus used as a symbiont by Sirex can influence parasitism of these hosts by Deladenus nematodes.  2019",MA73,NM,include,interspecific,parasite-host; microbial symbiont
Cooperation and conflict in the evolution of multicellularity,"Multicellular organisms probably originated as groups of cells formed in several ways, including cell proliferation from a group of founder cells and aggregation. Cooperation among cells benefits the group, but may be costly (altruistic) or beneficial (synergistic) to individual cooperating cells. In this paper, we study conflict mediation, the process by which genetic modifiers evolve that enhance cooperation by altering the parameters of development or rules of formation of cell groups. We are particularly interested in the conditions under which these modifiers lead to a new higher-level unit of selection with increased cooperation among group members and heritable variation in fitness at the group level. By sculpting the fitness variation and opportunity for selection at the two levels, conflict modifiers create new functions at the organism level. An organism is more than a group of cooperating cells related by common descent; organisms require adaptations that regulate conflict within. Otherwise their continued evolution is frustrated by the: creation of within-organism variation and conflict between levels of selection. The evolution of conflict modifiers is a necessary prerequisite to the emergence of individuality and the continued well being of the organism. Conflict leads - through the evolution of adaptations that reduce it - to greater individuality and harmony for the organism.",MA78,NM,exclude,,
Cooperation in humans: competition between groups and proximate emotions,"Understanding the ultimate and proximate mechanisms that favour cooperation remains one of the greatest challenges in the biological and social sciences. A number of theoretical studies have suggested that competition between groups may have played a key role in the evolution of cooperation within human societies, and similar ideas have been discussed for other organisms, especially cooperative breeding vertebrates. However, there is a relative lack of empirical work testing these ideas. Our experiment found, in public goods games with humans, that when groups competed with other groups for financial rewards, individuals made larger contributions within their own groups. In such situations, participants were more likely to regard their group mates as collaborators rather than competitors. Variation in contribution among individuals, either with or without intergroup competition, was positively correlated with individuals' propensity to regard group mates as collaborators. We found that the levels of both guilt and anger individuals experienced were a function of their own contributions and those of their group mates. Overall, our results arc consistent with the idea that the level of cooperation can be influenced by proximate emotions, which vary with the degree of intergroup competition. (C) 2010 Elsevier Inc. All rights reserved.",MA79,NM,include,interspecific,competition-cooperation; social hierarchies/networks
