title,abstract,abstract.id,screener.id,decision,scale,topic,notes
Ant stoichiometry: elemental homeostasis in stage-structured colonies,"1. Organisms facing variation in food quality maintain elemental composition within limited bounds. Such stoichiometric homeostasis has often been considered a species-specific parameter, but stoichiometry can also vary intraspecifically across life stages, sexes and sizes. In colonial organisms with overlapping generations, stoichiometric variation among stages could lead to flexibility in colony-level elemental composition due to changes in internal demography 2. We examine how the balance of energy (sucrose) and nutrients (prey) affects growth rate and carbon : nitrogen : phosphorus (C : N : P) homeostasis in a eusocial insect, the pavement ant Tetramorium caespitum. 3. Colony growth depended heavily on prey availability. However, sucrose scarcity led to higher worker mortality and production of smaller workers, suggesting sucrose availability will affect colony-level performance in a competitive environment. 4. In contrast, C : N : P stoichiometry of larvae, pupae, and workers varied mostly with sucrose availability. Biomass P content within life stages was lower in colonies receiving less access to sucrose. We suggest this difference arose primarily from shifts in individual ant mass coupled with negative P-body mass relationships. 5. Life stages differed considerably in elemental composition, and resource conditions affected colony stage structure. Nevertheless, variation in colony-level stoichiometry primarily reflected compositional differences within stages rather than shifts in internal demography.",MA17,KJB,exclude,,,
Rapid evolution of symbiont-mediated resistance compromises biological control of aphids by parasitoids,"There is growing interest in biological control as a sustainable and environmentally friendly way to control pest insects. Aphids are among the most detrimental agricultural pests worldwide, and parasitoid wasps are frequently employed for their control. The use of asexual parasitoids may improve the effectiveness of biological control because only females kill hosts and because asexual populations have a higher growth rate than sexuals. However, asexuals may have a reduced capacity to track evolutionary change in their host populations. We used a factorial experiment to compare the ability of sexual and asexual populations of the parasitoid Lysiphlebus fabarum to control caged populations of black bean aphids (Aphis fabae) of high and low clonal diversity. The aphids came from a natural population, and one-third of the aphid clones harbored Hamiltonella defensa, a heritable bacterial endosymbiont that increases resistance to parasitoids. We followed aphid and parasitoid population dynamics for 3months but found no evidence that the reproductive mode of parasitoids affected their effectiveness as biocontrol agents, independent of host clonal diversity. Parasitoids failed to control aphids in most cases, because their introduction resulted in strong selection for clones protected by H.defensa. The increasingly resistant aphid populations escaped control by parasitoids, and we even observed parasitoid extinctions in many cages. The rapid evolution of symbiont-conferred resistance in turn imposed selection on parasitoids. In cages where asexual parasitoids persisted until the end of the experiment, they became dominated by a single genotype able to overcome the protection provided by H.defensa. Thus, there was evidence for parasitoid counteradaptation, but it was generally too slow for parasitoids to regain control over aphid populations. It appears that when pest aphids possess defensive symbionts, the presence of parasitoid genotypes able to overcome symbiont-conferred resistance is more important for biocontrol success than their reproductive mode.  2017 The Authors. Evolutionary Applications published by John Wiley & Sons Ltd",MA297,KJB,exclude,interspecific,Parasite-host,
Feather mite abundance varies but symbiotic nature of mite-host relationship does not differ between two ecologically dissimilar warblers,"Feather mites are obligatory ectosymbionts of birds that primarily feed on the oily secretions from the uropygial gland. Feather mite abundance varies within and among host species and has various effects on host condition and fitness, but there is little consensus on factors that drive variation of this symbiotic system. We tested hypotheses regarding how within-species and among-species traits explain variation in both (1) mite abundance and (2) relationships between mite abundance and host body condition and components of host fitness (reproductive performance and apparent annual survival). We focused on two closely related (Parulidae), but ecologically distinct, species: Setophaga cerulea (Cerulean Warbler), a canopy dwelling open-cup nester, and Protonotaria citrea (Prothonotary Warbler), an understory dwelling, cavity nester. We predicted that feather mites would be more abundant on and have a more parasitic relationship with P.citrea, and within P.citrea, females and older individuals would harbor greater mite abundances. We captured, took body measurements, quantified feather mite abundance on individuals primaries and rectrices, and monitored individuals and their nests to estimate fitness. Feather mite abundance differed by species, but in the opposite direction of our prediction. There was no relationship between mite abundance and any measure of body condition or fitness for either species or sex (also contrary to our predictions). Our results suggest that species biology and ecological context may influence mite abundance on hosts. However, this pattern does not extend to differential effects of mites on measures of host body condition or fitness.  2017 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.",MA143,KJB,exclude,interspecific,Parasite-host,
Potential for endophyte symbiosis to increase resistance of the native grass Poa alsodes to invasion by the non-native grass Microstegium vimineum,"Microbial symbionts can improve the competitive ability and stress tolerance of plant hosts and thus may enhance native plant resistance against invaders. We investigated whether symbiosis between a native grass, Poa alsodes, and a fungal endophyte (Neotyphodium sp.) improved the grass's ability to compete against Microstegium vimineum (Japanese stiltgrass), a common invader in the eastern USA. We challenged naturally endophyte-symbiotic and experimentally endophyte-free P. alsodes plants with the invader. In the first experiment, we manipulated symbiosis and water availability to test for context-dependency in symbiont benefits. In the second experiment, we manipulated symbiosis and M. vimineum diversity (the number of invader populations), since greater intraspecific diversity is expected to improve invasion success and might alter the efficacy of symbiosis in invasion resistance. In both experiments, presence of the endophyte reduced the per plant biomass of M. vimineum and increased P. alsodes biomass. We found no evidence that benefits of the symbiont depended on water availability, and population-level diversity had a minor influence on M. vimineum: inflorescence number showed a parabolic relationship with increasing numbers of M. vimineum populations. Overall, symbiosis in the native grass had stronger effects on invader growth than either water availability or invader genetic diversity. Our results suggest that endophyte symbioses in native plants can increase host performance against an invader, although this conclusion needs confirmation in more complex field settings where other important factors, such as herbivores and fluctuating abiotic conditions, come into play.  Springer Science+Business Media B.V. 2011.",MA291,KJB,include,interspecific,"Plant-symbiont, invasion, experiment",
Symbiont dynamics and strain diversity in the defensive mutualism between Lagria beetles and Burkholderia,"Defensive mutualisms are often facultative in nature, and their evolutionary dynamics can be shaped by changes in local antagonist communities or arms races with coevolving antagonists. Under these conditions, selection may favour hosts that flexibly acquire symbionts producing compounds with bioactivity against current antagonists. Here, we study the prevalence, dynamics and strain diversity of Burkholderia gladioli bacteria in Lagria beetles, a recently described protective symbiosis involving vertical transmission and antifungal defense for the host eggs. In Lagria hirta, we investigate the fate of the bacteria during the host life cycle. Despite a transmission route relying solely on the females, the bacteria are present in both sexes during the larval stage, suggesting a potentially multifaceted defensive role. In L. hirta and L. villosa adults, culture-dependent and -independent techniques revealed that individual beetles harbour diverse Burkholderia strains from at least two different phylogenetic clades, yet all closely related to free-living B. gladioli. Interestingly, rearing the beetles in the laboratory strongly impacted symbiont strain profiles in both beetle species. Our findings highlight the dynamic nature of the B. gladioli-Lagria symbiosis and present this as a valuable system for studying multiple strain coinfections, as well as the evolutionary and ecological factors regulating defensive symbiosis.  2017 Society for Applied Microbiology and John Wiley & Sons Ltd",MA357,KJB,exclude,interspecific,gladioli bacteria-beetles,
Facultative sex ratio adjustment by western bluebird mothers with stay-at-home helpers-at-the-nest,"Although population sex ratios rarely deviate from unity, the sex ratio of individual mothers should be labile, allowing them to bias their sex ratios in favour of the more successful sex when they can expect a difference in the mean reproductive value of their daughters and sons. just how mothers should bias sex allocation is particularly complicated in cooperative breeders, because the adaptive sex ratio may be influenced by conflicting impacts of helpers on their parents' fitness via `local resource enhancement' and `local resource competition'. In western bluebirds, Sialia mexicana, breeding-age helpers-at-the-nest are exclusively male and increase their parents' nesting success in the current year. As such, they are viewed as helpers, not hinderers, even though by failing to gain a breeding position they reduce their parents' annual inclusive fitness below that of parents with a breeding son. In this study, I tested the hypothesis that nonbreeding, stay-at-home helpers indicate poor breeding prospects for locally competing sons, and investigated one prediction of this hypothesis that such helpers also indicate a tendency for parents to produce substandard sons. A female removal experiment showed that female mates were in short supply. Pairs had daughter-biased broods when they had a stay-at-home helper son that failed to get a mate in the first place, but not when they had a helper that had been breeding on his own, but returned home to help sometime after his mother finished laying her eggs. Stay-at-home sons were not developmentally delayed relative to breeders of the same cohort, suggesting that helpers may not be inferior to breeders. Although the population sex ratio fluctuates about unity, a multiyear data set showed a negative relationship between the frequency of helping and the annual brood sex ratio for the population. These results suggest that local resource competition outweighs local resource enhancement in driving individual and population sex ratio variation in western bluebirds, a pattern that would not be predicted based on the simple question of whether helpers help or hinder at the nest. (C) 2004 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",MA141,KJB,exclude,intraspecific,"competition, sex ratio",
Female home range size is regulated by resource distribution and intraspecific competition: a long-term field study,"The size of an individual's home range is an important feature, influencing reproduction and survival, but it can vary considerably among both populations and individuals. The factors accounting for such variation are still poorly understood, and comprehensive long-term field studies considering various environmental factors that influence home range size are rare. We investigated the effects of seasonality, availability of food, cover, number of direct neighbours and the relative individual body mass on home range sizes in 125 adult female striped mice, Rhabdomys pumilio, in South Africa from 2004 to 2008. We used radiotelemetry to estimate home range sizes, trapping to determine the number of direct neighbours, and plant surveys in every home range to determine availability of food and cover. Home ranges were smaller when food quantity was high, many territorial neighbours were present, females had a relatively small body mass and during the nonbreeding season. We conclude that the availability of food resources and intraspecific competition are the main factors influencing home range size in female striped mice. Females enlarged their home ranges when territorial neighbours were few, and there was a significant positive correlation between home range size and quantity of food plants. This indicates that home range size might not reflect the minimal trade-off between access to resources that allow for a female's survival and lowest cost for defending and foraging in that area. Instead, we propose a hypothesis for future research that female striped mice occupy areas several times larger than needed to improve their fitness by providing resources for future offspring. (C) 2009 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",MA146,KJB,exclude,intraspecific,"competition, field study",
Heritable variation in prey defence provides refuge for subdominant predators,"Generalist predators with broadly overlapping niches commonly coexist on seemingly identical sets of prey. Here, we provide empirical demonstration that predators can differentially exploit fine-grained niches generated by variable, heritable and selective defences within a single prey species. Some, but not all, clones of the aphid Aphis craccivora are toxic towards the dominant invasive predatory ladybeetle, Harmonia axyridis. However, other less competitive ladybeetle species are not affected by the aphid's toxic trait. In laboratory and open field experiments, we show: (i) that subdominant ladybeetle species were able to exploit the toxic aphids, benefitting from the suppression of the dominant predator; and (ii) that this narrow-spectrum toxicity can function as an anti-predator defence for the aphid, but depends on enemy community context. Our results demonstrate that niche differentiation among generalist predators may hinge upon previously underappreciated heritable variation in prey defence, which, in turn, may promote diversity and stability of enemy communities invaded by a dominant predator.",MA175,KJB,include,interspecific,Predator-prey,"not sure if variation also shifts the interaction, but worth scanning through the paper!"
Inducible defence and the social evolution of herd immunity,"Many organisms vary their level of investment in defensive characters. Protective traits may be induced upon exposure to predators or parasites. In a similar way, humans vaccinate in response to threatening epidemics. When most group members defend themselves, epidemics die out quickly because parasites cannot spread. A high level of group (herd) immunity is therefore beneficial to the group. There is, however, a well-known divergence between the optimum degree of induction for selfish individuals and the level of induction that maximizes group benefit. I develop two optimality models for the frequency of induction. The first model shows that higher relatedness favours more induction and a smaller difference between selfish and cooperative optima. The second model assumes variation in the vigour of individuals and therefore differences in the relative cost for induction. The model predicts that strong individuals induce more easily than weak individuals. Small differences in vigour cause a large divergence in the optimal levels of induction for strong and weak individuals. The concept of genetic relatedness in an evolutionary model is analogous to correlated interests and correlated strategies in an economic model of human behaviour. The evolutionary models presented here therefore provide a basis for further study of human vaccination.",MA204,KJB,include,interspecific,"Host-parasite, modelling","Last part seems most interesting: small differences in vigour leading to differences in optimal level of induction. However, it is unclear currently whether the small differences supposedly occur in multiple individuals in the same population, or whether they describe differences between two (in themselves homgeneous) populations."
Some evolutionary aspects of the food-procuring group behavior in phylogenesis of primates,"The peculiarities were studied of the intragroup competitive and cooperative behavior of primates differing by the level of phylogenetic development, beginning from low-organized species of the higher primates to high-organized anthropoid monkeys (Callithrix jacchus, Cebus apella, Macaca mulatto, Papio hamaofrijas, Pan troglodytes). It has been shown that in all monkeys, under conditions of competitive feeding situation, there were changes of the complex behavioral forms observed at individual learning. Under conditions of the activity in pairs, the females of platyrrhine (New World) and lower narrow-nose (Old World) monkeys lost the possibility to realize the skill and food needs, so the programmed tasks were solved predominantly by the males. In chimpanzees, the change of indices of instrumental activity involved to the equal degree the male and female, and solution of the alternation task was higher in individual experiments. The age differences were revealed in the competitive behavior of chimpanzees in group. The realization of formed skills depended on the complex of factors including the requirements dominating in the given situation and the age and typological peculiarities, as well as the social rank of each monkey in the community. In rhesus macaques the capability for cooperative interaction was revealed under conditions of complex operant activity.",MA342,KJB,exclude,intraspecific,,
Feeding repellence in Antarctic bryozoans,"The Antarctic sea star Odontaster validus and the amphipod Cheirimedon femoratus are important predators in benthic communities. Some bryozoans are part of the diet of the asteroid and represent both potential host biosubstrata and prey for this omnivorous lysianassid amphipod. In response to such ecological pressure, bryozoans are expected to develop strategies to deter potential predators, ranging from physical to chemical mechanisms. However, the chemical ecology of Antarctic bryozoans has been scarcely studied. In this study we evaluated the presence of defenses against predation in selected species of Antarctic bryozoans. The sympatric omnivorous consumers O. validus and C. femoratus were selected to perform feeding assays with 16 ether extracts (EE) and 16 butanol extracts (BE) obtained from 16 samples that belonged to 13 different bryozoan species. Most species (9) were active (12 EE and 1 BE) in sea star bioassays. Only 1 BE displayed repellence, indicating that repellents against the sea star are mainly lipophilic. Repellence toward C. femoratus was found in all species in different extracts (10 EE and 12 BE), suggesting that defenses against the amphipod might be both lipophilic and hydrophilic. Interspecific and intraspecific variability of bioactivity was occasionally detected, suggesting possible environmental inductive responses, symbiotic associations, and/or genetic variability. Multivariate analysis revealed similarities among species in relation to bioactivities of EE and/or BE. These findings support the hypothesis that, while in some cases alternative chemical or physical mechanisms may also provide protection, repellent compounds play an important role in Antarctic bryozoans as defenses against predators.  2013 Springer-Verlag Berlin Heidelberg.",MA145,KJB,exclude,,,
