title,abstract,abstract.id,screener.id,decision,scale,topic
Large-scale regional variation in cooperation and conflict among queens of the desert ant Messor pergandei,"To determine the extent and geographical distribution of alternative social systems in the desert ant Messor pergandei, we conducted a large-scale study within the species' range in the United States. We found that that queen social behaviours are extraordinarily diverse, resulting in three distinct colony social systems distributed in different geographical regions. Experiments show that these differences arise from variation in queen behaviours at two distinct times in the colony life cycle, and are likely to result from underlying genetic differences between regions. Results from our population genetics analyses and the biogeography of the Mojave and Sonoran Deserts suggest that the different queen social behaviours may have evolved in previously isolated populations, with their current distributions explained in part by subsequent range expansions rather than local adaptation in situ. However, regions with alternative social forms currently meet in contact zones where gene flow and natural selection on alternative social systems should occur. The degree of geographical variation in social behaviours exhibited by M. pergandei results in an opportunity to study the role that gene flow, local adaptation, genetic drift and past history can play in the evolution of behaviour.  2012 The Association for the Study of Animal Behaviour.",MA228,MW,include,intraspecific,cooperation/conflict
Evolutionary conserved neural signature of early life stress affects animal social competence,"In vertebrates, the earlysocial environment can persistently influence behaviour and social competence later in life. However, the molecular mechanisms underlying variation in animal social competence are largely unknown. In rats, high-quality maternal care causes an upregulation of hippocampal glucocorticoid receptors (gr) and reduces offspring stress responsiveness. This identifies gr regulation as a candidate mechanism for maintaining variation in animal social competence. We tested this hypothesis in a highly social cichlid fish, Neolamprologus pulcher, reared with or without caring parents. We find that the molecular pathway translating early social experience into later-life alterations of the stress axis is homologous across vertebrates: fish reared with parents expressed the glucocorticoid receptor gr1 more in the telencephalon. Furthermore, expression levels of the transcription factor egr-1 (early growth response 1) were associated with gr1 expression in the telencephalon and hypothalamus. When blocking glucocorticoid receptors (GR) with an antagonist, mifepristone (RU486), parent-reared individuals showed more socially appropriate, submissive behaviour when intruding on a larger conspecifics territory. Remarkably, mifepristone-treated fish were less attacked by territory owners and had a higher likelihood of territory takeover. Our results indicate that early social-environment effects on stress axis programming are mediated byan evolutionary conservedmolecular pathway,which is causally involved in environmentally induced variation of animal social competence.  2018 The Author(s) Published by the Royal Society. All rights reserved.",MA132,MW,exclude,,
The nature and taxonomic composition of coral symbiomes as drivers of performance limits in scleractinian corals,"All plants and animals host complex communities of taxonomically diverse microbial assemblages (viruses, Archaea, Bacteria, micro-eukaryotes) that contribute to the functional attributes of the host organism. Scleractinian corals represent particularly provocative subjects for study in this context because they are morphologically complex and associate with a broad diversity of macro invertebrates and vertebrates as well as microorganisms. Representatives of all these taxonomic groupings have been shown to contribute to the function of corals through direct or indirect provisioning and cycling of nutrients, waste removal, defense, and stress tolerance, traits that influence the fitness and environmental thresholds of individual coral colonies. How the taxonomic composition, functional limits and interactive nature of members of these communities vary among and within host species, and scale up to influence community level processes that drive ecosystem structure and function through time and space is unknown; these communities are, however, taxonomically variable among individual corals. Here we draw on the published literature to discuss the ecological and functional significance of the broad and variable taxonomic symbioses found closely associated with corals. Using a comparative approach, we hypothesize that the intra-specific and inter-specific variations in response of corals to environmental disturbance is linked to differences in the specificity, nature and composition of these symbiotic assemblages and reflect variation in the architectural complexity (micro and macro) and capacity of corals to provision habitat. We describe individual coral colonies as symbiomes, unique micro-ecosystems bounded by the physical limits of the coral colony whose performance limits reflect the taxonomic range of the associates (micro and macro) found within the colony. We explicitly recognize the fact that corals represent complex ecological communities composed of organisms that have the potential to compete, as well as interact with one another and the host as commensals, mutualists and parasites, states that likely to be dynamic with nature, context and environment. (C) 2011 Elsevier B.V. All rights reserved.",MA381,MW,include,interspecific,"Host-symbiont, review"
Diversity of algal endosymbionts (zooxanthellae) in octocorals: The roles of geography and host relationships,"The presence, genetic identity and diversity of algal endosymbionts (Symbiodinium) in 114 species from 69 genera (20 families) of octocorals from the Great Barrier Reef (GBR), the far eastern Pacific (EP) and the Caribbean was examined, and patterns of the octocoral-algal symbiosis were compared with patterns in the host phylogeny. Genetic analyses of the zooxanthellae were based on ribosomal DNA internal transcribed spacer 1 (ITS1) region. In the GBR samples, Symbiodinium clades A and G were encountered with A and G being rare. Clade B zooxanthellae have been previously reported from a GBR octocoral, but are also rare in octocorals from this region. Symbiodinium G has so far only been found in Foraminifera, but is rare in these organisms. In the Caribbean samples, only Symbiodinium clades B and C are present. Hence, Symbiodinium diversity at the level of phylogenetic clades is lower in octocorals from the Caribbean compared to those from the GBR. However, an unprecedented level of ITS1 diversity was observed within individual colonies of some Caribbean gorgonians, implying either that these simultaneously harbour multiple strains of clade B zooxanthellae, or that ITS1 heterogeneity exists within the genomes of some zooxanthellae. Intracladal diversity based on ITS should therefore be interpreted with caution, especially in cases where no independent evidence exists to support distinctiveness, such as ecological distribution or physiological characteristics. All samples from EP are azooxanthellate. Three unrelated GBR taxa that are described in the literature as azooxanthellate (Junceella fragilis, Euplexaura nuttingi and Stereonephthya sp. 1) contain clade G zooxanthellae, and their symbiotic association with zooxanthellae was confirmed by histology. These corals are pale in colour, whereas related azooxanthellate species are brightly coloured. The evolutionary loss or gain of zooxanthellae may have altered the light sensitivity of the host tissues, requiring the animals to adopt or reduce pigmentation. Finally, we superimposed patterns of the octocoral-algal symbiosis onto a molecular phylogeny of the host. The data show that many losses/gains of endosymbiosis have occurred during the evolution of octocorals. The ancestral state (azooxanthellate or zooxanthellate) in octocorals remains unclear, but the data suggest that on an evolutionary timescale octocorals can switch more easily between mixotrophy and heterotrophy compared to scleractinian corals, which coincides with a low reliance on photosynthetic carbon gain in the former group of organisms.  2005 Blackwell Publishing Ltd.",MA96,MW,exclude,,
Evolution of equal division among unequal partners,"One of the hallmarks of human fairness is its insensitivity to power: although strong individuals are often in a position to coerce weak individuals, fairness requires them to share the benefits of cooperation equally. The existence of such egalitarianism is poorly explained by current evolutionary models. We present a model based on cooperation and partner choice that can account for the emergence of a psychological disposition toward fairness, whatever the balance of power between the cooperative partners. We model the evolution of the division of a benefit in an interaction similar to an ultimatum game, in a population made up of individuals of variable strength. The model shows that strong individuals will not receive any advantage from their strength, instead having to share the benefits of cooperation equally with weak individuals at the evolutionary equilibrium, a result that is robust to variations in population size and the proportion of weak individuals. We discuss how this model suggests an explanation for why egalitarian behaviors toward everyone, including the weak, should be more likely to evolve in humans than in any other species.",MA126,MW,include,intraspecific,"cooperation/conflict, modeling"
The effects of behavioral plasticity and leadership on the predictions of optimal skew models,"Skew models predict how reproduction or resources produced by the group are divided between dominant and subordinate group members. These include transactional models, in which one group member may allocate some group productivity to another to prevent group dissolution and tug-of-war inefficiency models, in which group members compete for access to resources at a cost to group productivity. Although skew models involve a transactional or competitive interaction among group members, most existing models do not allow individuals to respond to new information about the strategy of their group mate. Here, I expand transactional and tug-of-war models to allow one individual (the follower) to respond plastically to a fixed strategy of its partner (the leader). I solve for the Stackelberg equilibrium conditions for each model. For the transactional model, leadership results in a greater share of group productivity to the leader compared with models that do not include leadership. When the follower's information about the leader's strategy is perfect, the equilibrium division of productivity does not vary with relatedness, in contrast to the predictions of previous skew models, and the effects of ecological variables may change. In the tug-of-war model, leadership influences equilibrium investment in competition only if relatedness is greater than zero. Dominant leaders receive a larger share of group productivity, but group productivity declines and grouping is mutually beneficial over a smaller parameter range than in the absence of leadership. Subordinate leaders receive a smaller share of group productivity, but benefit from overall higher group productivity.",MA371,MW,exclude,,
Dominant and subordinate outside options alter help and eviction in a pay-to-stay negotiation model,"In several cooperatively breeding species, subordinates that do not help sufficiently are punished or evicted from the group by dominant individuals. The credibility of dominant eviction threats may vary with the social context beyond the group level: when subordinates can easily breed in a neighboring territory, dominants may be less able to demand help from subordinates. Further, dominant ability to enforce subordinate cooperation may be reduced when it is difficult to replace evicted subordinates or in small groups where each subordinate makes a large contribution to group productivity. Here, we develop a 2-player game theoretic model to examine how the social context influences subordinate help and the threshold of help at which dominants evict subordinates. In contrast to predictions, we found that dominants demand more help when dominants are less able to replace evicted subordinates, suggesting that dominants punish a dereliction of helping behavior more strongly when they are unable to compensate for the loss of an evicted subordinate. In single sealed-bid games, subordinates help less than the fitness costs they impose on dominants and help does not vary with subordinate breeding opportunities outside the group. However, when subordinates can plastically increase help in response to demanding dominants (akin to pay-to-stay dynamics), subordinates provide more help overall, but decrease their help as breeding opportunities outside of the group increase. Our results demonstrate the importance of incorporating negotiation into theoretical models of helping strategies and demonstrate that plasticity is a key mechanism underlying pay-to-stay mechanisms of cooperation.",MA108,MW,exclude,,
"Trade-offs between social learning and individual innovativeness in common marmosets, Callithrix jacchus","Social learning and innovation are two different ways to acquire novel behaviours, and the form of the relationship between these two processes strongly affects cultural evolution. Whereas modelling results suggest a negative correlation between the two processes within a species, comparative data show, and the cultural intelligence hypothesis predicts, positive covariation across species. Thus, there is considerable uncertainty about the form of the relationship between social learning and innovation. We explored this problem experimentally in common marmosets. Social learning of 18 subjects was assessed by presenting a video clip of a conspecific demonstrator solving a complex foraging task and comparing their success to a control group. For the same subjects, the propensity to innovate was assessed with two tasks that operationalize different types of innovation: (1) a multistage problem-solving task to estimate goal-directed Type I innovation, that is, the ability to find a solution to a novel problem or a novel solution to an old problem, and (2) a flexibility task testing for more incidental Type II innovation, that is, the propensity to realize and switch to a novel, but easier solution after the establishment of a well-learned solution. Social learning was negatively correlated with Type II innovation, but not with Type I innovation. We discuss these results with regard to competition within an individual of the various attentional processes aimed at conspecifics' behaviour or aspects of the environment, and whether they might be the result of the cooperative breeding system shared by humans and callitrichids. (C) 2009 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",MA392,MW,exclude,,
"Evidence for personality conformity, not social niche specialization in social jays","Animal personality traits are defined as consistent individual differences in behavior over time and across contexts. Occasionally this inflexibility results in maladaptive behavioral responses to external stimuli. However, in social groups inflexible behavioral phenotypes might be favored as this could lead to more predictable social interactions. Two hypotheses seek to describe the optimal distribution of personality types within groups. The social niche specialization hypothesis states that individuals within groups should partition social roles, like personality types, to avoid conflict; whereas the conformity hypothesis states that individuals should assort with conspecifics of similar personality. However, no research so far has compared these hypotheses using data from wild animal systems. We tested boldness in the wild on 2 species with different social systems, the Mexican Jay and California Scrub-Jay. We found support for the conformity hypothesis over the social niche specialization hypothesis because individuals within groups of the social species had more similar personalities, and consequently there was a statistically significant group effect. The most likely mechanism for this conformity is social learning of behaviors through development, but more explicit research on this is needed.",MA122,MW,exclude,,
Accelerated microevolution in an outer membrane protein (OMP) of the intracellular bacteria Wolbachia,"Background. Outer membrane proteins (OMPs) of Gram-negative bacteria are key players in the biology of bacterial-host interactions. However, while considerable attention has been given to OMPs of vertebrate pathogens, relatively little is known about the role of these proteins in bacteria that primarily infect invertebrates. One such OMP is found in the intracellular bacteria Wolbachia, which are widespread symbionts of arthropods and filarial nematodes. Recent experimental studies have shown that the Wolbachia surface protein (WSP) can trigger host immune responses and control cell death programming in humans, suggesting a key role of WSP for establishment and persistence of the symbiosis in arthropods. Results. Here we performed an analysis of 515 unique alleles found in 831 Wolbachia isolates, to investigate WSP structure, microevolution and population genetics. WSP shows an eight-strand transmembrane -barrel structure with four extracellular loops containing hypervariable regions (HVRs). A clustering approach based upon patterns of HVR haplotype diversity was used to group similar WSP sequences and to estimate the relative contribution of mutation and recombination during early stages of protein divergence. Results indicate that although point mutations generate most of the new protein haplotypes, recombination is a predominant force triggering diversity since the very first steps of protein evolution, causing at least 50% of the total amino acid variation observed in recently diverged proteins. Analysis of synonymous variants indicates that individual WSP protein types are subject to a very rapid turnover and that HVRs can accommodate a virtually unlimited repertoire of peptides. Overall distribution of WSP across hosts supports a non-random association of WSP with the host genus, although extensive horizontal transfer has occurred also in recent times. Conclusions. In OMPs of vertebrate pathogens, large recombination impact, positive selection, reduced structural and compositional constraints, and extensive lateral gene transfer are considered hallmarks of evolution in response to the adaptive immune system. However, Wolbachia do not infect vertebrates. Here we predict that the rapid turnover of WSP loop motifs could aid in evading or inhibiting the invertebrate innate immune response. Overall, these features identify WSP as a strong candidate for future studies of host-Wolbachia interactions that affect establishment and persistence of this widespread endosymbiosis.  2010 Baldo et al; licensee BioMed Central Ltd.",MA7,MW,exclude,,
Trait-Based Modeling of Multihost Pathogen Transmission: Plant-Pollinator Networks,"Epidemiological models for multihost pathogen systems often classify individuals taxonomically and use species-specific parameter values, but in species-rich communities that approach may require intractably many parameters. Trait-based epidemiological models offer a potential solution but have not accounted for within-species trait variation or between-species trait overlap. Here we propose and study trait-based models with host and vector communities represented as trait distributions without regard to species identity. To illustrate this approach, we develop susceptible-infectious-susceptible models for disease spread in plant-pollinator networks with continuous trait distributions. We model trait-dependent contact rates in two common scenarios: nested networks and specialized plant-pollinator interactions based on trait matching. We find that disease spread in plant-pollinator networks is impacted the most by selective pollinators, universally attractive flowers, and cospecialized plant-pollinator pairs. When extreme pollinator traits are rare, pollinators with common traits are most important for disease spread, whereas when extreme flower traits are rare, flowers with uncommon traits impact disease spread the most. Greater nestedness and specialization both typically promote disease persistence. Given recent pollinator declines caused in part by pathogens, we discuss how trait-based models could inform conservation strategies for wild and managed pollinators. Furthermore, while we have applied our model to pollinators and pathogens, its framework is general and can be transferred to any kind of species interactions in any community.",MA393,MW,exclude,,
Marine chemical ecology: What's known and what's next?,"In this review, I summarize recent developments in marine chemical ecology and suggest additional studies that should be especially productive. Direct tests in both the field and laboratory show that secondary metabolites commonly function as defenses against consumers. However, some metabolites also diminish fouling, inhibit competitors or microbial pathogens, and serve as gamete attractants; these alternative functions are less thoroughly investigated. We know little about how consumers perceive secondary metabolites or how ecologically realistic doses of defensive metabolites affect consumer physiology or fitness, as opposed to feeding behavior. Secondary metabolites have direct consequences, but they do not act in isolation from other prey characteristics or from the physical and biological environment in which organisms interact with their natural enemies. This mandates that marine chemical ecology be better integrated into a broader and more complex framework that includes aspects of physiological, population, community, and even ecosystem ecology. Recent advances in this area involve assessing how chemically mediated interactions are affected by physical factors such as flow, desiccation, UV radiation, and nutrient availability, or by biological forces such as the palatability or defenses of neighbors, fouling organisms, or microbial symbionts. Chemical defenses can vary dramatically among geographic regions, habitats, individuals within a local habitat, and within different portions of the same individual. Factors affecting this variance are poorly known, but include physical stresses and induction due to previous attack. Studies are needed to assess which consumers induce prey defenses, how responses vary in environments with differing physical characteristics, and whether the `induced' responses are a direct response to consumer attack or are a defense against microbial pathogens invading via feeding wounds. Although relatively unstudied, ontogenetic shifts in concentrations and types of defenses occur in marine species, and patterns of larval chemical defenses appear to provide insights into the evolution of complex life cycles and of differing modes of development among marine invertebrates. The chemical ecology of marine microbes is vastly underappreciated even though microbes produce metabolites that can have devastating indirect effects on non-target organisms (e.g., red tide related fish kills) and significantly affect entire ecosystems. The natural functions of these metabolites are poorly understood, but they appear to deter both consumers and other microbes. Additionally, marine macro-organisms use metabolites from microbial symbionts to deter consumers, subdue prey, and defend their embryos from pathogens. Microbial chemical ecology offers unlimited possibilities for investigators that develop rigorous and more ecologically relevant approaches.",MA240,MW,exclude,,
Modification of insect and arachnid behaviours by vertically transmitted endosymbionts: Infections as drivers of behavioural change and evolutionary novelty,"Vertically acquired, endosymbiotic bacteria such as those belonging to the Rickettsiales and the Mollicutes are known to influence the biology of their arthropod hosts in order to favour their own transmission. In this study we investigate the influence of such reproductive parasites on the behavior of their insects and arachnid hosts. We find that changes in host behavior that are associated with endosymbiont infections are not restricted to characteristics that are directly associated with reproduction. Other behavioural traits, such as those involved in intraspecific competition or in dispersal may also be affected. Such behavioural shifts are expected to influence the level of intraspecific variation and the rate at which adaptation can occur through their effects on effective population size and gene flow amongst populations. Symbionts may thus influence both levels of polymorphism within species and the rate at which diversification can occur.  2012 by the authors; licensee MDPI, Basel, Switzerland.",MA247,MW,include,interspecific,Host-symbiont
Social complementation and growth advantages promote socially defective bacterial isolates,"Social interactions among diverse individuals that encounter one another in nature have often been studied among animals but rarely among microbes. For example, the evolutionary forces that determine natural frequencies of bacteria that express cooperative behaviours at low levels remain poorly understood. Natural isolates of the soil bacterium Myxococcus xanthus sampled from the same fruiting body often vary in social phenotypes, such as group swarming and multicellular development. Here, we tested whether genotypes highly proficient at swarming or development might promote the persistence of less socially proficient genotypes from the same fruiting body. Fast-swarming strains complemented slower isolates, allowing the latter to keep pace with faster strains in mixed groups. During development, one low-sporulating strain was antagonized by high sporulators, whereas others with severe developmental defects had those defects partially complemented by high-sporulating strains. Despite declining in frequency overall during competition experiments spanning multiple cycles of development, developmentally defective strains exhibited advantages during the growth phases of competitions. These results suggest that microbes with low-sociality phenotypes often benefit from interacting with more socially proficient strains. Such complementation may combine with advantages at other traits to increase equilibrium frequencies of low-sociality genotypes in natural populations.  2014 The Author(s) Published by the Royal Society. All rights reserved.",MA332,MW,include,intraspecific,cooperation/conflict
