"label","title","author","journal","issn","volume","number","pages","year","doi","abstract","n_duplicates"
"X.ISI.000456690800006","Social influences on survival and reproduction: Insights from a long-term study of wild baboons","Alberts, Susan C.","JOURNAL OF ANIMAL ECOLOGY","0021-8790","88","1","47-66","2019","10.1111/1365-2656.12887","For social species, the environment has two components: physical and social. The social environment modifies the individual's interaction with the physical environment, and the physical environment may in turn impact individuals' social relationships. This interplay can generate considerable variation among individuals in survival and reproduction. Here, I synthesize more than four decades of research on the baboons of the Amboseli basin in southern Kenya to illustrate how social and physical environments interact to affect reproduction and survival. For immature baboons, social behaviour can both mitigate and exacerbate the challenge of survival. Only c. 50\% of live-born females and c. 44\% of live-born males reach the median age of first reproduction. Variation in pre-adult survival, growth and development is associated with multiple aspects of the social environment. For instance, conspecifics provide direct care and are a major source of social knowledge about food and the environment, but conspecifics can also represent a direct threat to survival through infanticide. In adulthood, both competition (within and between social groups) and cooperative affiliation (i.e. collective action and/or the exchange of social resources such as grooming) are prominent features of baboon social life and have important consequences for reproduction and survival. For instance, adult females with higher social dominance ranks have accelerated reproduction, and adult females that engage in more frequent affiliative social interactions have higher survival throughout adulthood. The early life environment also has important consequences for adult reproduction and survival, as in a number of other bird and mammal species. In seasonal breeders, early life effects often apply to entire cohorts; in contrast, in nonseasonal and highly social species such as baboons, early life effects are more individual-specific, stemming from considerable variation not only in the early physical environment (even if they are born in the same year) but also in the particulars of their social environment.",2
"X.ISI.000456143400011","Social complexity: patterns, processes, and evolution","Kappeler, Peter M. and Clutton-Brock, Tim and Shultz, Susanne and Lukas, Dieter","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY","0340-5443","73","1",NA,"2019","10.1007/s00265-018-2613-4","Animal and human societies exhibit extreme diversity in the size, composition and cohesion of their social units, in the patterning of sex-specific reproductive skew, in the nature of parental care, in the form and frequency of cooperation and in their competitive regime, creating a diversity of socially complex societies. However, there is an ongoing debate about whether social complexity is a real, emergent property of a society or whether it only provides a conceptual framework for studying the diversity and evolution of societies. In this introduction to our topical collection, we identify three areas of current research addressing relevant challenges in the study of social complexity. First, previous studies have suffered from a lack of a common conceptual framework, including shared definitions, and existing measures of social complexity do not acknowledge its multiple components and dimensions. Second, most previous studies have ignored intraspecific variation, and the proximate and ultimate determinants of variation in social complexity, as well as their interactions, remain poorly known. Third, comparative studies of social complexity offer opportunities to explore its biological causes and correlates and but it is frequently difficult to identify the causal relationships involved and the development of general insights has been hampered by conceptual and methodological difficulties. In this paper, we briefly characterize these three challenges and offer guidance to the other contributions to this topical collection on social complexity by placing their key results in the context of these three topics.Significance statementIn this paper, we address the main current challenges in the study of social complexity and combine our brief overview with a synopsis of the other contributions to this topical collection on various aspects of social complexity.",2
"X.ISI.000456228600005","Spare to share? How does interindividual variation in metabolic rate influence food sharing in the honeybee?","Reade, Abbie J. and Dillon, Michael and Naug, Dhruba","JOURNAL OF INSECT PHYSIOLOGY","0022-1910","112",NA,"35-38","2019","10.1016/j.jinsphys.2018.11.006","A central benefit of group living is the cooperative acquisition and sharing of resources but the costs associated with these processes can set up a potential conflict between individual and group level fitness. Within a honeybee colony, the task of resource acquisition is relegated to the foragers and any interindividual differences in their metabolic rate and the consequent carbohydrate demand may pose a constraint on the amount of resources they can contribute to the colony. We investigated whether the carbohydrate demand of a forager is a function of her metabolic rate and if this impacts the amount of food she shares with the nestmates. Our results show that the sucrose consumption rates of foragers with high metabolic rates did not meet their carbohydrate demand, placing them at an energy deficit while those with lower metabolic rates had an energy surplus. Our food sharing experiments showed a trend but did not detect a significant difference among individuals with different consumption rates in terms of the amount of food they shared with their nestmates. These results suggest that honeybee foragers with different metabolic rates are likely to differ in terms of whether they have an energy surplus or deficit, but more long-term datasets may be required to detect how this may influence food sharing.",2
"X.ISI.000454304000015","Chilli-briquettes modify the temporal behaviour of elephants, but not their numbers","Pozo, Rocio A. and Coulson, Tim and McCulloch, Graham and Stronza, Amanda and Songhurst, Anna","ORYX","0030-6053","53","1","100-108","2019","10.1017/S0030605317001235","Crop loss to foraging elephants is one of the most significant causes of conflict between people and elephants in areas where wild elephants share resources with people. Effective solutions to reduce the effects of human-elephant conflict on local livelihoods are thus essential to foster coexistence between elephants and people. We assessed the effectiveness of chilli-briquettes (bricks made of dry chilli, elephant dung and water) in altering elephants use of space in the eastern Okavango Panhandle, Botswana. We burned > 600 briquettes during the night over a 2-month period to test five treatments: frequent burning of (1) chilli and (2) chilli-free briquettes, occasional burning of (3) chilli and (4) chilli-free briquettes, and (5) a control treatment. Using camera traps and footprint surveys we assessed the number of elephants that used experimental sites, and the times at which they did so. We found elephants changed their movement behaviour from predominantly nocturnal to diurnal in areas where chilli-briquettes were burned throughout the night; however, there was no difference in the mean numbers of individuals between treatments with and without chillies. In other words, chilli-briquettes had a repellent but not a deterrent effect on elephants, keeping them away only at times when chilli-briquettes were smouldering. Based on these findings we recommend the use of chilli-briquettes as a method to deter elephants in the short term. In the long term, chilli-briquettes should be applied in combination with other larger-scale mitigation approaches, such as land management and cooperative community-based tools.",2
"X.ISI.000449427300011","Modelling the co-evolution of indirect genetic effects and inherited variability","Marjanovic, Jovana and Mulder, Han A. and Ronnegard, Lars and Bijma, Piter","HEREDITY","0018-067X","121","6","631-647","2018","10.1038/s41437-018-0068-z","When individuals interact, their phenotypes may be affected not only by their own genes but also by genes in their social partners. This phenomenon is known as Indirect Genetic Effects (IGEs). In aquaculture species and some plants, however, competition not only affects trait levels of individuals, but also inflates variability of trait values among individuals. In the field of quantitative genetics, the variability of trait values has been studied as a quantitative trait in itself, and is often referred to as inherited variability. Such studies, however, consider only the genetic effect of the focal individual on trait variability and do not make a connection to competition. Although the observed phenotypic relationship between competition and variability suggests an underlying genetic relationship, the current quantitative genetic models of IGE and inherited variability do not allow for such a relationship. The lack of quantitative genetic models that connect IGEs to inherited variability limits our understanding of the potential of variability to respond to selection, both in nature and agriculture. Models of trait levels, for example, show that IGEs may considerably change heritable variation in trait values. Currently, we lack the tools to investigate whether this result extends to variability of trait values. Here we present a model that integrates IGEs and inherited variability. In this model, the target phenotype, say growth rate, is a function of the genetic and environmental effects of the focal individual and of the difference in trait value between the social partner and the focal individual, multiplied by a regression coefficient. The regression coefficient is a genetic trait, which is a measure of cooperation; a negative value indicates competition, a positive value cooperation, and an increasing value due to selection indicates the evolution of cooperation. In contrast to the existing quantitative genetic models, our model allows for co-evolution of IGEs and variability, as the regression coefficient can respond to selection. Our simulations show that the model results in increased variability of body weight with increasing competition. When competition decreases, i.e., cooperation evolves, variability becomes significantly smaller. Hence, our model facilitates quantitative genetic studies on the relationship between IGEs and inherited variability. Moreover, our findings suggest that we may have been overlooking an entire level of genetic variation in variability, the one due to IGEs.",2
"X.ISI.000449937900007","Community-wide consequences of sexual dimorphism: evidence from nectar microbes in dioecious plants","Tsuji, Kaoru and Fukami, Tadashi","ECOLOGY","0012-9658","99","11","2476-2484","2018","10.1002/ecy.2494","Intraspecific trait variation is receiving renewed interest as a factor affecting the structure of multi-species communities within and across trophic levels. One pervasive form of intraspecific trait variation is sexual dimorphism in animals and plants, which might exert large effects particularly on the communities of host-associated organisms, but the extent of these effects is not well understood. We investigated whether host-associated microbial communities developed differently in the floral nectar of female and male individuals of the dioecious shrubs, Eurya emarginata and E. japonica. We found that nectar-colonizing microbes such as bacteria and fungi were more than twice as prevalent and, overall, more than 10 times as abundant in male flowers as in female flowers. Microbial species composition also differed between flower sexes. To examine potential mechanisms behind these differences, we manipulated the frequency of flower visitation by animals and the order of arrival of microbial species to nectar. Animal visitation frequency affected microbial communities more greatly in male flowers, while arrival order affected them more in female flowers. These sex-specific effects appeared attributable to differences in how animals and microbes altered the chemical characteristics of nectar that limited microbial growth. Taken together, our results provide evidence that sexual dimorphism can have large effects on the structure of host-associated communities.",2
"X.ISI.000450564400002","From species to individuals: does the variation in ant-plant networks scale result in structural and functional changes?","Koch, Elmo B. A. and Dattilo, Wesley and Camarota, Flavio and Vasconcelos, Heraldo L.","POPULATION ECOLOGY","1438-3896","60","4","309-318","2018","10.1007/s10144-018-0634-5","Predicting the outcomes of any mutualistic interaction between ants and plants can be a very difficult task, since these outcomes are often determined by the ecological context in which the interacting species are embedded. Network theory has been an important tool to improve our understanding about the organizational patterns of animal-plant interactions. Nevertheless, traditionally, network studies have focused mainly on species-based differences and ignoring the importance of individual differences within populations. In this study, we evaluated if downscaling an ant-plant network from species to the individual level results in structural and functional changes in a network involving different-sized plant individuals. For this, we studied the extrafloral-nectar producing-tree Caryocar brasiliense (Caryocaraceae) and their associated ants in a Neotropical savanna. We observed 254 interactions involving 43 individuals of C. brasiliense and 47 ant species. The individual-based ant-plant network exhibited a nested pattern of interactions, with all developmental stages contributing equally to structuring this non-random pattern. We also found that plants with greater centrality within the network were better protected by their ant partners. However, plants with higher levels of individual specialization were not necessarily better protected by ants. Overall, we presented empirical evidence that intra-population variations are important for shaping ant-plant networks, since they can change the level of protection against herbivores conferred by the ants. These results highlight the importance of individual-based analyses of ecological networks, opening new research venues in the eco-evolutionary dynamics of ant-plant interactions.",2
"X.ISI.000443691000001","Plant geographic phenotypic variation drives diversification in its associated community of a phytophagous insect and its parasitoids","Yu, Hui and Liang, Dan and Tian, Enwei and Zheng, Linna and Kjellberg, Finn","BMC EVOLUTIONARY BIOLOGY","1471-2148","18",NA,NA,"2018","10.1186/s12862-018-1239-5","Background: While the communities constituted by phytophageous insects and their parasites may represent half of all terrestrial animal species, understanding their diversification remains a major challenge. A neglected idea is that geographic phenotypic variation in a host plant may lead to heterogeneous evolutionary responses of the different members of the associated communities. This could result in diversification on a host plant by ecological speciation in some species, leading to geographic variation in community composition. In this study we investigated geographic variation of inflorescence receptacle size in a plant, Ficus hirta, and how the hymenopteran community feeding in the inflorescences has responded. Our predictions were: 1) Inflorescence size variation affects wasp species differently depending on how they access oviposition sites. 2) In some affected lineages of wasps, we may observe vicariant, parapatric species adapted to different inflorescence sizes. Results: We show that fig (the enclosed inflorescence of Ficus) wall thickness varies geographically. The fig entering pollinating wasp was not affected, while the parasites ovipositing through the fig wall were. Two parapatric species of Philotrypesis, exhibiting strikingly different ovipositor lengths, were recorded. One species of Sycoscapter was also present, and it was restricted, like the shorter-ovipositor Philotrypesis, to the geographic zone where fig walls were thinner. Conclusions: Previous work on fig wasps suggested that parapatric geographic ranges among congenerics were due to adaptation to variation in abiotic factors, complemented by interspecific competition. Our results show that parapatric ranges may also result from adaptation to variation in biotic factors. Within an insect community, differences among species in their response to geographic phenotypic variation of their host plant may result in geographically heterogeneous community structure. Such heterogeneity leads to heterogeneous interaction networks among sites. Our results support the hypothesis that plant geographic phenotypic variation can be a driver of diversification in associated insect communities, and can complement other diversification processes.",2
"X.ISI.000452178600011","Frequency dependence of pollinator visitation rates suggests that pollination niches can allow plant species coexistence","Benadi, Gita and Pauw, Anton","JOURNAL OF ECOLOGY","0022-0477","106","5","1892-1901","2018","10.1111/1365-2745.13025","1. How do many species coexist within a trophic level? Resource niches are the classical answer, but in plants which share a small set of abiotic resources, the possibilities for resource partitioning are limited. One possible explanation is that plant species have different pollination niches, with each species specialized to a subset of the available animal species. If this pollinator partitioning results in negative frequency dependence such that each plant species' reproduction is reduced when it becomes abundant, pollination niches could maintain plant diversity, provided that the strength of negative frequency dependence is sufficient to overcome fitness inequalities between species. 2. We tested this idea by quantifying the effect of species relative abundance on pollinator visitation rate in a 7,000 m(2) plot of South African Fynbos vegetation. In addition, we quantified the effect of intraspecific abundance variation at a smaller spatial scale (9 m(2) plots), documented species' pollination niches, and tested the importance of pollinators for seed set in a subset of the plant species. 3. We found that visitation rate indeed declined sharply across the 33 plant species with increasing abundance, but visitation rate was also somewhat depressed in very rare species such that the resulting relationship between visitation rate and relative abundance was hump-shaped. Pollinator niche partitioning among plant species was evident, but less pronounced than in many other studies. Visitation rate was slightly higher in more generalized species, suggesting that they have access to a larger pollination resource. At the intraspecific level and smaller spatial scale, results were less clear and varied among species. Pollinators enhanced seed set in most species. 4. Synthesis. The results imply that, above an abundance threshold, intraspecific competition for pollination could limit the reproduction of common species, thus promoting plant species coexistence. However, the rarest plant species could become extinct due to pollen limitation, that is, an Allee effect. In addition, interactions with pollinators may introduce frequency-independent fitness differences between plant species, thereby increasing the strength of negative frequency dependence required for stable coexistence. These findings shed new light on the role of the pollination niche in plant coexistence.",2
"X.ISI.000442705500009","Incidence and biomarkers of pregnancy, spontaneous abortion, and neonatal loss during an environmental stressor: Implications for female reproductive suppression in the cooperatively breeding meerkat","Dimac-Stohle, Kristin A. and Davies, Charli S. and Grebel, Nicholas M. and Stonehill, Alexandra C. and Greene, Lydia K. and Mitchell, Jessica and Clutton-Brock, Tim and Drea, Christine M.","PHYSIOLOGY \& BEHAVIOR","0031-9384","193","A, SI","90-100","2018","10.1016/j.physbeh.2017.11.011","Meerkats are group-living, insectivorous herpestids in which subordinate members provide extensive care for the dominant female's young. In contrast to some cooperative breeders, subordinate female meerkats are physiologically able to reproduce and occasionally do so successfully; their attempts are more frequently `suppressed' via eviction or infanticide by the dominant female. Spontaneous abortion and neonatal loss occur with some regularity, further negatively impacting reproductive success. Here, we compared the reproductive outcomes and endocrine profiles, including of serum progesterone (P-4), serum estradiol (E-2), and fecal glucocorticoid metabolites (fGCm), of dominant and subordinate dams residing within their clans in the Kalahari Desert of South Africa. Our study spanned years of drought, which reduced insect abundance and represented a substantial environmental stressor. Meerkat pregnancies were identified at mid-term and culminated either in spontaneous abortions or full-term deliveries, after which pups were either lost prior to emergence from the natal den (usually within 2 days of birth) or emerged at 2-3 weeks. Neonatal loss exceeded fetal loss for all females, and contributed to narrowing the status-related disparity in female reproductive output seen during less arid periods. Although E-2 concentrations were significantly lower in subordinate than dominant females, they were sufficient to support gestation. Absolute E-2 concentrations may owe to androgenic precursors that also attain highest concentrations in dominant dams and may mediate aggression underlying female reproductive skew. Pregnancies terminating in fetal loss were marked by significantly lower 134 concentrations in mid-gestation and modestly lower E-2 concentrations overall. Consistently high fGCm concentrations further increased across trimesters, particularly (but not consistently) in subordinates and in aborted pregnancies. Environmental stressor may modulate reproductive outcomes in meerkats through their influence on sex steroids and their effects on intragroup competition. The social and eco-physiological factors affecting intraspecific variation in reproductive output, even in obligate cooperative breeders, may be most apparent during extreme conditions, reflecting the benefits of long-term studies for assessing the impact of climate change.",2
