abstract.id,row.id,TaskforceAllocation,FulltextTopicIdentifier,FulltextReviewer.initial,title,author,journal,volume,number,pages,year,doi,Timestamp,FulltextReviewer,StudyType,InteractionType,Scale,SpeciesInteracting,TraitDescription,SpeciesTraitVariation,GeneticNotes,What.is.the.scale.of.the.shift,Is.there.a.shift.in.the.interaction,What.is.the.direction.of.shift,What.factors.are.driving.that.shift,What.is.the.ecological.impact.of.the.interaction.and.shift.of.that.interaction,Is.there.a.connection.to.the.NC3,Reviewer.notes,Reviewer.outstanding.concerns,ReviewerDecision,ReviewerDecisionReason,ReviewerDecision.checked.by,FinalDecision,FinalDecisionReason,FinalDecisionNotes
MA11,7,Intraspecific,competition-cooperation,JW,Age-dependent change of coalitionary strategy in male Barbary macaques,"Rathke, E.-M. and Berghnel, A. and Bissonnette, A. and Ostner, J. and Schlke, O.",Primate Biology,4,1,01-Jul,2017,10.5194/pb-4-1-2017,1/27/2020 19:50:17,JW,Observational,Competition-cooperation,Intraspecific,Macaca sylvanus,Age,Macaca sylvanus,NA,Individuals,Yes,Antagonistic to mutualistic,Social,"Reproductive strategy, mating success.",Yes,NA,NA,Yes,,NM,Include,,Agree with reviewer decision
MA34,16,Modelling,n/a,KJB,Bet hedging based cooperation can limit kin selection and form a basis for mutualism,"Uitdehaag, Joost C. M.",JOURNAL OF THEORETICAL BIOLOGY,280,1,76-87,2011,10.1016/j.jtbi.2011.04.002,02/04/2020 06:49,KJB,Modelling/theory,Competition-cooperation,Intraspecific,NA,Variance in offspring number over time and covariance between types in offspring numbers,NA,Relatedness is used as a pre-set parameter that affects the outcome of the model.,Individuals,"Yes, otherwise competing types become mutualistic if they experience a 'good' environment at very different times.",Antagonistic to mutualistic,Competitive similarity,Potentially speciation,The species generate each other's niche that they then have to stick to.,Somewhat similar to MA359,,Yes,,NM,Include,,Agree with reviewer decision
MA63,29,Modelling,n/a,MW,Competitive altruism: from reciprocity to the handicap principle,"Roberts, G",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,265,1394,427-431,1998,10.1098/rspb.1998.0312,01/02/2020 23:29,MW,"Modelling/theory, Review",Competition-cooperation,Intraspecific,NA,generosity,NA,NA,Populations,yes,depends,e.g. the extent to which partner choice is possible,NA,NA,"Key sentence: ""introducing individual differences in generosity combined with partner choice can lead to competition for partners and thereby to an escalation in generosity which is rewarded by greater benefits for those which choose to or can invest more""",NA,Yes,,NM,Include,,Agree with reviewer decision
MA103,48,Intraspecific,competition-cooperation,JW,Does soil type drive social organization in southern hairy-nosed wombats?,"Walker, Faith M. and Taylor, Andrea C. and Sunnucks, Paul",MOLECULAR ECOLOGY,16,1,199-208,2007,10.1111/j.1365-294X.2006.03131.x,1/27/2020 23:29:37,JW,Observational,Competition-cooperation,Intraspecific,Southern hairy-nosed wombats (Lasiorhinus latifrons),spatiotemporal social organization,Southern hairy-nosed wombats (Lasiorhinus latifrons),NA,Populations,Yes,Antagonistic to mutualistic,natural variation in wombat habitat structure (soil type and consequent burrow distributions),population processes and behaviors,Yes,NA,No,Yes,,NM,Include,,"Agree with reviewer decision, social state as the trait driven by extrinsic conditions, towards more cooperative or competitive intraspecific interactions"
MA106,50,Intraspecific,competition-cooperation,BC,Dominance hierarchies in group-living cleaning gobies: causes and foraging consequences,"Whiteman, EA and Cote, IM",ANIMAL BEHAVIOUR,67,2,239-247,2004,10.1016/j.anbehav.2003.04.006,12/24/2019 10:52:29,BC,Experimental,Competition-cooperation,Intraspecific,,,Elacatinus prochilos,no,Individuals,yes,Mutualistic to antagonistic,presence/absence of larger individuals,,"yes, the maintenance of individual-level traits; niche conformance",,no,Yes,,NM,Include,,"Agree with reviewer decision, size variation is associated with increased antagonism to other individuals, less cooperation in the formation of stable social hierarchies to occupy and share resources on sponge habitat patches."
MA120,58,Intraspecific,competition-cooperation,JW,Endocrinology of sociality: Comparisons between sociable and solitary individuals within the same population of African striped mice,"Schoepf, Ivana and Schradin, Carsten",HORMONES AND BEHAVIOR,64,1,89-94,2013,10.1016/j.yhbeh.2013.04.011,1/28/2020 0:05:02,JW,Experimental,Competition-cooperation,Intraspecific,African striped mouse (Rhabdomys pumilio),social flexibility (solitary vs group living and reproductive tactics),African striped mouse (Rhabdomys pumilio),NA,Individuals,Yes,Antagonistic to mutualistic,"population density (ecological), with testosterone and corticosterone as the proximate cause","Environmental change can impact group-living and physiological mechanisms, with further effects on behavior and fitness",Yes,NA,No,Yes,,NM,Include,,Agree with reviewer decision
MA174,79,Intraspecific,competition-cooperation,BC,Helping effort in primitively eusocial wasps,"Field, J. and Cant, M.",Annales Zoologici Fennici,43,05-Jun,481-487,2006,NA,12/16/2019 6:08:25,BC,Observational,Competition-cooperation,Intraspecific,"Polistes dominulus, Liostenogaster flavolineata",greater expected future fitness,"Polistes dominulus, Liostenogaster flavolineata",no,Individuals,yes,Mutualistic to antagonistic,"expected future fitness, i.e. rank order, or groups size ",,promotion of individual differences  - niche choice or niche conformance,,"no , except that they used data from a previous study",Yes,,NM,Include,,Agree with reviewer decision
MA204,93,Modelling,n/a,KJB,Inducible defence and the social evolution of herd immunity,"Frank, SA",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,265,1408,1911-1913,1998,10.1098/rspb.1998.0519,02/04/2020 02:05,KJB,Modelling/theory,Competition-cooperation,Intraspecific,NA,Relatedness,Focal species,"No, but relatedness is a parameter in the model.","Individuals, Populations","Yes, but it's a shift between populations w.r.t. their parameter values, not within one population over time",Antagonistic to mutualistic,"Relatedness. Furthermore, in a final model, variable resources lead to more individual  variation in defence allocation",NA,"Especially in the variable resource set up there are differences in vigour, leading to differential inversment in induction.",The model is very similar to Frank (1996) [MA286].,"The connection to our review is hard to see, but does seem to be present (requires interpretation though).",Yes,,NM,Include,,Agree with reviewer decision
MA205,94,Modelling,n/a,MW,Information use and resource competition: An integrative framework,"Lee, A.E.G. and Ounsley, J.P. and Coulson, T. and Marcus Rowcliffe, J. and Cowlishaw, G.",Proceedings of the Royal Society B: Biological Sciences,283,1825,NA,2016,10.1098/rspb.2015.2550,11/29/2019 20:55:47,MW,Modelling/theory,Competition-cooperation,Intraspecific,,competitive dominance,,"Not relevant for this model, since a short time scale is considered.","Individuals, Populations","Yes, in the sense that there are strong shifts in the frequency of scroungers vs. producers.","Mutualistic to antagonistic, Antagonistic to mutualistic",Anything that would affect the monopolizability of resource patches. Resource scarcity and rate of depletion are also important factors.,"They discuss consequences for population dynamics. If more individuals produce, the total resource discovery in the population increases and populations may grow faster, whereas scrounging may reduce population growth rates.",Interesting aspect with regard to maintenance of trait variation: variation in competitive ability also influences the maintenance of individual differences in the producer-scrounger behaviour.,"The impact of variation in competitive dominance is determined by the monopolizability parameter c. A change in this parameter can strongly change the proportion of scroungers in the population (see Figs. 1 and 2). For example, strong differences in competitive ability can make scrounging unattractive for most individuals because the most competitive ones would take most of the resources.","While scrounging is antagonistic, producing may not be strictly mutualistic. But I think it is sufficiently neutral/positive to make this an interesting paper to include.",Yes,,NM,Include,,Agree with reviewer decision
MA245,112,Modelling,n/a,PT,Modelling the co-evolution of indirect genetic effects and inherited variability,"Marjanovic, Jovana and Mulder, Han A. and Ronnegard, Lars and Bijma, Piter",HEREDITY,121,6,631-647,2018,10.1038/s41437-018-0068-z,01/08/2020 09:57,PT,Modelling/theory,Competition-cooperation,Intraspecific,N/A,Variability influences cooperation level (which is an evolving genetic trait),N/A,"Not really, it's all theory (though mentions speices occasionally to keep readers interested).","Individuals, Populations","Yes.  Though it's sort of interesting as the mutualism (or cooperation) level is set genetically for an individual and responds to surroundings, but will also evolve over time (which is a different type of 'shift' in the interaction over time).",Depends on what's happening with variability,Social (level of variability feeds back to influence success of a type),"The variability in the population (e.g., variation in growth rates) and the level of cooperation within it.","Yes, relates to niches.",,"No, I think it's ok to include in the review.",Yes,,NM,Include,,Agree with reviewer decision
MA286,129,Modelling,n/a,KJB,Policing and group cohesion when resources vary,"Frank, SA",ANIMAL BEHAVIOUR,52,6,1163-1169,1996,10.1006/anbe.1996.0263,02/04/2020 00:47,KJB,Modelling/theory,Competition-cooperation,Intraspecific,NA,Degree of policing,NA,"No, but relatedness between individuals is taken as a covariate to explain the observed patterns.",Individuals,"Yes. (Particularly for group that have low relatedness, policing leads to less competition)",Antagonistic to mutualistic,"Trade-off between group productivity and the cost of policing, mediated by kinselection (relatedness)",NA,"Yes, particularly in the case with fluctuating resources, different individuals are expected to have different strategies.",,"The paper uses different terminology, so it was hard to determine whether these processes are really relevant.",Yes,,NM,Include,,Agree with reviewer decision
MA287,130,Intraspecific,competition-cooperation,NL,Policing and punishment across the domains of social evolution,"Singh, M. and Boomsma, J.J.",Oikos,124,8,971-982,2015,10.1111/oik.02064,02/11/2020 02:34,NL,Review,Competition-cooperation,Intraspecific,"many (eusocial insects, primates, fish, etc.) , but special glance on eusocial hymenoptera","behavioural phenotype (punishment, oophagy)",e.g. hymenoptera (Harpagoxenus sublaevis),relatedness,"Individuals, Caste",yes.1. punishment for the great good is dependent on the individual relatedness of sterile workers to the queen 2. Drone-producing workers should only eat each others eggs when the queen has little coecive power,Mutualistic to antagonistic,"relatedness, Behaviour of the queen","Benefits of the greater good (e.g. reduced reproductive conflict, increasing help)","maybe, but eusociality is a special case I guess, because all members of one caste share the same interests",,"mutualism is not mentioned, but plays a role in eusociality",Maybe,,NM,Include,,"Following reviewer reasoning, considering individuals in eusocial populations to show variation in selfishness-cooperation in interactions with their community"
MA332,146,Intraspecific,competition-cooperation,BC,Social complementation and growth advantages promote socially defective bacterial isolates,"Kraemer, S.A. and Velicer, G.J.",Proceedings of the Royal Society B: Biological Sciences,281,1781,NA,2014,10.1098/rspb.2014.0036,12/22/2019 20:40:34,BC,Experimental,Competition-cooperation,Intraspecific,,sporulation/swarming intensity/frequency,Myxococcus xanthus,"they look at clones, showing or not showing this trait as a result of a mutation","Individuals, Clones",yes,,"mutation, probably driven by social factors (density)",,yes,,,Yes,,NM,Include,,Agree with reviewer decision
MA337,148,Modelling,n/a,PT,Social network theory: new insights and issues for behavioral ecologists,"Sih, Andrew and Hanser, Sean F. and McHugh, Katherine A.",BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,63,7,975-988,2009,10.1007/s00265-009-0725-6,01/09/2020 03:17,PT,Review,Competition-cooperation,Intraspecific,n/a,Group size and network structure,n/a,No,Individuals,Somewhat.,Depends which way the numbers are shifting,Group size & network structure,Whether the group is cooperative,"Yes, though it's not a very strong one.","The paper is not a particularly useful one.  It basically says, ""Hey, social network theory might be useful for looking at various things in behavioural ecology; (e.g., cooperation, mate-choice, predator-prey interactions, etc).  So our paper shouldn't make much use of this, but could briefly refer to what's on p980 of it.","It's really just a quick pointer to other studies, rather than particularly useful in and of itself.",Yes,,NM,Include,,Agree with reviewer decision
MA354,158,Intraspecific,competition-cooperation,JW,Strategic adjustment of begging effort by banded mongoose pups,"Bell, M.B.V.",Proceedings of the Royal Society B: Biological Sciences,275,1640,1313-1319,2008,10.1098/rspb.2008.0173,1/29/2020 19:38:48,JW,"Observational, Experimental",Competition-cooperation,Intraspecific,Banded mongoose (Mungos mungo),variation in begging intensity; variation among helpers in responsiveness to begging,Banded mongoose (Mungos mungo),"Responsiveness to begging intensity varies by state and sex of pup, so there is some genetic basis",Individuals,Yes,"Antagonistic to mutualistic, Hard to respond to this question","ecological, social",Variation may have effects on signaller fitness,Yes,NA,No,Yes,,NM,Include,,Agree with reviewer decision
MA372,167,Modelling,n/a,MW,The evolution of cooperation by negotiation in a noisy world,"Ito, K. and McNamara, J. M. and Yamauchi, A. and Higginson, A. D.",JOURNAL OF EVOLUTIONARY BIOLOGY,30,3,603-615,2017,10.1111/jeb.13030,01/03/2020 00:04,MW,Modelling/theory,Competition-cooperation,Intraspecific,NA,investment in an interaction (and/or perception of the investment of the other individual),NA,"Here it is assumed that variation is due to noise, i.e. individuals making errors. The variation is non-heritable.",Populations,Not so clear that there is a shift in response to variation or here the distribution of the errors individuals make.,depends,curvature of cost and benefit functions,NA,,They write that variation due to errors is in many ways qualitatively analogous to variation in individual quality.,"""Under most conditions the magnitude of error has no influence on the evolutionary outcome"". More specifially, they show that the singular solution does not depend on the magnitude of error, but the convergence stability might. In any case, this is not an example of a very clear shift caused by variation.",Maybe,There is no shift in the quality of the interaction,NM,Include,,Considered variation in negotiation or level of noise changes the viability of a free-riding (antagonism) versus a cooperative strategy
MA373,168,Modelling,n/a,MW,The evolution of cooperative turn-taking in animal conflict,"Franz, M. and Van Der Post, D. and Schlke, O. and Ostner, J.",BMC Evolutionary Biology,11,1,NA,2011,10.1186/1471-2148-11-323,01/03/2020 00:26,MW,Modelling/theory,Competition-cooperation,Intraspecific,NA,"strength, i.e. fighting ability",NA,assumed non-heritable,Populations,"There should be a shift with changing magnitude of variation in strength, although they don't explore this explicitly (see comment below).",depends,"value of the resource that the fight is about, group size",NA,NA,"Over a range of parameter values, there are alternative stable states (turn-taking and contest competition). Shifts here could also be caused by stochastic processes and initial conditions.","Individual strength is drawn from a uniform distribution between 0 and 1. They do not explore different levels of variation. Therefore we can only indirectly infer the consequences of variation. Since they find that ""a decreasing ability to identify the stronger individual favours the evolutionary stability of the turn-taking strategy"", increasing variation in strength should hinder the evolution of turn-taking.",Yes,,NM,Include,,Agree with reviewer decision
MA376,170,Modelling,n/a,PT,The forager's dilemma: Food sharing and food defense as risk-sensitive foraging options,"Dubois, F and Giraldeau, LA",AMERICAN NATURALIST,162,6,768-779,2003,10.1086/379202,01/10/2020 03:20,PT,Modelling/theory,Competition-cooperation,Intraspecific,n/a,Foraging efficiency (p),All individuals,"No (and, somewhat weirdly, foraging efficiency seems to be assigned randomly!)",Individuals,Yes (though that depends on regarding the hawk-dove game as being between antagonists and mutualists).,"It's a model, so just depends on the values","Resource availability (and variability), level of competition. ",Just whether they compete for a found resource or not.,Not a strong one; it's tenuous at best.,,"It's not clear to me that the trait (p) values really play a crucial role; they could vary betwene 0.49 and 0.51 and still get almost the same results, so far as I understand it; so arguably much more driven by external factors than the variability of traits.. (Also, I need to understand how p gets set -- seems random but the authors mention age & experience, which I don't understand yet.)",Yes,,NM,Include,,Agree with reviewer decision
MA386,175,Intraspecific,male-female,JW,The social context of a territorial dispute differentially influences the way individuals in breeding pairs coordinate their aggressive tactics,"Schuppe, E.R. and Sanin, G.D. and Fuxjager, M.J.",Behavioral Ecology and Sociobiology,70,5,673-682,2016,10.1007/s00265-016-2088-0,1/30/2020 0:25:42,JW,Experimental,Competition-cooperation,Intraspecific,Downy woodpecker (Picoides pubescens),coordinated aggressive responses,Downy woodpecker (Picoides pubescens),No,Individuals,Yes,NA,"social context (i.e., fiercer competition from intruders)",adaptive social decision-making in animals,Yes,NA,No,Yes,,NM,Include,,Agree with reviewer decision
MA401,184,Intraspecific,competition-cooperation,CF,Variable ecological conditions promote male helping by changing banded mongoose group composition,"Marshall, Harry H. and Sanderson, Jennifer L. and Mwanghuya, Francis and Businge, Robert and Kyabulima, Solomon and Hares, Michelle C. and Inzani, Emma and Kalema-Zikusoka, Gladys and Mwesige, Kenneth and Thompson, Faye J. and Vitikainen, Emma I. K. and Cant, Michael A.",BEHAVIORAL ECOLOGY,27,4,978-987,2016,10.1093/beheco/arw006,03/03/2020 22:13,MW,Observational,Competition-cooperation,Intraspecific,"banded mongoose, Mungos mungo",sensitivity to fluctuations in rainfall (and thus food availability),"banded mongoose, they focus on variation between the sexes; females are more sensitive to variation in rainfall than males","not discussed, variation between the sexes","Individuals, Social groups","yes, with increasing variation in rainfall, males (at least older males) become more cooperative",Antagonistic to mutualistic,Variability in rainfall,Probably overall higher survival of pups in the group,Variation in social niche,"Variability in rainfall reduces female survival more than male survival, leading to more male-biased groups. Older males in such groups then increase their investment into cooperation, i.e. baby-sitting and escorting.",The variation here is between males and females. Is this individualised enough?,Yes,,NM,Include,,Agree with reviewer decision
MA403,186,Modelling,n/a,MW,Variation and the response to variation as a basis for successful cooperation,"McNamara, J.M. and Leimar, O.",Philosophical Transactions of the Royal Society B: Biological Sciences,365,1553,2627-2633,2010,10.1098/rstb.2010.0159,01/02/2020 23:21,MW,"Modelling/theory, Review",Competition-cooperation,Intraspecific,NA,"aspects of personality (e.g. trustworthyness, or more specifically number of rounds before defection in an iterated prisoner's dilemma), but also other needs and abilities of individuals",NA,NA,Populations,yes,can be both depending on the direction of parameter change,e.g. mutation rate,NA,"Interesting thought that ""variation in one trait maintains the variation in the other, and vice versa""","Relevant insights: 1) If there is a lot of variation (e.g. due to mutation) in the number of rounds before defection in the iterated prisoner's dilemma, it can make sense for individuals to cooperate for longer than the population average and cooperativeness increases in the population. 2) Variation in partner quality can promote the evolution of choosiness, which penalizes less cooperative individuals and thus promotes cooperation. 3) In fighting situations, costly displays can be seen as cooperative because they help resolve the fight and reduce its costs. Such displays can only evolve if there is sufficient variation in strength among individuals.",NA,Yes,,NM,Include,,Agree with reviewer decision
MA127,62,Modelling,n/a,MW,Evolution Of Helping And Harming In Heterogeneous Groups,"Rodrigues, A.M.M. and Gardner, A.",Evolution,67,8,2284-2298,2013,10.1111/evo.12110,12/04/2019 03:16,MW,Modelling/theory,Competition-cooperation,Intraspecific,"General model, mentions slime moulds and social wasps as potential empirical examples",fecundity,NA,"assumed to be non-genetic, non-heritable","Individuals, Populations","They show that the amount of variation in fecundity can change the potential for helping and harming behaviors. Interestingly, variation in fecundity can also increase relatedness within local neighbourhoods and thereby promote cooperation.",both directions potentially possible,"spatial structure (degree of local competition, migration rate), whether or not individuals can conditionally help high-quality or low-quality individuals",not discussed,"the conditional helping or harming can be interpreted as social niche conformance, they also mention that the mechanisms they describe can reinforce variation in fecundity because the low-quality individuals are selected to give up more of their fecundity to help others",NA,I am not sure I understood everything because the paper was not very clearly written in my opinion.,Yes,,NM,Include,,Agree with reviewer decision
MA228,106,Intraspecific,competition-cooperation,NL,Large-scale regional variation in cooperation and conflict among queens of the desert ant Messor pergandei,"Helms, K.R. and Helms Cahan, S.",Animal Behaviour,84,3,499-507,2012,10.1016/j.anbehav.2012.05.019,02/02/2020 21:48,NL,"Observational, Experimental",Competition-cooperation,Intraspecific,Messor pergandei,"polygyny vs monogyny, behavioural phenotype, geographic variation, ",Messor pergandei,yes. Genetic differences correlate with geographic differences,Populations,"yes, queens from polygynous colonies fought less in an experimental setup than queens from  monogynous colonies  ",Mutualistic to antagonistic,"genetic, geographic ","homogeneity within colony, adaptation to environment, gene flow,natural selection","yes, niche variation, but on population-level rather that individual level",,no,Yes,,NM,Include,,Agree with reviewer decision
