Timestamp,"Q1. Abstract ID (MA1, MA2 etc.)",Q2. Screener ID,Q3. Study Type,Q4. Interaction type,Q5. Ecological scale of the interaction,"Q6. Interacting species, scientific name(s)",Q7. What trait influences the quality of the interaction? (e.g. behavioural phenotype),Q8. In which species does the trait vary?,Q9. Is anything know about the genetic basis or heritability of the trait? (focusing on information provided by the paper only),"Q11. In what scale does the interaction shift between mutualistic and antagonistic (e.g. does the trait variation lead to individuals, populations or species varying along this continuum)",Q10. Does the study show a shift in the interaction between mutualism-antagonism?,Q12. What is the direction of shift?,"Q13. What factors are driving that shift? (e.g. ecological, abiotic, social)","Q14. What is the ecological impact of the interaction and shift of that interaction? (i.e. what ecological processes may be effected, focusing on information provided by the paper)",Q15. Is there a connection to the NC3? (e.g. the promotion and maintenance of individual-level traits or niche variation),Q17. Additional notes (include any points of significance that are not included in this questionnaire),"Q16. Do you have any outstanding concerns or questions about the paper (e.g. is there no clear trait that appears to vary, is there no clear shift in the interaction between mutualism and antagonism)",Q18. Do you think this paper can be included within the review (on the basis of our inclusion/exclusion criteria)?,"Q19. If No/Maybe, why?",,,,,,,
11/22/2019 1:13:09,MA156,ET,Experimental,Host-symbiont,Inter-specific (2 species),"Poecilochirus carabi, Nicrophorus vespilloides",The duration of the mite’s life cycle closely matches the duration of parental care of the burying beetles.,Both,Strategies are inherited.,Species,Yes,"Mutualistic to antagonistic, Antagonistic to mutualistic",Density of parasite,High densities of parasites reduce reproductive success of beetles,No,,,Yes,,,,,,,,
11/22/2019 1:21:12,MA214,ET,Observational,"Male-female, Competition-cooperation",Intra-specific (between populations),Chlorocebus aethiops pygerythrus,Behavioural phenotype,Chlorocebus aethiops pygerythrus,No,No Shift,No,No Shift,No Shift,"Reproductive success, Access to resources",Social niche differences between sexes,No shift between mutualism and antagonism. Key conclusion: Females are more likely to fight when they don't have a baby or when they have support from males.,,No,There is no shift in the quality of the interaction,,,,,,,
11/22/2019 1:41:15,MA223,ET,Experimental,Competition-cooperation,Intra-specific (within population),Myrmecocystus mendax,"Behavioural phenotype, Founding strategy",Myrmecocystus mendax,,Individuals,,No shift,No shift,No shift,Founding strategy varies on individual and population level,"Description of founding strategies, no shift",,No,There is no shift in the quality of the interaction,,,,,,,
11/22/2019 1:47:23,MA315,ET,Experimental,Male-female,Intra-specific (within population),Julidochromis regani,"Behavioural phenotype, Aggression",Julidochromis regani,,No shift,No,No shift,No shift,No shift,Behavioural differences between males and females,Just behavioural assessments. No shift.,,No,There is no shift in the quality of the interaction,,,,,,,
11/22/2019 2:10:34,MA352,ET,Experimental,Competition-cooperation,Intra-specific (within population),Argya squamiceps,Sentinel behaviour,Argya squamiceps,"It's a species trait, so it's inherited",Individuals,"It's rather a shift toward altruism. But if we assume mutualism=altruism and non-altruism=antagonism, then yes.","Mutualistic to antagonistic, Antagonistic to mutualistic","Resource use, Body size",Colony survival,"Yes, it describes individual differences",Increased body size leads to increased sentinel behaviour (and vice versa),,Yes,,,,,,,,
11/22/2019 2:24:41,MA387,ET,Observational,Competition-cooperation,Intra-specific (within population),Suricata suricatta,Interactions with conspecifics,Suricata suricatta,,Individuals,No,No shift,No shift,No shift,Social networks,,,No,There is no shift in the quality of the interaction,,,,,,,
11/24/2019 20:01:29,MA28,BC,testing hypothesis on an existing observational data set,Competition-cooperation,Intra-specific (within population),Homo sapiens,"fighting ability, coalitional strength, and mate value",humans,no,Individuals,"no, coalitional strength and fighting ability (i.e. bargaining power) correlates with aggressive behaviour",no shift present,NA,NA,"perhaps, individual variation in bargaining power and aggression ","It does report coalition strength (mutualism) and aggression (antagonism), but there is no shift, both traits correlate positively,  ",no,Yes,Humans as a study subject (note: this is currently being treated as an exclusion criteria),,,,,,,
11/24/2019 20:11:38,MA32,BC,Experimental,Competition-cooperation,Intra-specific (within population),Neolamprologus pulcher,body size,Neolamprologus pulcher,,Individuals,no,no shift,NA,NA,no,NA,no,No,"There is no evidence of trait variation, There is no shift in the quality of the interaction",,,,,,,
11/28/2019 11:06:57,MA67,NM,Modelling/theory,"Competition-cooperation, Based on predator-prey models, with agent competing/cooperating for common resources","Non-specific, interactions between individual organisms, potentially inter- or intraspecific",NA,"size (an abstract property of the agents, but analogies could be drawn with body size, it is a enhanced by resources gained and impacts capacity for resource acquisition)",NA,NA,Individuals,"Unclear, it shows competitive and cooperative scenarios that arise from different initial model conditions, not necessarily from the agent 'trait' variability which only determines the strength (not direction) of the interaction",NA,Imposed model parameters,Resource distribution among competing-cooperating agents,Modelling the formation and maintenance of individualised niches,Modified Lotka-Volterra model of n interacting agents,"Yes, the shift in quality of the interaction arises from model parameters, not from individual 'traits' of agents",Maybe,"modelling with individual traits incorporated appears relevant, but the shift in the direction of the interaction is due to an imposed model parameter (lean exclude)",,,,,,,
11/29/2019 20:55:47,MA205,MW,Modelling/theory,Competition-cooperation,Intra-specific (within population),,competitive dominance,,"Not relevant for this model, since a short time scale is considered.","Individuals, Populations","Yes, in the sense that there are strong shifts in the frequency of scroungers vs. producers.","Mutualistic to antagonistic, Antagonistic to mutualistic",Anything that would affect the monopolizability of resource patches. Resource scarcity and rate of depletion are also important factors.,"They discuss consequences for population dynamics. If more individuals produce, the total resource discovery in the population increases and populations may grow faster, whereas scrounging may reduce population growth rates.",Interesting aspect with regard to maintenance of trait variation: variation in competitive ability also influences the maintenance of individual differences in the producer-scrounger behaviour.,"The impact of variation in competitive dominance is determined by the monopolizability parameter c. A change in this parameter can strongly change the proportion of scroungers in the population (see Figs. 1 and 2). For example, strong differences in competitive ability can make scrounging unattractive for most individuals because the most competitive ones would take most of the resources.","While scrounging is antagonistic, producing may not be strictly mutualistic. But I think it is sufficiently neutral/positive to make this an interesting paper to include.",Yes,,,,,,,,
11/29/2019 22:24:12,MA334,MW,Modelling/theory,Competition-cooperation,"Intra-specific (within population), Intra-specific (between populations)",,"Model is not specific, but they mention several examples, e.g. skills, trophic polymorphisms, parasite resistance",,"assume fully heritable trait, single locus with two or more alleles",Group/patch within a randomly mating population,"It is assumed that individuals in mixed groups (with 2 or more alleles) have increased fitness. Therefore, these mutualistic interactions are only present with intraspecific variation. Without it, there is just competition.","Mutualistic to antagonistic, Antagonistic to mutualistic","Group size, fitness differences","Population dynamics, interaction with other species (e.g. prey, parasites)",social heterosis as a mechanism for the maintenance of genetic and trait variation,,,Yes,,,,,,,,
12/3/2019 4:25:38,MA52,PT,Review,"It's just about cooperation level, so none of the above.",Intra-specific (within population),n/a,n/a,There's only one species,n/a,,"Not really, it focuses on cooperation; there's no antagonism at the individual level, though there is some competition between groups..","Individual acting alone to mutualistic; there's not much in the way of antagonism, although they do allow for competition between groups.",Allsorts (it's a review),"That's a short, simple question, without a short or simple answer.",I don't think so.,"Might be useful as a paper to mention in our paper, in terms of ""Some have focused purely on the level of cooperation shown within a species (e.g., Gavrilets) but here, we focus on the mutualism-antagonism continuum.""","Concerned that it's focused on level of cooperation, rather than being about an antagonism-cooperation continuum.",Maybe,Doesn't really cover the antagonism part of the continuum.,,,,,,,
12/4/2019 0:31:05,MA377,MW,Review,"Host-symbiont, Competition-cooperation",Inter-specific (2 species),NA,investment in mutualism,NA,not really discussed,Species,"They discuss two potentially relevant scenarios: 1) In some cases, mutualists are at the same time engaged in interspecific competition (e.g. for butterflies engaged in Müllerian mimicry or for species performing interspecific group foraging). They argue that it depends on many factors whether the net effect of the interaction is positive or negative, but do not explicitly discuss the role of intraspecific trait variation here. 2) Variation in mutualist quality, in particular the presence of exploiters, may promote the long-term stability of the mutualism. The amount of intraspecific variation and the strength of competition may determine the direction of evolution on the mutualist-antagonist continnum.",both directions potentially possible,They argue that resource competition could be an important factor.,NA,Not so clear.,NA,"This is a review, so we would need to look up some of the original papers. I will include the ones that appear most relevant in the additional papers spreadsheet.",Yes,,,,,,,,
12/4/2019 3:16:11,MA127,MW,Modelling/theory,Competition-cooperation,"Intra-specific (within population), Intra-specific (between populations)","General model, mentions slime moulds and social wasps as potential empirical examples",fecundity,NA,"assumed to be non-genetic, non-heritable","Individuals, Populations","They show that the amount of variation in fecundity can change the potential for helping and harming behaviors. Interestingly, variation in fecundity can also increase relatedness within local neighbourhoods and thereby promote cooperation.",both directions potentially possible,"spatial structure (degree of local competition, migration rate), whether or not individuals can conditionally help high-quality or low-quality individuals",not discussed,"the conditional helping or harming can be interpreted as social niche conformance, they also mention that the mechanisms they describe can reinforce variation in fecundity because the low-quality individuals are selected to give up more of their fecundity to help others",NA,I am not sure I understood everything because the paper was not very clearly written in my opinion. ,Yes,,,,,,,,
12/9/2019 10:53:33,MA78,PT,Modelling/theory,"Competition-cooperation, Multi-cellular vs single-cell","Intra-specific (within population), Intra-specific (between populations)",n/a,"mutation rate, group size (N), propagule size",There's only really one species,No,"Individuals, Populations","Yes, sort of.  It's mainly about whether to be a single cell or have multi-cellularity though, so the antagonism is not refered to as such (but in a way could appear in the form of the PD game).",Antagonistic to mutualistic,Mainly mutation rate,Going to a multicellur organism (with group benefits that outweigh the benefit of operating alone).,Not really -- unless you regard multicellularity as a type of social niche!,,n/a,Yes,,,,,,,,
12/10/2019 18:42:42,MA43,BC,Hypothesis - opinion paper,transition from single cells to multicellularity,Intra-specific (within population),Pseudomonas,"collective Behaviour , i.e. producing adhesive glue to form a mat",Pseudomonas,no,clones? as we are talking about bacteria,no,"some cells are cheaters, some produce the adhesive glue to form a mat",not known,"mobility , i.e. once a mat (imobile form of Pseudomoas cells) is formed the cheaters have the chance to ""leave"" ","not sure, i tend to say no",,"This paper uses two published papers, which in case they are relevant should pop up themselves in our literature search. The individual cells do not shift in their interaction type. ",Maybe,"There is no shift in the quality of the interaction, if we assume a mutation as a shift than it might be suitable",,,,,,,
12/11/2019 2:37:27,MA2,CM,"Modelling/theory, Review",Consumer-resource/predator-prey,Inter-specific (2 species),NA,"body size; incisive strength dry matter content; pollinator tongue length, plant nectar  ",in both (modelling of trait-matching),NA,"Individuals, Species",yes,"Mutualistic to antagonistic, Antagonistic to mutualistic",trait variation and trait matching,"ecosystem functioning, architecture of biodiversity",NA,,,Yes,,,,,,,,
12/11/2019 2:58:08,MA18,CM,Modelling/theory,Consumer-resource/predator-prey,"Inter-specific (2 species), Intra-specific (within population)",NA,"apperance and toxicity level of prey, which influences predator decision making",prey,locus and alleles assumed,"Individuals, Populations",Yes,Mutualistic to antagonistic,toxicity and aposematic signaling of prey,environmental heterogeneity can drive evolutionary antagonism,potentially,NA,NA,Yes,,,,,,,,
12/11/2019 3:13:34,MA38,CM,Experimental,indovodual choices for food cues,Intra-specific (within population),Labroides dimidiatus (cleanerfish),"incentive salience, dopaminergic system",cleanerfish,,,No,"Shift from sign-tracker to goal-tracker, no interaction between individuals!",,,No,,,No,"There is no shift in the quality of the interaction, There is no interaction between individuals, just choice of a fish for cues",,,,,,,
12/11/2019 3:26:32,MA49,CM,Modelling/theory,"Consumer-resource/predator-prey, plant - pollinator",Inter-specific (>2 species),figs and fig wasps,COI locus,fig wasps,yes,Species,"No, only host specifity for closely related figs elucidated from phylogenies","no, see Q10",,,No,,no shift in interaction,No,"There is no evidence of trait variation, lineage delimitation and codiversification tests used to elucidate fig wasp asspciations with Ficus",,,,,,,
12/11/2019 3:51:30,MA60,CM,Observational,"Consumer-resource/predator-prey, Plants - seed dispersers/predators",Inter-specific (>2 species),"plants: Quercus lobata, Q. agrifolia, Q. douglasii; birds: Aphelocoma californica and Melanerpes formicivorus",seed crop size and acorn availability,plants,NA,"Individuals, Landscape-wide seed availability",Yes,Mutualistic to antagonistic,seed availability affects seed dispersal quality of Aphelocoma californica,apparent predation can arise from contrasting responses of seed predators to acorn availability,NA,"Traits of both players need to be considered, tree trait: seed availability; bird trait: seed predation dynamimcs","quite complex, as there are multiple players (3 tree and 2 bird species) which interact",Yes,,,,,,,,
12/11/2019 4:06:24,MA92,CM,Experimental,"Consumer-resource/predator-prey, Plant-pollinator/seed predator",Inter-specific (>2 species),"plant: Castilleja linariaefolia; pollinators: Selasphorus platycerus and S. rufus (hummingbirds): florivores/seed predators: Platyptila pica (plume moth), Phytomyza spp. (fly)","calyx length, flower production, plant height -> influence pollination success",plant,,Individuals,Yes,"Mutualistic to antagonistic, Antagonistic to mutualistic",flower traits are selected by pollinators and seed-predators,change in reproductive success of a plant,NA,Species interactions of more than 2 species - makes it quite complex,NA,Yes,,,,,,,,
12/11/2019 4:49:57,MA363,MW,Review,Competition-cooperation,Intra-specific (within population),NA,NA,NA,NA,Populations,"Mentions that ""maintenance of different personality types may favour the evolution of cooperation""",Not specified,NA,NA,"Yes, talks about maintenance of consistent differences between individuals.",NA,NA,Maybe,"Apart from the sentence cited for Q10, the paper is not really relevant to our question. However, some of the cited references may be. I will include them in the additional papers table.",,,,,,,
12/11/2019 4:54:02,MA406,MW,Modelling/theory,Competition-cooperation,Intra-specific (within population),virus,NA,NA,NA,,no,,NA,NA,NA,NA,NA,No,"They investigate the ""opposite"" problem, i.e. they manipulate the proportion of competitive/cooperative interactions and study consequences for maintenance of variation.",,,,,,,
12/11/2019 4:59:33,MA126,MW,Modelling/theory,Competition-cooperation,Intra-specific (within population),NA,"competitive dominance, also referred to as resource-holding potential",NA,assumed to be non-heritable here,,"No, they rather find that variation in dominance does not matter. Individuals evolve to share equally, i.e. cooperate, in any case.",,NA,NA,NA,They cite a few references that sound interesting. I will include them in the additional papers table.,NA,Maybe,There is no shift in the quality of the interaction,,,,,,,
12/11/2019 5:02:36,MA108,MW,Modelling/theory,Competition-cooperation,Intra-specific (within population),NA,"Dominants and subordinates, but no relevant trait variation as far as I understand.",NA,NA,,no,,NA,NA,NA,NA,NA,No,"There is no evidence of trait variation, There is no shift in the quality of the interaction",,,,,,,
12/11/2019 17:55:34,MA99,CM,Observational,"Consumer-resource/predator-prey, plant-seed dispersers",Inter-specific (>2 species),Crataegus monogyna (plant) and not further specified birds,"fruit and seed measures (length, diameter)",plant (Crataegus monogypna),NA,Individuals,Potential discussed but study does not reveal such a shift,Only potential mutualistic vs. antagonistic interactions discussed,selection of plant traits by seed-dispersing birds,temporal and spatial changes in environmental conditions may alter selective forced and the optimum phenotype in each situation,NA,NA,no clear shift in the interaction,No,There is no shift in the quality of the interaction,,,,,,,
12/11/2019 18:07:04,MA145,CM,Experimental,Consumer-resource/predator-prey,Inter-specific (>2 species),prey: various bryozoans; predators: Odontaster validus and Cheirimedon femoratus,chemical compounds,bryozoans,NA,"Individuals, Species",No,"no shift, the paper is only about the different bioactivity",,different repellent compounds play important role in bryozoans as defences against predators,NA,NA,not clear shift,No,There is no shift in the quality of the interaction,,,,,,,
12/11/2019 18:31:39,MA153,CM,Experimental,Consumer-resource/predator-prey,Inter-specific (2 species),"plant Linaria vulgaris, nectar robber: Bombus bifarius","flower visits, bouts spent nectar feeding",Bombus bifarius,NA,Individuals,No,"no shift, but different foraging strategies of nectar robbers",flower state,Nectar robbing ,NA,NA,"nectar robbers are antagonists, their different strategies are described",No,There is no shift in the quality of the interaction,,,,,,,
12/11/2019 18:43:43,MA206,CM,Review,Consumer-resource/predator-prey,Inter-specific (2 species),various tree and insect seed predator species,seed predation specificity,seed predators,NA,,No,always antagonistic,climate change,effects on management strategies for agricultural weeds,No,NA,NA,No,"There is no shift in the quality of the interaction, The trait varies between species, not within-species",,,,,,,
12/11/2019 18:56:54,MA230,CM,Observational,Host-symbiont,Inter-specific (2 species),37 plant species and numerous mite species,"leaf domatia structure, distribution and abundance on leaves",plants,NA,different mite species show different trophic levels,No,"No shift, rather descriptive",NA,NA,No,,"Impressive study, but not helpful for us",No,"There is no shift in the quality of the interaction, The trait varies between species, not within-species",,,,,,,
12/12/2019 0:01:07,MA267,CM,Experimental,Competition-cooperation,Inter-specific (2 species),Crematogaster modiglianii and Camponotus rufifemur (ant species),"nest initiation, foraging, trail.following, nest defence",both ant species,NA,nests as entities,yes,Mutualistic to antagonistic,Involvement of epiphyte (Poikilospermum cordifolium),foraging niches in parabiotic nests,different trophic niches in species interactions,NA,"somehow complex, a third ant species and a plant are also invloved in the interactions; I focused on the two main ant players",Yes,,,,,,,,
12/12/2019 0:12:33,MA353,CM,Modelling/theory,Competition-cooperation,Inter-specific (2 species),Ovis aries (sheep) and Cervus elaphus (red deer),"movement, food preferences, thermal insulation",in both species,NA,Individuals,yes,Mutualistic to antagonistic,density,multi-species animal movement under different babitat mosaics and abiotic environmental conditions,Potentially for movement data and density-dependence aspects,NA,NA,Yes,,,,,,,,
12/12/2019 6:21:47,MA80,PT,Modelling/theory,Male-female,Intra-specific (within population),n/a,Shape of the function of reproduction (number) against investment cost.,n/a,n/a,There's no antagonism,No.  Just looking at cooperation; there's not antagonism.,n/a,n/a,Evolution of males/females compared to hermaphrodites,Not really.,,I don't think it's relevant for us.,No,Not about the antagonism-mutualism scale.,,,,,,,
12/12/2019 9:24:16,MA86,PT,Modelling/theory,Consumer-resource/predator-prey,"Inter-specific (>2 species), Intra-specific (within population), Intra-specific (between populations)",n/a,n/a,n/a,No,Paper is not relevant,No.  Paper is not relevant.,Paper is not relevant,n/a,n/a,Quite possibly -- but the paper does not get into the topic of antagonism-mutualism.,,"Not relevant, despite the abstract making it seem so.",No,Does not get into the antagonism-mutualism continuum.,,,,,,,
12/12/2019 10:45:24,MA109,PT,Modelling/theory,"Abstract interaction (type not specified, but relates to invasions)",Inter-specific (2 species),u and v,Dispersal switching rate (and rate of local dynamical processes),"In some ways, both.  In another way, neither.",No.,Species,Yes. (Woo hoo!),"Either.  (When switching rate is high, the system is cooperative, when low, it's antagonistic.)",Mainly the switching rate between modes of migration,"Aside from cooperative/antagonistic, the stability of the system and the speed of invasion waves, I think.  (I'd need considerable time to really absorb this paper; it's quite maths-heavy.)","Hmm, probably not (aside from bieng useful for this project)","It's not an easy paper to digest; will take some deep thought to know how best to summarise it for the review, as the inputs are single (rate) values -- so it could be argued to *not* be relevant.  I think it's the sort of approach that Meike is more used to than I am -- so she may be able to digest it much more easily.","It's really that the trait gets set (high or low rate of switching between migration modes) and this then governs mutulaism/antagonism.  So it's not really that the trait itself varies, as it's an input.  However, I think the paper is still relevant to this review, as it says what should happen depending on that input.",Maybe,"There is no evidence of trait variation, It allows at trait to vary, and as that trait value cahnges, so does the cooperation/antagonism.  Which is why it's a maybe; it depends whether we can then interpret results in terms of subpopulations with different input values -- and that will require considerable thought.",,,,,,,
12/12/2019 21:08:56,MA183,PT,Modelling/theory,Cooperation in removing parasites,"Inter-specific (2 species), Intra-specific (within population)",n/a,"Payoffs, which depend on parasite loads, efficiency of grooming and the mobility of parasites.","The host ... but it's not really that a trait varies.  It's more that all individuals use the same evolved settings, but then have different parasite loads, so may behave differently -- and this could lead to cooperation.",No,Not really; just about whether to cooperate or not,"No, just cooperation really (although they address it in terms of the Prisoner's Dilemma)",,Ecological: parasite load changes the payoffs..,Alterations in parasite load,I don't think so.,,"There's not really antagonism, it's more about whether to cooperate or not.  The difference in 'trait' comes about not through inherent differences in the individuals, but thier parasite loads.  The authors don't seem to know the literature well and pitch things a bit weirdly (e.g., having individuals cooperate with 50% probability in the first interaction, rather than that level evolving).  So, it's not great!",Maybe,See answer to Q16,,,,,,,
12/13/2019 5:59:19,MA201,PT,Review,"Competition-cooperation, Review of different routes to evolution of cooperation",Intra-specific (within population),n/a,"Various: variation in potential to remain in the interaction, variation in state, parental care decisions (alternate vs sequential), uncertainty over partner's state, etc.",The focal species,No.,"Individuals, Populations",Not really -- it's about the cooperations spectrum rather than antagonism per se.,"Review mainly of theory, so both ways (but just wrt cooperation)","ecological, abiotic, social, mutational",It's focused on cooperation rather than identifying other (ecological) impacts,To some degree,,Mainly just the concern that it's about cooperation; not about antagonism,Maybe,Not about the antagonism part; just about evol of cooperation.,,,,,,,
12/16/2019 5:13:52,MA164,BC,Observational,Competition-cooperation,"Intra-specific (within population), not clear, cooperation within the colony and competition among colonies", Formica paralugubris,colony member or not, Formica paralugubris,no,Individuals,no,,"social , being a nest mate or not",,no,"The paper did not investigate the shift in that trait, it investigated the underlying fine scale population genetic structure",,Maybe,"As mentioned, the authors do not really investigate the trait variation or trait shift, but only the population genetic structure",,,,,,,
12/16/2019 5:56:59,MA173,BC,Observational,Competition-cooperation,Intra-specific (within population),Humans,Childhood environment ,humans,no,Individuals,yes,Mutualistic to antagonistic,Childhood exposure to neighbourhood violence and crime,,yes,,,No,Humans as a study subject (note: this is currently being treated as an exclusion criteria),,,,,,,
12/16/2019 6:08:25,MA174,BC,Observational,Competition-cooperation,Intra-specific (within population),"Polistes dominulus, Liostenogaster flavolineata",greater expected future fitness,"Polistes dominulus, Liostenogaster flavolineata",no,Individuals,yes,Mutualistic to antagonistic,"expected future fitness, i.e. rank order, or groups size ",,promotion of individual differences  - niche choice or niche conformance,,"no , except that they used data from a previous study",Yes,,,,,,,,
12/17/2019 15:34:06,MA320,BC,"Experimental, Review",Male-female,Intra-specific (within population),,brooding / care of young,Kentish plover,no,Individuals,not within an individual,,adult sex ratio,possibility to remate,"yes niche choice, conformance ",it is a review summarizing multiple papers of the authors,it is not clear whether the trait varies among individuals only or within an individual,Maybe,"There is no shift in the quality of the interaction, as mentioned above not clear whether there is a trait shift within an individual",,,,,,,
12/22/2019 20:40:34,MA332,BC,Experimental,Competition-cooperation,Intra-specific (within population),,sporulation/swarming intensity/frequency,Myxococcus xanthus,"they look at clones, showing or not showing this trait as a result of a mutation","Individuals, Clones",yes,,"mutation, probably driven by social factors (density)",,yes,,,Yes,,,,,,,,
12/22/2019 20:59:52,MA339,BC,Observational,"Male-female, Competition-cooperation",Intra-specific (within population),,MAting status/ child care,humans,no,Individuals,yes,Antagonistic to mutualistic,"mating status (social), presence of offspring",cooperation during child care parenting ,yes,,,No,Humans as a study subject (note: this is currently being treated as an exclusion criteria),,,,,,,
12/22/2019 21:08:22,MA361,BC,Observational,Competition-cooperation,Intra-specific (within population),,social status,Julidochromis ornatus,No,Individuals,no (has not been studied),,social status,,yes,,,Maybe,"There is no shift in the quality of the interaction, at least this shift has not been investigated",,,,,,,
12/22/2019 21:22:12,MA369,BC,Experimental,Competition-cooperation,Intra-specific (within population),,monetary rewards,humans,no,Individuals,yes,both ways,ecological (negative vs. positive environment) and social (human vs computer partner),prosocial Behaviour increases in negative environments,"yes, niche choice",,,No,Humans as a study subject (note: this is currently being treated as an exclusion criteria),,,,,,,
12/23/2019 3:53:56,MA19,LKL,"Observational, Experimental","Host-symbiont, Competition-cooperation",Inter-specific (2 species),67 bacterial isolates from M. annularis coral,Antibacterial activity (Intensity of inhibition against one another coral-associated bacteria),Coral-associated bacteria,No,Species,No,No shift - only antagonistic interactions between coral-associated  was studied ,,antagonistic bacteria help defending their coral host against pathogen invasion,No,Nil,No clear shift,No,There is no shift in the quality of the interaction,,,,,,,
12/23/2019 19:08:52,MA375,BC,Experimental,"Male-female, Competition-cooperation",Intra-specific (within population),NA,Agressive /submissive behaviour,Neolamprologus pulcher,no,,"no, is not investigated. ",,NA,NA,niche conformance,NA,NA,Maybe,There is no shift in the quality of the interaction,,,,,,,
12/24/2019 10:52:29,MA106,BC,Experimental,Competition-cooperation,Intra-specific (within population),,,Elacatinus prochilos,no,Individuals,yes,Mutualistic to antagonistic,presence/absence of larger individuals,,"yes, the maintenance of individual-level traits; niche conformance",,no,Yes,,,,,,,,
