"","abstract.id","title.x","abstract.x","screener.id.x","decision.x","scale.x","topic.x","notes.x","title.y","abstract.y","screener.id.y","decision.y","scale.y","topic.y","notes.y"
"91","MA180","Hormonal underpinnings of status conflict: Testosterone and cortisol are related to decisions and satisfaction in the hawk-dove game","A contribution to a special issue on Hormones and Human Competition. Testosterone is theorized to influence status-seeking behaviors such as social dominance and competitive behavior, but supporting evidence is mixed. The present study tested the roles of testosterone and cortisol in the hawk dove game, a dyadic economic decision-making paradigm in which earnings depend on one's own and the other player's choices. If one person selects the hawk strategy and the other person selects the dove strategy, the player who selected hawk attains a greater financial pay-off (status differentiation). The worst financial outcome occurs when both players choose the hawk strategy (status confrontation). Ninety-eight undergraduate students (42 men) provided saliva samples and played ten rounds of the hawk-dove game with another same-sex participant. In support of the hypothesis that testosterone is related to status concern, individuals higher in basal testosterone made more hawk decisions decisions that harmed the other player. Acute decreases in cortisol were also associated with more hawk decisions. There was some empirical support for the dual-hormone hypothesis as well: basal testosterone was positively related to satisfaction in the game among low basal-cortisol individuals but not among high basal-cortisol individuals. There were no significant sex differences in these hormonal effects. The present findings align with theories of hormones and status-seeking behavior at the individual level, but they also open up new avenues for research on hormone profiles at the collective level. Our results suggest that the presence of two or more high-testosterone members increases the likelihood of status confrontations over a limited resource that can undermine collective outcomes. (C) 2017 Elsevier Inc. All rights reserved.","CM","include","intraspecific","social dominance, competition",NA,"Hormonal underpinnings of status conflict: Testosterone and cortisol are related to decisions and satisfaction in the hawk-dove game","A contribution to a special issue on Hormones and Human Competition. Testosterone is theorized to influence status-seeking behaviors such as social dominance and competitive behavior, but supporting evidence is mixed. The present study tested the roles of testosterone and cortisol in the hawk dove game, a dyadic economic decision-making paradigm in which earnings depend on one's own and the other player's choices. If one person selects the hawk strategy and the other person selects the dove strategy, the player who selected hawk attains a greater financial pay-off (status differentiation). The worst financial outcome occurs when both players choose the hawk strategy (status confrontation). Ninety-eight undergraduate students (42 men) provided saliva samples and played ten rounds of the hawk-dove game with another same-sex participant. In support of the hypothesis that testosterone is related to status concern, individuals higher in basal testosterone made more hawk decisions decisions that harmed the other player. Acute decreases in cortisol were also associated with more hawk decisions. There was some empirical support for the dual-hormone hypothesis as well: basal testosterone was positively related to satisfaction in the game among low basal-cortisol individuals but not among high basal-cortisol individuals. There were no significant sex differences in these hormonal effects. The present findings align with theories of hormones and status-seeking behavior at the individual level, but they also open up new avenues for research on hormone profiles at the collective level. Our results suggest that the presence of two or more high-testosterone members increases the likelihood of status confrontations over a limited resource that can undermine collective outcomes. (C) 2017 Elsevier Inc. All rights reserved.","NM","include","intraspecific","competition-cooperation; human behaviour",""
"95","MA184","Host-pathogen interaction as a special case of interrelations between organisms","Plants are open systems and therefore maintain a vast number of complex relationships with the environment. Among these are: 1. Dependencies upon the external environment. 2. Strong influences on the environment. 3. Diverse interrelations with other organisms at different levels, of plant species among each other, and of plants with animals including human beings. According to the nature of the interaction various types of interrelations can be distinguished: (a) neutral relations (e.g. epiphytes), (b) mutualistic relations (fertilization, symbiosis), and (c) parasitic relations (incompatibility, the phytopathological host-parasite interactions). Pathogens can be defined as organisms out of place. As a result of special conditions defense reactions are observed in the stricken individuals such as irregular reactions on the metabolic level, formation of phytoalexins, competition for food, space, etc., involving also genetic interrelationships between hosts and their parasites. Such interrelations occurring on the cellular level include the problems of cell recognition, adherence of the cell surfaces to each other, and intercellular bridging. Interactions on the individual population and ecosystem levels can be reduced to aspects of the interactions, which involve mutual gene regulation.  1968 Koninklijke Nederlandse Planteziektenkundige Vereniging.","JW","include","interspecific","review","","Host-pathogen interaction as a special case of interrelations between organisms","Plants are open systems and therefore maintain a vast number of complex relationships with the environment. Among these are: 1. Dependencies upon the external environment. 2. Strong influences on the environment. 3. Diverse interrelations with other organisms at different levels, of plant species among each other, and of plants with animals including human beings. According to the nature of the interaction various types of interrelations can be distinguished: (a) neutral relations (e.g. epiphytes), (b) mutualistic relations (fertilization, symbiosis), and (c) parasitic relations (incompatibility, the phytopathological host-parasite interactions). Pathogens can be defined as organisms out of place. As a result of special conditions defense reactions are observed in the stricken individuals such as irregular reactions on the metabolic level, formation of phytoalexins, competition for food, space, etc., involving also genetic interrelationships between hosts and their parasites. Such interrelations occurring on the cellular level include the problems of cell recognition, adherence of the cell surfaces to each other, and intercellular bridging. Interactions on the individual population and ecosystem levels can be reduced to aspects of the interactions, which involve mutual gene regulation.  1968 Koninklijke Nederlandse Planteziektenkundige Vereniging.","NM","include","interspecific","theory; parasite-host",""
"99","MA188","How individual and relative size affect participation in territorial defense and cortisol levels in a social fish","For many species, behaviors such as territory defense and parental care are energetically costly, but are nonetheless can provide substantial fitness gains. In systems in which both parents provide parental care, each of the parents benefits from exhibiting (or having their partner exhibit) these behaviors. However, in many cases, costs and benefits differ between parents due to factors such as size or sex. Different intruder types may also impose different costs on parents. Predatory intruders might consume offspring, whereas conspecifics might threaten the social status of a parent, or provide benefits as a potential group joiner or mate. Responses to these intrusions may also be associated with variation in individual stress responses. We investigated associations among male and female sizes, and the interaction between these, with defense against conspecific and heterospecific territorial intruders by members of successfully breeding pairs in the cichlid fish Neolamprologus pulcher. We also investigated whether cortisol levels were associated with size or participation in territory defense because each may be a cause or consequence of individual variation in the stress response. We found that females paired with large males performed fewer defensive behaviors than females paired with smaller males. Males paired with relatively large females had higher baseline cortisol levels than those paired with smaller females. Collectively, individual characteristics such as size have consequences for each individual's behavior, and also influence the behavior, and endocrine state of social partners.","CM","include","intraspecific, interspecific","cooperation",NA,"How individual and relative size affect participation in territorial defense and cortisol levels in a social fish","For many species, behaviors such as territory defense and parental care are energetically costly, but are nonetheless can provide substantial fitness gains. In systems in which both parents provide parental care, each of the parents benefits from exhibiting (or having their partner exhibit) these behaviors. However, in many cases, costs and benefits differ between parents due to factors such as size or sex. Different intruder types may also impose different costs on parents. Predatory intruders might consume offspring, whereas conspecifics might threaten the social status of a parent, or provide benefits as a potential group joiner or mate. Responses to these intrusions may also be associated with variation in individual stress responses. We investigated associations among male and female sizes, and the interaction between these, with defense against conspecific and heterospecific territorial intruders by members of successfully breeding pairs in the cichlid fish Neolamprologus pulcher. We also investigated whether cortisol levels were associated with size or participation in territory defense because each may be a cause or consequence of individual variation in the stress response. We found that females paired with large males performed fewer defensive behaviors than females paired with smaller males. Males paired with relatively large females had higher baseline cortisol levels than those paired with smaller females. Collectively, individual characteristics such as size have consequences for each individual's behavior, and also influence the behavior, and endocrine state of social partners.","MW","include","intraspecific","Male-female",""
"101","MA19","Antagonistic interactions among coral-associated bacteria","Reef-building corals are comprised of close associations between the coral animal, symbiotic zooxanthellae, and a diversity of associated microbes (including Bacteria, Archaea and Fungi). Together, these comprise the coral holobiont - a paradigm that emphasizes the potential contributions of each component to the overall function and health of the coral. Little is known about the ecology of the coral-associated microbial community and its hypothesized role in coral health. We explored bacteria-bacteria antagonism among 67 bacterial isolates from the scleractinian coral Montastrea annularis at two temperatures using Burkholder agar diffusion assays. A majority of isolates exhibited inhibitory activity (69.6% of isolates at 25C, 52.2% at 31C), with members of the -proteobacteria (Vibrionales and Alteromonadales) being especially antagonistic. Elevated temperatures generally reduced levels of antagonism, although the effects were complex. Several potential pathogens were observed in the microbial community of apparently healthy corals, and 11.6% of isolates were able to inhibit the growth of the coral pathogen Vibrio shiloi at 25C. Overall, this study demonstrates that antagonism could be a structuring force in coral-associated microbial communities and may contribute to pathogenesis as well as disease resistance.  2009 Society for Applied Microbiology and Blackwell Publishing Ltd.","CF","include","interspecific","competition","","Antagonistic interactions among coral-associated bacteria","Reef-building corals are comprised of close associations between the coral animal, symbiotic zooxanthellae, and a diversity of associated microbes (including Bacteria, Archaea and Fungi). Together, these comprise the coral holobiont - a paradigm that emphasizes the potential contributions of each component to the overall function and health of the coral. Little is known about the ecology of the coral-associated microbial community and its hypothesized role in coral health. We explored bacteria-bacteria antagonism among 67 bacterial isolates from the scleractinian coral Montastrea annularis at two temperatures using Burkholder agar diffusion assays. A majority of isolates exhibited inhibitory activity (69.6% of isolates at 25C, 52.2% at 31C), with members of the -proteobacteria (Vibrionales and Alteromonadales) being especially antagonistic. Elevated temperatures generally reduced levels of antagonism, although the effects were complex. Several potential pathogens were observed in the microbial community of apparently healthy corals, and 11.6% of isolates were able to inhibit the growth of the coral pathogen Vibrio shiloi at 25C. Overall, this study demonstrates that antagonism could be a structuring force in coral-associated microbial communities and may contribute to pathogenesis as well as disease resistance.  2009 Society for Applied Microbiology and Blackwell Publishing Ltd.","PT","include","interspecific","Holobionts",""
"109","MA197","Individual and genetic task specialization in policing behaviour in the European honeybee","Cooperation in biological systems is frequently maintained by social enforcement mechanisms, where individually egoistic and group-costly behaviour is mutually suppressed by other group members. One of the best examples in nature is worker policing in the honeybee, Apis mellifera, where workers selectively remove or police eggs laid by workers that egoistically try to produce their own offspring instead of working for the good of the colony. It has long been suggested that worker policing behaviour should be genetically determined, as theory has shown that queen polyandry in the honeybee would be expected to give rise to clear indirect genetic or inclusive fitness benefits of worker policing, thereby causing genes for policing to spread in the population. In the present study, we tested the theory that worker policing should have a genetic component by determining whether workers belonging to different patrilines, derived from different fathers, differ in their tendency to police eggs. This analysis showed that variation in policing behaviour indeed has a genetic basis, with the trait having an estimated broad-sense heritability of 0.25 ([0.0130.46] 95% confidence limits). In addition, there was clear individual specialization in policing, as just a few individuals within each patriline were observed to police. Remarkably though, there was no evidence for age specialization, as workers of all ages, except those younger than 10 days and older than ca. 40 days, engaged in policing. This contrasts with most other behaviours in the honeybee, which usually follow a strict age-linked pattern of division of labour. Overall, we conclude that worker policing behaviour in the honeybee is genetically heritable and that workers of all ages engage in policing to help maintain the social order in the colony.  2017 The Association for the Study of Animal Behaviour","CF","include","intraspecific","sociality - competition","","Individual and genetic task specialization in policing behaviour in the European honeybee","Cooperation in biological systems is frequently maintained by social enforcement mechanisms, where individually egoistic and group-costly behaviour is mutually suppressed by other group members. One of the best examples in nature is worker policing in the honeybee, Apis mellifera, where workers selectively remove or police eggs laid by workers that egoistically try to produce their own offspring instead of working for the good of the colony. It has long been suggested that worker policing behaviour should be genetically determined, as theory has shown that queen polyandry in the honeybee would be expected to give rise to clear indirect genetic or inclusive fitness benefits of worker policing, thereby causing genes for policing to spread in the population. In the present study, we tested the theory that worker policing should have a genetic component by determining whether workers belonging to different patrilines, derived from different fathers, differ in their tendency to police eggs. This analysis showed that variation in policing behaviour indeed has a genetic basis, with the trait having an estimated broad-sense heritability of 0.25 ([0.0130.46] 95% confidence limits). In addition, there was clear individual specialization in policing, as just a few individuals within each patriline were observed to police. Remarkably though, there was no evidence for age specialization, as workers of all ages, except those younger than 10 days and older than ca. 40 days, engaged in policing. This contrasts with most other behaviours in the honeybee, which usually follow a strict age-linked pattern of division of labour. Overall, we conclude that worker policing behaviour in the honeybee is genetically heritable and that workers of all ages engage in policing to help maintain the social order in the colony.  2017 The Association for the Study of Animal Behaviour","NM","include","intraspecific","competition-cooperation; social networks",""
"110","MA198","Individual contributions to territory defence in a cooperative breeder: weighing up the benefits and costs","While investment in territory defence is expected to be influenced by its benefits, the additional role that costs may play is rarely considered. Here, we quantify both benefits and costs of repelling prospecting males in cooperative meerkats, and demonstrate that both are required to explain the substantial variation in individual contributions to the defence observed. Males benefit more from repelling prospectors than females, as males may lose dominance and be expelled during intrusions. Accordingly, males invest the most in repelling prospectors. We also show that males experience an associated cost in the form of reduced weight gain and, as such, heavier males contribute more to chasing prospectors. Finally, we show evidence of a cost not restricted to individuals engaged in chasing: both males and females reduce their contributions to feeding dependent pups when prospectors are present, resulting in a reduction in pup weight gain in this context. Males appear to adjust their contributions to chasing in light of this cost, chasing at lower rates when their group contains dependent young. Our findings support the view that investment in cooperative behaviours can be attributed to benefits and costs, and highlight the additional importance of considering trade-offs in investment between cooperative behaviours.","CF","include","intraspecific","sociality - competition","","Individual contributions to territory defence in a cooperative breeder: weighing up the benefits and costs","While investment in territory defence is expected to be influenced by its benefits, the additional role that costs may play is rarely considered. Here, we quantify both benefits and costs of repelling prospecting males in cooperative meerkats, and demonstrate that both are required to explain the substantial variation in individual contributions to the defence observed. Males benefit more from repelling prospectors than females, as males may lose dominance and be expelled during intrusions. Accordingly, males invest the most in repelling prospectors. We also show that males experience an associated cost in the form of reduced weight gain and, as such, heavier males contribute more to chasing prospectors. Finally, we show evidence of a cost not restricted to individuals engaged in chasing: both males and females reduce their contributions to feeding dependent pups when prospectors are present, resulting in a reduction in pup weight gain in this context. Males appear to adjust their contributions to chasing in light of this cost, chasing at lower rates when their group contains dependent young. Our findings support the view that investment in cooperative behaviours can be attributed to benefits and costs, and highlight the additional importance of considering trade-offs in investment between cooperative behaviours.","PT","include","intraspecific","male-female",""
"111","MA199","Individual interaction data are required in community ecology: a conceptual review of the predator-prey mass ratio and more","Community ecology is traditionally species-based and assumes that species comprise identical individuals. However, intraspecific variation is ubiquitous in nature because of ontogenetic growth and critical in food-we dynamics. To understand individual interaction-mediated food webs, researchers have recently focused on body size as the most fundamental biological aspect and assessed a parameter called the predator-prey mass ratio (PPMR). Herein, I review the conceptual development of the PPMR and suggest four major concerns regarding its measurement: (1) PPMR should be measured at the individual level because species-averaged values distort actual feeding relationships, (2) individual-level PPMR data on gape-unconstrained predators (e.g., terrestrial carnivores) are limited because previous studies have targeted gape-limited fish predators, (3) predators' prey size selectivity (preferred PPRM) is conceptually different from dietary prey size (realized PPMR) and should be distinguished by incorporating environmental prey abundance information, and (4) determinants of preferred PPMR, rather than those of realized PPMR, should be identified to describe size-dependent predation. Future studies are encouraged to explore not only predation but also other interaction types (e.g., competition, mutualism, and herbivory) at the individual level. However, this is not likely to occur while ecological communities are still considered to be interspecific interaction networks. To resolve this situation and more comprehensively understand biodiversity and ecosystem functioning, I suggest that community ecology requires a paradigm shift in the unit of interaction from species to individuals, similar to evolutionary biology, which revolutionized the unit of selection, because interactions occur between individuals.","CF","include","interspecific","predator-prey, review","","Individual interaction data are required in community ecology: a conceptual review of the predator-prey mass ratio and more","Community ecology is traditionally species-based and assumes that species comprise identical individuals. However, intraspecific variation is ubiquitous in nature because of ontogenetic growth and critical in food-we dynamics. To understand individual interaction-mediated food webs, researchers have recently focused on body size as the most fundamental biological aspect and assessed a parameter called the predator-prey mass ratio (PPMR). Herein, I review the conceptual development of the PPMR and suggest four major concerns regarding its measurement: (1) PPMR should be measured at the individual level because species-averaged values distort actual feeding relationships, (2) individual-level PPMR data on gape-unconstrained predators (e.g., terrestrial carnivores) are limited because previous studies have targeted gape-limited fish predators, (3) predators' prey size selectivity (preferred PPRM) is conceptually different from dietary prey size (realized PPMR) and should be distinguished by incorporating environmental prey abundance information, and (4) determinants of preferred PPMR, rather than those of realized PPMR, should be identified to describe size-dependent predation. Future studies are encouraged to explore not only predation but also other interaction types (e.g., competition, mutualism, and herbivory) at the individual level. However, this is not likely to occur while ecological communities are still considered to be interspecific interaction networks. To resolve this situation and more comprehensively understand biodiversity and ecosystem functioning, I suggest that community ecology requires a paradigm shift in the unit of interaction from species to individuals, similar to evolutionary biology, which revolutionized the unit of selection, because interactions occur between individuals.","PT","include","intraspecific","Pred-prey",""
"115","MA201","Individual variation behind the evolution of cooperation","Life on Earth has two remarkable properties. The first is variation: even apart from the vast number of extant species, there are considerable differences between individuals within a single species. The second property is cooperation. It is surprising that until recently the interactions between these two properties have rarely been addressed from an evolutionary point of view. Here, I concentrate on how inter-individual differences influence the evolution of cooperation. First, I deal with cases where individuality is maintained by random processes like mutation or phenotypic noise. Second, I examine when differences in state cause differences in behaviour. Finally, I investigate the effects of individual role specialization. Variation can be important in several ways. Increased random variation can change the expectation about cooperativeness of future partners, altering behaviour in a current relationship. Differences in state may serve as a book-keeping mechanism that is necessary for the evolution of reciprocity. If the cost of cooperation can depend on state then strategic regulation of state makes it possible to coerce partners to cooperate. If conditions force individuals to specialize, cooperation becomes more valuable. My review of theoretical models suggests that variation plays an important role in the evolution of cooperation.","KJB","include","intraspecific","theoretical, review","most important one so far","Individual variation behind the evolution of cooperation","Life on Earth has two remarkable properties. The first is variation: even apart from the vast number of extant species, there are considerable differences between individuals within a single species. The second property is cooperation. It is surprising that until recently the interactions between these two properties have rarely been addressed from an evolutionary point of view. Here, I concentrate on how inter-individual differences influence the evolution of cooperation. First, I deal with cases where individuality is maintained by random processes like mutation or phenotypic noise. Second, I examine when differences in state cause differences in behaviour. Finally, I investigate the effects of individual role specialization. Variation can be important in several ways. Increased random variation can change the expectation about cooperativeness of future partners, altering behaviour in a current relationship. Differences in state may serve as a book-keeping mechanism that is necessary for the evolution of reciprocity. If the cost of cooperation can depend on state then strategic regulation of state makes it possible to coerce partners to cooperate. If conditions force individuals to specialize, cooperation becomes more valuable. My review of theoretical models suggests that variation plays an important role in the evolution of cooperation.","NM","include","intraspecific","theory; competition-cooperation;",""
"116","MA202","Individual variation in resource use by opossums leading to nested fruit consumption","Despite recent findings on the ecological relevance of within population diet variation far less attention has been devoted to the role diet variation for ecological services. Seed dispersal is a key ecological service, affecting plant fitness and regeneration based on foraging by fruit-eating vertebrates. Here we used a network approach, widely used to understand how seed-dispersal is organized at the species level, to gain insights into the patterns that emerge at the individual-level. We studied the individual fruit consumption behavior of a South American didelphid Didelphis albiventris, during the cool-dry and warm-wet seasons. In species-species networks the heterogeneity in specialization levels generates patterns such as nestedness and asymmetry. Because generalist populations may be comprised of specialized individuals, we hypo thesized that network structural properties, such as nestedness, should also emerge at the individual level. We detected variation in fruit consumption that was not related to resource availability, ontogenetic or sexual factors or sampling biases. Such variation resulted in the structural patterns often found in species-species seed-dispersal networks: low connectance, a high degree of nestedness and the absence of modules. Moreover structure varied between the warm-wet and cool-dry seasons, presumably as a consequence of seasonal fluctuation in fruit availability. Our findings suggest individuals may differ in selectivity causing asymmetries in seed dispersal efficiency within the population. In this sense the realized dispersal would differ from the expected dispersal estimated from their average dispersal potential. Additionally the results suggest possible frequency-dependent effects on seed dispersal that might affect individual plant performance and plant community composition.","CF","include","intraspecific","seed-dispersal","","Individual variation in resource use by opossums leading to nested fruit consumption","Despite recent findings on the ecological relevance of within population diet variation far less attention has been devoted to the role diet variation for ecological services. Seed dispersal is a key ecological service, affecting plant fitness and regeneration based on foraging by fruit-eating vertebrates. Here we used a network approach, widely used to understand how seed-dispersal is organized at the species level, to gain insights into the patterns that emerge at the individual-level. We studied the individual fruit consumption behavior of a South American didelphid Didelphis albiventris, during the cool-dry and warm-wet seasons. In species-species networks the heterogeneity in specialization levels generates patterns such as nestedness and asymmetry. Because generalist populations may be comprised of specialized individuals, we hypo thesized that network structural properties, such as nestedness, should also emerge at the individual level. We detected variation in fruit consumption that was not related to resource availability, ontogenetic or sexual factors or sampling biases. Such variation resulted in the structural patterns often found in species-species seed-dispersal networks: low connectance, a high degree of nestedness and the absence of modules. Moreover structure varied between the warm-wet and cool-dry seasons, presumably as a consequence of seasonal fluctuation in fruit availability. Our findings suggest individuals may differ in selectivity causing asymmetries in seed dispersal efficiency within the population. In this sense the realized dispersal would differ from the expected dispersal estimated from their average dispersal potential. Additionally the results suggest possible frequency-dependent effects on seed dispersal that might affect individual plant performance and plant community composition.","MW","include","interspecific","seed dispersal/fruit consumption",""
"118","MA204","Inducible defence and the social evolution of herd immunity","Many organisms vary their level of investment in defensive characters. Protective traits may be induced upon exposure to predators or parasites. In a similar way, humans vaccinate in response to threatening epidemics. When most group members defend themselves, epidemics die out quickly because parasites cannot spread. A high level of group (herd) immunity is therefore beneficial to the group. There is, however, a well-known divergence between the optimum degree of induction for selfish individuals and the level of induction that maximizes group benefit. I develop two optimality models for the frequency of induction. The first model shows that higher relatedness favours more induction and a smaller difference between selfish and cooperative optima. The second model assumes variation in the vigour of individuals and therefore differences in the relative cost for induction. The model predicts that strong individuals induce more easily than weak individuals. Small differences in vigour cause a large divergence in the optimal levels of induction for strong and weak individuals. The concept of genetic relatedness in an evolutionary model is analogous to correlated interests and correlated strategies in an economic model of human behaviour. The evolutionary models presented here therefore provide a basis for further study of human vaccination.","KJB","include","interspecific","Host-parasite, modelling","Last part seems most interesting: small differences in vigour leading to differences in optimal level of induction. However, it is unclear currently whether the small differences supposedly occur in multiple individuals in the same population, or whether they describe differences between two (in themselves homgeneous) populations.","Inducible defence and the social evolution of herd immunity","Many organisms vary their level of investment in defensive characters. Protective traits may be induced upon exposure to predators or parasites. In a similar way, humans vaccinate in response to threatening epidemics. When most group members defend themselves, epidemics die out quickly because parasites cannot spread. A high level of group (herd) immunity is therefore beneficial to the group. There is, however, a well-known divergence between the optimum degree of induction for selfish individuals and the level of induction that maximizes group benefit. I develop two optimality models for the frequency of induction. The first model shows that higher relatedness favours more induction and a smaller difference between selfish and cooperative optima. The second model assumes variation in the vigour of individuals and therefore differences in the relative cost for induction. The model predicts that strong individuals induce more easily than weak individuals. Small differences in vigour cause a large divergence in the optimal levels of induction for strong and weak individuals. The concept of genetic relatedness in an evolutionary model is analogous to correlated interests and correlated strategies in an economic model of human behaviour. The evolutionary models presented here therefore provide a basis for further study of human vaccination.","NM","include","intraspecific","theory/modelling; competition-cooperation;",""
"119","MA205","Information use and resource competition: An integrative framework","Organisms may reduce uncertainty regarding how best to exploit their environment by collecting information about resource distribution. We develop a model to demonstrate how competition can facilitate or constrain an individuals ability to use information when acquiring resources. As resource distribution underpins both selection on information use and the strength and nature of competition between individuals, we demonstrate interdependencies between the two that should be common in nature. Individuals in our model can search for resources either personally or by using social information. We explore selection on social information use across a comprehensive range of ecological conditions, generalizing the producerscrounger framework to a wide diversity of taxa and resources. We show that resource ecologydefined by scarcity, depletion rate and monopolizabilitydetermines patterns of individual differences in social information use. These differences suggest coevolutionary processes linking dominance systems and social information use, with implications for the evolutionary demography of populations.  2016 The Author(s) Published by the Royal Society. All rights reserved.","CM","include","interspecific","theoretical/modelling, social networks",NA,"Information use and resource competition: An integrative framework","Organisms may reduce uncertainty regarding how best to exploit their environment by collecting information about resource distribution. We develop a model to demonstrate how competition can facilitate or constrain an individuals ability to use information when acquiring resources. As resource distribution underpins both selection on information use and the strength and nature of competition between individuals, we demonstrate interdependencies between the two that should be common in nature. Individuals in our model can search for resources either personally or by using social information. We explore selection on social information use across a comprehensive range of ecological conditions, generalizing the producerscrounger framework to a wide diversity of taxa and resources. We show that resource ecologydefined by scarcity, depletion rate and monopolizabilitydetermines patterns of individual differences in social information use. These differences suggest coevolutionary processes linking dominance systems and social information use, with implications for the evolutionary demography of populations.  2016 The Author(s) Published by the Royal Society. All rights reserved.","PT","include","intraspecific","model/theory",""
"120","MA206","Insect seed predators and environmental change","1. The seed-to-seedling transition may be a critical stage in determining the dynamics of plant populations. Insects which kill seeds either before or after dispersal can influence the population dynamics of individual plant species, and ultimately, plant diversity and assemblage composition. 2. We discuss the potential for insect seed predators to maintain diversity in plant assemblages and to structure their composition, with a particular focus on diverse tropical forest habitats. We suggest that our ability to understand the functional effects of insect seed predators is hampered by a shortage of unbiased information on (i) their responses to the density of prey seeds at different spatial scales, and (ii) their host plant specificity. 3. Density-dependence and its implications may be best assessed using manipulative field experiments. Such approaches can reveal how insect seed predators respond behaviourally and demographically to the density of individual host species and multiple host species across a range of spatial scales. 5. Host specificity and its implications may be best addressed through quantitative food web approaches previously applied largely to host-parasitoid interactions. Food webs will allow ecologists to assess the likely importance of indirect interactions such as apparent competition and apparent mutualism in structuring plant assemblages, and the functional consequences of adding or removing individual resource or consumer species. 6. Fully quantifying the wider effects of seed predators will require studies that better integrate seed stage-specific demographic information, and which quantify the long-term effects of variations in seed predation rates for plant recruitment. Synthesis and applications. Compared to other functionally important insect groups such as pollinators, seed predators have received relatively little attention in the context of the functioning and sustainability of agro-ecosystems and the consequences of global environmental change for ecological communities. A fuller understanding of the ecology of insect seed predator-plant interactions will be valuable to conservation and management in a range of natural and agricultural systems. For example, seed predator community ecology is relevant to predicting the consequences of deliberately or unintentionally introducing novel resource or consumer species; the process of habitat recovery following local disturbances; and managing the effects of pest or beneficial seed predators in agricultural crops. Furthermore, patterns of insect seed predation on a larger scale are likely to be highly sensitive to global environmental change drivers such as climate change and systematic habitat modification and fragmentation, with implications for the structure and organization of ecological communities more widely.","CF","include","intraspecific","seed-dispersal/predators","","Insect seed predators and environmental change","1. The seed-to-seedling transition may be a critical stage in determining the dynamics of plant populations. Insects which kill seeds either before or after dispersal can influence the population dynamics of individual plant species, and ultimately, plant diversity and assemblage composition. 2. We discuss the potential for insect seed predators to maintain diversity in plant assemblages and to structure their composition, with a particular focus on diverse tropical forest habitats. We suggest that our ability to understand the functional effects of insect seed predators is hampered by a shortage of unbiased information on (i) their responses to the density of prey seeds at different spatial scales, and (ii) their host plant specificity. 3. Density-dependence and its implications may be best assessed using manipulative field experiments. Such approaches can reveal how insect seed predators respond behaviourally and demographically to the density of individual host species and multiple host species across a range of spatial scales. 5. Host specificity and its implications may be best addressed through quantitative food web approaches previously applied largely to host-parasitoid interactions. Food webs will allow ecologists to assess the likely importance of indirect interactions such as apparent competition and apparent mutualism in structuring plant assemblages, and the functional consequences of adding or removing individual resource or consumer species. 6. Fully quantifying the wider effects of seed predators will require studies that better integrate seed stage-specific demographic information, and which quantify the long-term effects of variations in seed predation rates for plant recruitment. Synthesis and applications. Compared to other functionally important insect groups such as pollinators, seed predators have received relatively little attention in the context of the functioning and sustainability of agro-ecosystems and the consequences of global environmental change for ecological communities. A fuller understanding of the ecology of insect seed predator-plant interactions will be valuable to conservation and management in a range of natural and agricultural systems. For example, seed predator community ecology is relevant to predicting the consequences of deliberately or unintentionally introducing novel resource or consumer species; the process of habitat recovery following local disturbances; and managing the effects of pest or beneficial seed predators in agricultural crops. Furthermore, patterns of insect seed predation on a larger scale are likely to be highly sensitive to global environmental change drivers such as climate change and systematic habitat modification and fragmentation, with implications for the structure and organization of ecological communities more widely.","PT","include","interspecific","seed predation",""
