"","abstract.id","title.x","abstract.x","screener.id.x","decision.x","scale.x","topic.x","notes.x","title.y","abstract.y","screener.id.y","decision.y","scale.y","topic.y","notes.y"
"93","MA182","Host species and environmental variation can influence rhizobial community composition","Nitrogen-fixing rhizobial mutualists display high levels of genetic and phenotypic diversity at multiple spatial scales. Identifying the ecological and environmental drivers of variation in the genetic composition and function of rhizobial communities is critical to understanding rhizobial impacts on community and ecosystem productivity. In this study, we examined how environmental factors and host species jointly affect rhizobial phenotypic diversity and community structure. Individual host plants of two native Australian legumes, Acacia salicina and A.stenophylla, were inoculated with a community of six rhizobial strains (belonging to three genera) previously characterized for symbiotic effectiveness. The plants were grown in a fully factorial experiment under high and low phosphorus and water, and high or no nitrogen. Half the plants were harvested after 19weeks and the other half after 30weeks. The relative abundance of the six rhizobial strains was characterized using amplicon sequencing of the rhizobial 16S rRNA gene from DNA extracted from the root nodules of plants after each harvest. Variation in the relative abundance of the six rhizobial strains was best explained by host species, although interactions between environment and host species also emerged as significant predictors of variation in rhizobial community composition. We detected strong host-specific interactions for two strains, while two other strains were clearly generalists, being relatively abundant in both host species. For both host species, the two generalist strains were as abundant as the best specialist strain within the rhizobial community. Synthesis. Our study show host species identity as the key determinant of rhizobial community structure within the root nodules of Acacia plants. Strains that were efficient at promoting the growth of their host plant had high relative abundance in experimental communities. Furthermore, interaction among host species, rhizobial host-range, and environmental variation determine the structure of rhizobial communities, although not in clearly predictable ways. Such interactions contributed to the maintenance (albeit at relatively low frequencies) of ineffective strains in nodule communities. These interacting effects could help to explain why rhizobial communities are functionally diverse, such that specialists, generalists and seemingly ineffective rhizobia, can be simultaneously maintained in rhizosphere communities.  2016 The Authors. Journal of Ecology  2016 British Ecological Society","CF","include","interspecific","Mutualism","","Host species and environmental variation can influence rhizobial community composition","Nitrogen-fixing rhizobial mutualists display high levels of genetic and phenotypic diversity at multiple spatial scales. Identifying the ecological and environmental drivers of variation in the genetic composition and function of rhizobial communities is critical to understanding rhizobial impacts on community and ecosystem productivity. In this study, we examined how environmental factors and host species jointly affect rhizobial phenotypic diversity and community structure. Individual host plants of two native Australian legumes, Acacia salicina and A.stenophylla, were inoculated with a community of six rhizobial strains (belonging to three genera) previously characterized for symbiotic effectiveness. The plants were grown in a fully factorial experiment under high and low phosphorus and water, and high or no nitrogen. Half the plants were harvested after 19weeks and the other half after 30weeks. The relative abundance of the six rhizobial strains was characterized using amplicon sequencing of the rhizobial 16S rRNA gene from DNA extracted from the root nodules of plants after each harvest. Variation in the relative abundance of the six rhizobial strains was best explained by host species, although interactions between environment and host species also emerged as significant predictors of variation in rhizobial community composition. We detected strong host-specific interactions for two strains, while two other strains were clearly generalists, being relatively abundant in both host species. For both host species, the two generalist strains were as abundant as the best specialist strain within the rhizobial community. Synthesis. Our study show host species identity as the key determinant of rhizobial community structure within the root nodules of Acacia plants. Strains that were efficient at promoting the growth of their host plant had high relative abundance in experimental communities. Furthermore, interaction among host species, rhizobial host-range, and environmental variation determine the structure of rhizobial communities, although not in clearly predictable ways. Such interactions contributed to the maintenance (albeit at relatively low frequencies) of ineffective strains in nodule communities. These interacting effects could help to explain why rhizobial communities are functionally diverse, such that specialists, generalists and seemingly ineffective rhizobia, can be simultaneously maintained in rhizosphere communities.  2016 The Authors. Journal of Ecology  2016 British Ecological Society","PT","exclude","","",""
"94","MA183","Host-parasite dynamics lead to mixed cooperative games","Although the Prisoner's dilemma is a leading metaphor for the evolution of sociality, only a few studies demonstrate that this game indeed operates in nature. We offer an alternative perspective, in which parasites and their hosts are used as a model system, suggesting that Prisoner's dilemma may be rare due to different individuals experiencing variation in the payoffs they receive from alternative strategies. Ectoparasites (such as fleas) move stochastically between hosts, causing differential parasite burdens. The resulting variance in the need for cooperation - in this case cooperative allogrooming - means that payoffs for different strategies (e.g. cooperate and defect) are not fixed. Our simulations revealed that due to parasite dynamics, cooperation among hosts conforms to a mixture of two games: Mutualism and Cruel Bind, both of which are more likely to coerce individuals into mutual cooperation than Prisoner's dilemma. Though interesting, Prisoner's dilemma is in fact the least likely scenario. If payoff variation is common, the dominance of the Prisoner's dilemma paradigm may have made us unnecessarily puzzled by cooperation in nature.","KJB","include","interspecific","modelling","","Host-parasite dynamics lead to mixed cooperative games","Although the Prisoner's dilemma is a leading metaphor for the evolution of sociality, only a few studies demonstrate that this game indeed operates in nature. We offer an alternative perspective, in which parasites and their hosts are used as a model system, suggesting that Prisoner's dilemma may be rare due to different individuals experiencing variation in the payoffs they receive from alternative strategies. Ectoparasites (such as fleas) move stochastically between hosts, causing differential parasite burdens. The resulting variance in the need for cooperation - in this case cooperative allogrooming - means that payoffs for different strategies (e.g. cooperate and defect) are not fixed. Our simulations revealed that due to parasite dynamics, cooperation among hosts conforms to a mixture of two games: Mutualism and Cruel Bind, both of which are more likely to coerce individuals into mutual cooperation than Prisoner's dilemma. Though interesting, Prisoner's dilemma is in fact the least likely scenario. If payoff variation is common, the dominance of the Prisoner's dilemma paradigm may have made us unnecessarily puzzled by cooperation in nature.","PT","exclude","","","Excluded because: just depends on population density, rather than a variable trait."
"96","MA185","Host-symbiont-pathogen interactions in blood-feeding parasites: Nutrition, immune cross-talk and gene exchange","Animals are common hosts of mutualistic, commensal and pathogenic microorganisms. Blood-feeding parasites feed on a diet that is nutritionally unbalanced and thus often rely on symbionts to supplement essential nutrients. However, they are also of medical importance as they can be infected by pathogens such as bacteria, protists or viruses that take advantage of the blood-feeding nutritional strategy for own transmission. Since blood-feeding evolved multiple times independently in diverse animals, it showcases a gradient of host-microbe interactions. While some parasitic lineages are possibly asymbiotic and manage to supplement their diet from other food sources, other lineages are either loosely associated with extracellular gut symbionts or harbour intracellular obligate symbionts that are essential for the host development and reproduction. What is perhaps even more diverse are the pathogenic lineages that infect blood-feeding parasites. This microbial diversity not only puts the host into a complicated situation -distinguishing between microorganisms that can greatly decrease or increase its fitness -but also increases opportunity for horizontal gene transfer to occur in this environment. In this review, I first introduce this diversity of mutualistic and pathogenic microorganisms associated with blood-feeding animals and then focus on patterns in their interactions, particularly nutrition, immune cross-talk and gene exchange.  2018 Cambridge University Press.","JW","include","interspecific","parasite-host; review","","Host-symbiont-pathogen interactions in blood-feeding parasites: Nutrition, immune cross-talk and gene exchange","Animals are common hosts of mutualistic, commensal and pathogenic microorganisms. Blood-feeding parasites feed on a diet that is nutritionally unbalanced and thus often rely on symbionts to supplement essential nutrients. However, they are also of medical importance as they can be infected by pathogens such as bacteria, protists or viruses that take advantage of the blood-feeding nutritional strategy for own transmission. Since blood-feeding evolved multiple times independently in diverse animals, it showcases a gradient of host-microbe interactions. While some parasitic lineages are possibly asymbiotic and manage to supplement their diet from other food sources, other lineages are either loosely associated with extracellular gut symbionts or harbour intracellular obligate symbionts that are essential for the host development and reproduction. What is perhaps even more diverse are the pathogenic lineages that infect blood-feeding parasites. This microbial diversity not only puts the host into a complicated situation -distinguishing between microorganisms that can greatly decrease or increase its fitness -but also increases opportunity for horizontal gene transfer to occur in this environment. In this review, I first introduce this diversity of mutualistic and pathogenic microorganisms associated with blood-feeding animals and then focus on patterns in their interactions, particularly nutrition, immune cross-talk and gene exchange.  2018 Cambridge University Press.","MW","exclude","","",""
"97","MA186","Hot spots, cold spots, and the geographic mosaic theory of coevolution,","Species interactions commonly coevolve as complex geographic mosaics of populations shaped by differences in local selection and gene flow. We use a haploid matching-alleles model for coevolution to evaluate how a pair of species coevolves when fitness interactions are reciprocal in some locations ({''}hot spots{''}) but not in others ({''}cold spots{''}). Our analyses consider mutualistic and antagonistic interspecific interactions and a variety of gene Dow patterns between hot and cold spots. We found that hot and cold spots together with gene flow influence coevolutionary dynamics in four important ways. First, hot spots need not be ubiquitous to have a global influence on evolution, although rare hat spots wilt not have a disproportionate impact unless selection is relatively strong there. Second, asymmetries in gene flow can influence local adaptation, sometimes creating stable equilibria at which species experience minimal fitness in hot spots and maximal fitness in cold spots, or vice versa. Third, asymmetries in gene flow are no more important than asymmetries in population regulation for determining the maintenance of local polymorphisms through coevolution. Fourth, intraspecific allele frequency differences among hot and cold spot populations evolve under some, but not all, conditions. That is, selection mosaics are indeed capable of producing spatially variable coevolutionary outcomes across the landscapes over which species interact. Altogether, our analyses indicate that coevolutionary trajectories can be strongly shaped by the geographic distribution of coevolutionary hot and cold spots, and by the pattern of gene flow among populations.","UE","include","interspecific","mutualistic and antagonistic model","","Hot spots, cold spots, and the geographic mosaic theory of coevolution","Species interactions commonly coevolve as complex geographic mosaics of populations shaped by differences in local selection and gene flow. We use a haploid matching-alleles model for coevolution to evaluate how a pair of species coevolves when fitness interactions are reciprocal in some locations ({''}hot spots{''}) but not in others ({''}cold spots{''}). Our analyses consider mutualistic and antagonistic interspecific interactions and a variety of gene Dow patterns between hot and cold spots. We found that hot and cold spots together with gene flow influence coevolutionary dynamics in four important ways. First, hot spots need not be ubiquitous to have a global influence on evolution, although rare hat spots wilt not have a disproportionate impact unless selection is relatively strong there. Second, asymmetries in gene flow can influence local adaptation, sometimes creating stable equilibria at which species experience minimal fitness in hot spots and maximal fitness in cold spots, or vice versa. Third, asymmetries in gene flow are no more important than asymmetries in population regulation for determining the maintenance of local polymorphisms through coevolution. Fourth, intraspecific allele frequency differences among hot and cold spot populations evolve under some, but not all, conditions. That is, selection mosaics are indeed capable of producing spatially variable coevolutionary outcomes across the landscapes over which species interact. Altogether, our analyses indicate that coevolutionary trajectories can be strongly shaped by the geographic distribution of coevolutionary hot and cold spots, and by the pattern of gene flow among populations.","MW","exclude","","",""
"107","MA195","Independent effects of arbuscular mycorrhiza and earthworms on plant diversity and newcomer plant establishment","Questions: How do arbuscular mycorrhiza and earthworms affect the structure and diversity of a ruderal plant community? Is the establishment success of newcomer plants enhanced by these soil organisms and their interactions? Methods: We grew a native ruderal plant community composed of different functional groups (grasses, legumes and forbs) in the presence and absence of arbuscular mycorrhizal fungi (AMF) and endogeic earthworms in mesocosms. We introduced seeds of five, mainly exotic, plant species from the same functional groups after a disturbance simulating mowing. The effects of the soil organisms on the native ruderal plant community and seedling establishment of the newcomer plants were assessed. Results: After disturbance, the total above-ground regrowth of the native plant community was not affected by the soil organisms. However, AMF increased plant diversity and shoot biomass of forbs, but decreased shoot biomass of grasses of the native plant community. Earthworms led to a reduction in total root biomass. Establishment of the introduced newcomer plants increased in the presence of AMF and earthworms. Especially, seedling establishment of the introduced non-native legume Lupinus polyphyllus and the native forb Plantago lanceolata was promoted in the presence of AMF and earthworms, respectively. The endogeic earthworms gained more weight in the presence of AMF and led to increased extraradical AMF hyphal length in soil. However, earthworms did not seem to modify the effect of AMF on the plant community. Conclusion: The present study shows the importance of mutualistic soil organisms in mediating the establishment success of newcomer plants in a native plant community. Mutualistic soil organisms lead to changes in the structure and diversity of the native plant community and might promote newcomer plants, including exotic species.","JW","include","interspecific","?","","Independent effects of arbuscular mycorrhiza and earthworms on plant diversity and newcomer plant establishment","Questions: How do arbuscular mycorrhiza and earthworms affect the structure and diversity of a ruderal plant community? Is the establishment success of newcomer plants enhanced by these soil organisms and their interactions? Methods: We grew a native ruderal plant community composed of different functional groups (grasses, legumes and forbs) in the presence and absence of arbuscular mycorrhizal fungi (AMF) and endogeic earthworms in mesocosms. We introduced seeds of five, mainly exotic, plant species from the same functional groups after a disturbance simulating mowing. The effects of the soil organisms on the native ruderal plant community and seedling establishment of the newcomer plants were assessed. Results: After disturbance, the total above-ground regrowth of the native plant community was not affected by the soil organisms. However, AMF increased plant diversity and shoot biomass of forbs, but decreased shoot biomass of grasses of the native plant community. Earthworms led to a reduction in total root biomass. Establishment of the introduced newcomer plants increased in the presence of AMF and earthworms. Especially, seedling establishment of the introduced non-native legume Lupinus polyphyllus and the native forb Plantago lanceolata was promoted in the presence of AMF and earthworms, respectively. The endogeic earthworms gained more weight in the presence of AMF and led to increased extraradical AMF hyphal length in soil. However, earthworms did not seem to modify the effect of AMF on the plant community. Conclusion: The present study shows the importance of mutualistic soil organisms in mediating the establishment success of newcomer plants in a native plant community. Mutualistic soil organisms lead to changes in the structure and diversity of the native plant community and might promote newcomer plants, including exotic species.","PT","exclude","","","Excluded because: doesn’t include intraspecific variability"
"117","MA203","Individual versus social complexity, with particular reference to ant colonies","Insect societies - colonies of ants, bees, wasps and termites vary enormously in their social complexity. Social complexity is a broadly used term that encompasses many individual and colony-level traits and characteristics such as colony size, polymorphism and foraging strategy. A number of earlier studies have considered the relationships among various correlates of social complexity in insect societies; in this review, we build upon those studies by proposing additional correlates and show how all correlates can be integrated in a common explanatory framework. The various correlates are divided among four broad categories (sections). Under 'polyphenism' we consider the differences among individuals, in particular focusing upon 'caste' and specialization of individuals. This is followed by a section on 'totipotency' in which we consider the autonomy and subjugation of individuals. Under this heading we consider various aspects such as intracolony conflict, worker reproductive potential and physiological or morphological restrictions which limit individuals' capacities to perform a range of tasks or functions. A section entitled 'organization of work' considers a variety of aspects, e.g. the ability to tackle group, team or partitioned tasks, foraging strategics and colony reliability and efficiency. A final section, 'communication and functional integration', considers how individual activity is coordinated to produce an integrated and adaptive colony. Within each section we use illustrative examples drawn from the social insect literature (mostly from ants, for which there is the best data) to illustrate concepts or trends and make a number of predictions concerning how a particular trait is expected to correlate with other aspects of social complexity. Within each section we also expand the scope of the arguments to consider these relationships in a much broader sense of 'sociality' by drawing parallels with other 'social' entities such as multicellular individuals, which can be understood as 'societies' of cells. The aim is to draw out any parallels and common causal relationships among the correlates. Two themes run through the study. The first is the role of colony size as an important factor affecting social complexity. The second is the complexity of individual workers in relation to the complexity of the colony. Consequently, this is an ideal opportunity to test a previously proposed hypothesis that 'individuals of highly social ant species arc less complex than individuals from simple ant species' in light of numerous social correlates. Our findings support this hypothesis. In summary, we conclude that, in general, complex societies arc characterized by large colony size, worker polymorphism, strong behavioural specialization and loss of totipotency in its workers, low individual complexity, decentralized colony control and high system redundancy, low individual competence, a high degree of worker cooperation when tackling tasks, group foraging strategies, high tempo, multi-chambered tailor-made nests, high functional integration, relatively greater use of cues and modulatory signals to coordinate individuals and heterogeneous patterns of worker-worker interaction.","KJB","include","intraspecific","review, eusocial insects","Not sure (again)","Individual versus social complexity, with particular reference to ant colonies","Insect societies - colonies of ants, bees, wasps and termites vary enormously in their social complexity. Social complexity is a broadly used term that encompasses many individual and colony-level traits and characteristics such as colony size, polymorphism and foraging strategy. A number of earlier studies have considered the relationships among various correlates of social complexity in insect societies; in this review, we build upon those studies by proposing additional correlates and show how all correlates can be integrated in a common explanatory framework. The various correlates are divided among four broad categories (sections). Under 'polyphenism' we consider the differences among individuals, in particular focusing upon 'caste' and specialization of individuals. This is followed by a section on 'totipotency' in which we consider the autonomy and subjugation of individuals. Under this heading we consider various aspects such as intracolony conflict, worker reproductive potential and physiological or morphological restrictions which limit individuals' capacities to perform a range of tasks or functions. A section entitled 'organization of work' considers a variety of aspects, e.g. the ability to tackle group, team or partitioned tasks, foraging strategics and colony reliability and efficiency. A final section, 'communication and functional integration', considers how individual activity is coordinated to produce an integrated and adaptive colony. Within each section we use illustrative examples drawn from the social insect literature (mostly from ants, for which there is the best data) to illustrate concepts or trends and make a number of predictions concerning how a particular trait is expected to correlate with other aspects of social complexity. Within each section we also expand the scope of the arguments to consider these relationships in a much broader sense of 'sociality' by drawing parallels with other 'social' entities such as multicellular individuals, which can be understood as 'societies' of cells. The aim is to draw out any parallels and common causal relationships among the correlates. Two themes run through the study. The first is the role of colony size as an important factor affecting social complexity. The second is the complexity of individual workers in relation to the complexity of the colony. Consequently, this is an ideal opportunity to test a previously proposed hypothesis that 'individuals of highly social ant species arc less complex than individuals from simple ant species' in light of numerous social correlates. Our findings support this hypothesis. In summary, we conclude that, in general, complex societies arc characterized by large colony size, worker polymorphism, strong behavioural specialization and loss of totipotency in its workers, low individual complexity, decentralized colony control and high system redundancy, low individual competence, a high degree of worker cooperation when tackling tasks, group foraging strategies, high tempo, multi-chambered tailor-made nests, high functional integration, relatively greater use of cues and modulatory signals to coordinate individuals and heterogeneous patterns of worker-worker interaction.","MW","exclude","","",""
"124","MA21","Antibiotic resistance and protease production by Photorhabdus luminescens and Xenorhabdus poinarii bacteria symbiotic with entomopathogenic nematodes: Variation among species and strains,","Bacteria in the genera Photorhabdus and Xenorhabdus are highly pathogenic to insects and are symbiotically associated with nematodes in the genera Heterorhabditis and Steinernema, respectively. We compared extracellular protease production and resistance to antibiotics (chloramphenicol, erythromycin, neomycin and tetracycline) for 32 isolates of P. luminescens and 11 isolates of X. poinarii taken from nematodes isolated from soil in southern New Jersey. P. luminescens produced greater amounts of protease, and was more resistant to erythromycin and less resistant to neomycin than X. poinarii. No interspecific differences in resistance to chloramphenicol or tetracycline were detected. Variability within species was not related to the site, habitat or soil core from which the isolates were obtained, and was not associated with variation in the color of the host cadaver for P. luminescens. Resistance to erythromycin was positively correlated with resistance to both neomycin and tetracycline for P. luminescens, but was negatively correlated with resistance to neomycin for X. poinarii. Antibiotic resistance profiles and extracellular protease production might be useful characteristics for distinguishing among species and strains of these bacteria, probably have ecological significance with respect to intra- and interspecific competition within host cadavers, and could have implications for the utility of these organisms for biological control.","UE","include",""," ","","Antibiotic resistance and protease production by Photorhabdus luminescens and Xenorhabdus poinarii bacteria symbiotic with entomopathogenic nematodes: Variation among species and strains","Bacteria in the genera Photorhabdus and Xenorhabdus are highly pathogenic to insects and are symbiotically associated with nematodes in the genera Heterorhabditis and Steinernema, respectively. We compared extracellular protease production and resistance to antibiotics (chloramphenicol, erythromycin, neomycin and tetracycline) for 32 isolates of P. luminescens and 11 isolates of X. poinarii taken from nematodes isolated from soil in southern New Jersey. P. luminescens produced greater amounts of protease, and was more resistant to erythromycin and less resistant to neomycin than X. poinarii. No interspecific differences in resistance to chloramphenicol or tetracycline were detected. Variability within species was not related to the site, habitat or soil core from which the isolates were obtained, and was not associated with variation in the color of the host cadaver for P. luminescens. Resistance to erythromycin was positively correlated with resistance to both neomycin and tetracycline for P. luminescens, but was negatively correlated with resistance to neomycin for X. poinarii. Antibiotic resistance profiles and extracellular protease production might be useful characteristics for distinguishing among species and strains of these bacteria, probably have ecological significance with respect to intra- and interspecific competition within host cadavers, and could have implications for the utility of these organisms for biological control.","MW","exclude","","",""
"132","MA217","Intra-group relatedness affects parental and helper investment rules in offspring care,","In any system where multiple individuals jointly contribute to rearing offspring, conflict is expected to arise over the relative contributions of each carer. Existing theoretical work on the conflict over care has: (a) rarely considered the influence of tactical investment during offspring production on later contributions to offspring rearing;  (b) concentrated mainly on biparental care, rather than cooperatively caring groups comprising both parents and helpers; and (c) typically ignored relatedness between carers as a potential influence on investment behavior. We use a game-theoretical approach to explore the effects of female production tactics and differing group relatedness structures on the expected rearing investment contributed by breeding females, breeding males, and helpers in cooperative groups. Our results suggest that the breeding female should pay higher costs overall when helpful helpers are present, as she produces additional offspring to take advantage of the available care. We find that helpers related to offspring through the breeding female rather than the breeding male should contribute less to care, and decrease their contribution as group size increases, because the female refrains from producing additional offspring to exploit them. Finally, within-group variation in helper relatedness also affects individual helper investment rules by inflating the differences between the contributions to care of dissimilar helpers. Our findings underline the importance of considering maternal investment decisions during offspring production to understand investment across the entire breeding attempt, and provide empirically testable predictions concerning the interplay between maternal, paternal and helper investment and how these are modified by different relatedness structures.  2013 Springer-Verlag Berlin Heidelberg."",""MA217"",""UE"","""","""",""""","UE","include","intraspecific","cooperation model","","Intra-group relatedness affects parental and helper investment rules in offspring care","In any system where multiple individuals jointly contribute to rearing offspring, conflict is expected to arise over the relative contributions of each carer. Existing theoretical work on the conflict over care has: (a) rarely considered the influence of tactical investment during offspring production on later contributions to offspring rearing; (b) concentrated mainly on biparental care, rather than cooperatively caring groups comprising both parents and helpers; and (c) typically ignored relatedness between carers as a potential influence on investment behavior. We use a game-theoretical approach to explore the effects of female production tactics and differing group relatedness structures on the expected rearing investment contributed by breeding females, breeding males, and helpers in cooperative groups. Our results suggest that the breeding female should pay higher costs overall when helpful helpers are present, as she produces additional offspring to take advantage of the available care. We find that helpers related to offspring through the breeding female rather than the breeding male should contribute less to care, and decrease their contribution as group size increases, because the female refrains from producing additional offspring to exploit them. Finally, within-group variation in helper relatedness also affects individual helper investment rules by inflating the differences between the contributions to care of dissimilar helpers. Our findings underline the importance of considering maternal investment decisions during offspring production to understand investment across the entire breeding attempt, and provide empirically testable predictions concerning the interplay between maternal, paternal and helper investment and how these are modified by different relatedness structures.  2013 Springer-Verlag Berlin Heidelberg.","PT","exclude","","","Excluded on basis that relatedness to other is NOT a trait … but should we regard it as one!?"
"135","MA22","Aphid-encoded variability in susceptibility to a parasitoid","Background: Many animals exhibit variation in resistance to specific natural enemies. Such variation may be encoded in their genomes or derived from infection with protective symbionts. The pea aphid, Acyrthosiphon pisum, for example, exhibits tremendous variation in susceptibility to a common natural enemy, the parasitic wasp Aphidius ervi. Pea aphids are often infected with the heritable bacterial symbiont, Hamiltonella defensa, which confers partial to complete resistance against this parasitoid depending on bacterial strain and associated bacteriophages. That previous studies found that pea aphids without H. defensa (or other symbionts) were generally susceptible to parasitism, together with observations of a limited encapsulation response, suggested that pea aphids largely rely on infection with H. defensa for protection against parasitoids. However, the limited number of uninfected clones previously examined, and our recent report of two symbiont-free resistant clones, led us to explicitly examine aphid-encoded variability in resistance to parasitoids. Results: After rigorous screening for known and unknown symbionts, and microsatellite genotyping to confirm clonal identity, we conducted parasitism assays using fifteen clonal pea aphid lines. We recovered significant variability in aphid-encoded resistance, with variation levels comparable to that contributed by H. defensa. Because resistance can be costly, we also measured aphid longevity and cumulative fecundity of the most and least resistant aphid lines under permissive conditions, but found no trade-offs between higher resistance and these fitness parameters. Conclusions: These results indicate that pea aphid resistance to A. ervi is more complex than previously appreciated, and that aphids employ multiple tactics to aid in their defense. While we did not detect a tradeoff, these may become apparent under stressful conditions or when resistant and susceptible aphids are in direct competition. Understanding sources and amounts of variation in resistance to natural enemies is necessary to understand the ecological and evolutionary dynamics of antagonistic interactions, such as the potential for coevolution, but also for the successful management of pest populations through biological control.  2014 Martinez et al.; licensee BioMed Central Ltd.","CM","include","interspecific","host-parasite",NA,"Aphid-encoded variability in susceptibility to a parasitoid","Background: Many animals exhibit variation in resistance to specific natural enemies. Such variation may be encoded in their genomes or derived from infection with protective symbionts. The pea aphid, Acyrthosiphon pisum, for example, exhibits tremendous variation in susceptibility to a common natural enemy, the parasitic wasp Aphidius ervi. Pea aphids are often infected with the heritable bacterial symbiont, Hamiltonella defensa, which confers partial to complete resistance against this parasitoid depending on bacterial strain and associated bacteriophages. That previous studies found that pea aphids without H. defensa (or other symbionts) were generally susceptible to parasitism, together with observations of a limited encapsulation response, suggested that pea aphids largely rely on infection with H. defensa for protection against parasitoids. However, the limited number of uninfected clones previously examined, and our recent report of two symbiont-free resistant clones, led us to explicitly examine aphid-encoded variability in resistance to parasitoids. Results: After rigorous screening for known and unknown symbionts, and microsatellite genotyping to confirm clonal identity, we conducted parasitism assays using fifteen clonal pea aphid lines. We recovered significant variability in aphid-encoded resistance, with variation levels comparable to that contributed by H. defensa. Because resistance can be costly, we also measured aphid longevity and cumulative fecundity of the most and least resistant aphid lines under permissive conditions, but found no trade-offs between higher resistance and these fitness parameters. Conclusions: These results indicate that pea aphid resistance to A. ervi is more complex than previously appreciated, and that aphids employ multiple tactics to aid in their defense. While we did not detect a tradeoff, these may become apparent under stressful conditions or when resistant and susceptible aphids are in direct competition. Understanding sources and amounts of variation in resistance to natural enemies is necessary to understand the ecological and evolutionary dynamics of antagonistic interactions, such as the potential for coevolution, but also for the successful management of pest populations through biological control.  2014 Martinez et al.; licensee BioMed Central Ltd.","MW","exclude","","",""
"147","MA230","Leaf domatia and mites on Australasian plants: ecological and evolutionary implications","Leaf domatia, specialized chambers in the vein axils on the underside of leaves of many plant species, have remained an enigma for over a century. In this study we show a strong association between foliar domatia and mites in 37 plant species in Australasia. Overall, mites accounted for 91% of the arthropods observed in domatia. Across all species, a median of 51% of domatia were occupied and 71% of leaves showed mite evidence in domatia. The level of mite association did not depend on domatia type (pit, pouch, pocket, or tuft) or provenance (Papua New Guinea, Queensland, Victoria, or New Zealand). Mite association with domatia commonly varied between plant species, between individuals within species, and between shoots within individuals. The leaf developmental stage probably explains much of the variation in association for many of these species. The presence of a variety of life history stages of mites within domatia indicates that these structures act as shelters for development and reproduction. Furthermore, in 12 of 13 plant species examined, domatia concentrate mites in particular locations on the leaf. Mite taxa that we classify as largely predaceous (e.g. phytoseiids, stigmaeids and tydeids) or fungivorous (e.g. acarids and oribatids) were most common in domatia and dominated the association in 21 of 24 plant species in which the relative abundance of herbivorous, fungivorous and predaceous groups was quantified. We evaluate hypotheses that explain the role of leaf domatia, including nonfunctional hypotheses (e.g. architectural constraints), physiological function (e.g. gas exchange and water uptake), bacterial symbiosis and antagonistic and mutualistic associations with mites. Our quantitative results confirm anecdotal accounts of mite association with leaf domatia and are most consistent with Lundstrem's centuryold hypothesis of plantmite mutualism in which leaf domatia billet predaceous and fungivorous mites that prey on plant enemies. Leaf domatia are widespread among woody angiosperms and abundant in many temperate and tropical regions of Australasia. Mites, an ancient group of arthropods whose diversity and abundance parallels that of insects, are likely to be important selective agents on terrestrial plants. Our results (1) indicate that mitedomatia association represents a relationship of comparable scope to plantant associations mediated by specialized plant structures such as extrafloral nectaries, food bodies and specialized domatia; (2) suggest that sociality is not a necessary prerequisite for widespread and diverse mutualisms between arthropods and plants; and, (3) extend the diversity of organisms that produce specialized mite houses from lizards, and wasps and bees to woody angiosperms. 1989 The Linnean Society","CM","include","interspecific","plant-arthropod mutualism",NA,"Leaf domatia and mites on Australasian plants: ecological and evolutionary implications","Leaf domatia, specialized chambers in the vein axils on the underside of leaves of many plant species, have remained an enigma for over a century. In this study we show a strong association between foliar domatia and mites in 37 plant species in Australasia. Overall, mites accounted for 91% of the arthropods observed in domatia. Across all species, a median of 51% of domatia were occupied and 71% of leaves showed mite evidence in domatia. The level of mite association did not depend on domatia type (pit, pouch, pocket, or tuft) or provenance (Papua New Guinea, Queensland, Victoria, or New Zealand). Mite association with domatia commonly varied between plant species, between individuals within species, and between shoots within individuals. The leaf developmental stage probably explains much of the variation in association for many of these species. The presence of a variety of life history stages of mites within domatia indicates that these structures act as shelters for development and reproduction. Furthermore, in 12 of 13 plant species examined, domatia concentrate mites in particular locations on the leaf. Mite taxa that we classify as largely predaceous (e.g. phytoseiids, stigmaeids and tydeids) or fungivorous (e.g. acarids and oribatids) were most common in domatia and dominated the association in 21 of 24 plant species in which the relative abundance of herbivorous, fungivorous and predaceous groups was quantified. We evaluate hypotheses that explain the role of leaf domatia, including nonfunctional hypotheses (e.g. architectural constraints), physiological function (e.g. gas exchange and water uptake), bacterial symbiosis and antagonistic and mutualistic associations with mites. Our quantitative results confirm anecdotal accounts of mite association with leaf domatia and are most consistent with Lundstrem's centuryold hypothesis of plantmite mutualism in which leaf domatia billet predaceous and fungivorous mites that prey on plant enemies. Leaf domatia are widespread among woody angiosperms and abundant in many temperate and tropical regions of Australasia. Mites, an ancient group of arthropods whose diversity and abundance parallels that of insects, are likely to be important selective agents on terrestrial plants. Our results (1) indicate that mitedomatia association represents a relationship of comparable scope to plantant associations mediated by specialized plant structures such as extrafloral nectaries, food bodies and specialized domatia; (2) suggest that sociality is not a necessary prerequisite for widespread and diverse mutualisms between arthropods and plants; and, (3) extend the diversity of organisms that produce specialized mite houses from lizards, and wasps and bees to woody angiosperms. 1989 The Linnean Society","MW","exclude","","",""
