"","abstract.id","X","title.x","abstract.x","screener.id.x","decision.x","scale.x","topic.x","notes.x","title.y","abstract.y","screener.id.y","decision.y","scale.y","topic.y","notes.y","title","abstract","screener.id","decision","scale","topic","notes"
"111","MA199",111,"Individual interaction data are required in community ecology: a conceptual review of the predator-prey mass ratio and more","Community ecology is traditionally species-based and assumes that species comprise identical individuals. However, intraspecific variation is ubiquitous in nature because of ontogenetic growth and critical in food-we dynamics. To understand individual interaction-mediated food webs, researchers have recently focused on body size as the most fundamental biological aspect and assessed a parameter called the predator-prey mass ratio (PPMR). Herein, I review the conceptual development of the PPMR and suggest four major concerns regarding its measurement: (1) PPMR should be measured at the individual level because species-averaged values distort actual feeding relationships, (2) individual-level PPMR data on gape-unconstrained predators (e.g., terrestrial carnivores) are limited because previous studies have targeted gape-limited fish predators, (3) predators' prey size selectivity (preferred PPRM) is conceptually different from dietary prey size (realized PPMR) and should be distinguished by incorporating environmental prey abundance information, and (4) determinants of preferred PPMR, rather than those of realized PPMR, should be identified to describe size-dependent predation. Future studies are encouraged to explore not only predation but also other interaction types (e.g., competition, mutualism, and herbivory) at the individual level. However, this is not likely to occur while ecological communities are still considered to be interspecific interaction networks. To resolve this situation and more comprehensively understand biodiversity and ecosystem functioning, I suggest that community ecology requires a paradigm shift in the unit of interaction from species to individuals, similar to evolutionary biology, which revolutionized the unit of selection, because interactions occur between individuals.","CF","include","interspecific","predator-prey, review","","Individual interaction data are required in community ecology: a conceptual review of the predator-prey mass ratio and more","Community ecology is traditionally species-based and assumes that species comprise identical individuals. However, intraspecific variation is ubiquitous in nature because of ontogenetic growth and critical in food-we dynamics. To understand individual interaction-mediated food webs, researchers have recently focused on body size as the most fundamental biological aspect and assessed a parameter called the predator-prey mass ratio (PPMR). Herein, I review the conceptual development of the PPMR and suggest four major concerns regarding its measurement: (1) PPMR should be measured at the individual level because species-averaged values distort actual feeding relationships, (2) individual-level PPMR data on gape-unconstrained predators (e.g., terrestrial carnivores) are limited because previous studies have targeted gape-limited fish predators, (3) predators' prey size selectivity (preferred PPRM) is conceptually different from dietary prey size (realized PPMR) and should be distinguished by incorporating environmental prey abundance information, and (4) determinants of preferred PPMR, rather than those of realized PPMR, should be identified to describe size-dependent predation. Future studies are encouraged to explore not only predation but also other interaction types (e.g., competition, mutualism, and herbivory) at the individual level. However, this is not likely to occur while ecological communities are still considered to be interspecific interaction networks. To resolve this situation and more comprehensively understand biodiversity and ecosystem functioning, I suggest that community ecology requires a paradigm shift in the unit of interaction from species to individuals, similar to evolutionary biology, which revolutionized the unit of selection, because interactions occur between individuals.","PT","include","intraspecific","Pred-prey","",NA,NA,NA,NA,NA,NA,NA
"112","MA2",112,"A common framework for identifying linkage rules across different types of interactions,","1. Species interactions, ranging from antagonisms to mutualisms, form the architecture of bio-diversity and determine ecosystem functioning. Understanding the rules responsible for who interacts with whom, as well as the functional consequences of these interspecific interactions, is central to predict community dynamics and stability. 2. Species traits sensu lato may affect different ecological processes by determining species interactions through a two-step process. First, ecological and life-history traits govern species distributions and abundance, and hence determine species co-occurrence and the potential for species to interact. Secondly, morphological or physiological traits between co-occurring potential interaction partners should match for the realization of an interaction. Here, we review recent advances on predicting interactions from species co-occurrence and develop a probabilistic model for inferring trait matching. 3. The models proposed here integrate both neutral and trait-matching constraints, while using only information about known interactions, thereby overcoming problems originating from undersampling of rare interactions (i.e. missing links). They can easily accommodate qualitative or quantitative data and can incorporate trait variation within species, such as values that vary along developmental stages or environmental gradients. 4. We use three case studies to show that the proposed models can detect strong trait matching (e.g. predator-prey system), relaxed trait matching (e.g. herbivore-plant system) and barrier trait matching (e.g. plant-pollinator systems). 5. Only by elucidating which species traits are important in each process (i.e. in determining interaction establishment and frequency), we can advance in explaining how species interact and the consequences of these interactions for ecosystem functioning.","UE","include","interspecific","herbivore-plant, pollinator, predator-prey model and review","","A common framework for identifying linkage rules across different types of interactions","1. Species interactions, ranging from antagonisms to mutualisms, form the architecture of bio-diversity and determine ecosystem functioning. Understanding the rules responsible for who interacts with whom, as well as the functional consequences of these interspecific interactions, is central to predict community dynamics and stability. 2. Species traits sensu lato may affect different ecological processes by determining species interactions through a two-step process. First, ecological and life-history traits govern species distributions and abundance, and hence determine species co-occurrence and the potential for species to interact. Secondly, morphological or physiological traits between co-occurring potential interaction partners should match for the realization of an interaction. Here, we review recent advances on predicting interactions from species co-occurrence and develop a probabilistic model for inferring trait matching. 3. The models proposed here integrate both neutral and trait-matching constraints, while using only information about known interactions, thereby overcoming problems originating from undersampling of rare interactions (i.e. missing links). They can easily accommodate qualitative or quantitative data and can incorporate trait variation within species, such as values that vary along developmental stages or environmental gradients. 4. We use three case studies to show that the proposed models can detect strong trait matching (e.g. predator-prey system), relaxed trait matching (e.g. herbivore-plant system) and barrier trait matching (e.g. plant-pollinator systems). 5. Only by elucidating which species traits are important in each process (i.e. in determining interaction establishment and frequency), we can advance in explaining how species interact and the consequences of these interactions for ecosystem functioning.","NM","include","interspecific","predator-prey; plant-herbivore; pollinator-plant","",NA,NA,NA,NA,NA,NA,NA
"114","MA200",114,"Individual variation and the resolution of conflict over parental care in penduline tits,","Eurasian penduline tits (Remiz pendulinus) have an unusually diverse breeding system consisting of frequent male and female polygamy, and uniparental care by the male or the female. Intriguingly, 30 to 40 per cent of all nests are deserted by both parents. To understand the evolution of this diverse breeding system and frequent clutch desertion, we use 6 years of field data to derive fitness expectations for males and females depending on whether or not they care for their offspring. The resulting payoff matrix corresponds to an asymmetric Snowdrift Game with two alternative evolutionarily stable strategies (ESSs): female-only and male-only care. This, however, does not explain the polymorphism in care strategies and frequent biparental desertion, because theory predicts that one of the two ESSs should have spread to fixation. Using a bootstrapping approach, we demonstrate that taking account of individual variation in payoffs explains the patterns of care better than a model based on the average population payoff matrix. In particular, a model incorporating differences in male attractiveness closely predicts the observed frequencies of male and female desertion. Our work highlights the need for a new generation of individual-based evolutionary game-theoretic models.  2011 The Royal Society.","UE","include","intraspecific","cooperation model","","Individual variation and the resolution of conflict over parental care in penduline tits","Eurasian penduline tits (Remiz pendulinus) have an unusually diverse breeding system consisting of frequent male and female polygamy, and uniparental care by the male or the female. Intriguingly, 30 to 40 per cent of all nests are deserted by both parents. To understand the evolution of this diverse breeding system and frequent clutch desertion, we use 6 years of field data to derive fitness expectations for males and females depending on whether or not they care for their offspring. The resulting payoff matrix corresponds to an asymmetric Snowdrift Game with two alternative evolutionarily stable strategies (ESSs): female-only and male-only care. This, however, does not explain the polymorphism in care strategies and frequent biparental desertion, because theory predicts that one of the two ESSs should have spread to fixation. Using a bootstrapping approach, we demonstrate that taking account of individual variation in payoffs explains the patterns of care better than a model based on the average population payoff matrix. In particular, a model incorporating differences in male attractiveness closely predicts the observed frequencies of male and female desertion. Our work highlights the need for a new generation of individual-based evolutionary game-theoretic models.  2011 The Royal Society.","MW","include","intraspecific","Male-female","",NA,NA,NA,NA,NA,NA,NA
"115","MA201",115,"Individual variation behind the evolution of cooperation","Life on Earth has two remarkable properties. The first is variation: even apart from the vast number of extant species, there are considerable differences between individuals within a single species. The second property is cooperation. It is surprising that until recently the interactions between these two properties have rarely been addressed from an evolutionary point of view. Here, I concentrate on how inter-individual differences influence the evolution of cooperation. First, I deal with cases where individuality is maintained by random processes like mutation or phenotypic noise. Second, I examine when differences in state cause differences in behaviour. Finally, I investigate the effects of individual role specialization. Variation can be important in several ways. Increased random variation can change the expectation about cooperativeness of future partners, altering behaviour in a current relationship. Differences in state may serve as a book-keeping mechanism that is necessary for the evolution of reciprocity. If the cost of cooperation can depend on state then strategic regulation of state makes it possible to coerce partners to cooperate. If conditions force individuals to specialize, cooperation becomes more valuable. My review of theoretical models suggests that variation plays an important role in the evolution of cooperation.","KJB","include","intraspecific","theoretical, review","most important one so far","Individual variation behind the evolution of cooperation","Life on Earth has two remarkable properties. The first is variation: even apart from the vast number of extant species, there are considerable differences between individuals within a single species. The second property is cooperation. It is surprising that until recently the interactions between these two properties have rarely been addressed from an evolutionary point of view. Here, I concentrate on how inter-individual differences influence the evolution of cooperation. First, I deal with cases where individuality is maintained by random processes like mutation or phenotypic noise. Second, I examine when differences in state cause differences in behaviour. Finally, I investigate the effects of individual role specialization. Variation can be important in several ways. Increased random variation can change the expectation about cooperativeness of future partners, altering behaviour in a current relationship. Differences in state may serve as a book-keeping mechanism that is necessary for the evolution of reciprocity. If the cost of cooperation can depend on state then strategic regulation of state makes it possible to coerce partners to cooperate. If conditions force individuals to specialize, cooperation becomes more valuable. My review of theoretical models suggests that variation plays an important role in the evolution of cooperation.","NM","include","intraspecific","theory; competition-cooperation;","",NA,NA,NA,NA,NA,NA,NA
"116","MA202",116,"Individual variation in resource use by opossums leading to nested fruit consumption","Despite recent findings on the ecological relevance of within population diet variation far less attention has been devoted to the role diet variation for ecological services. Seed dispersal is a key ecological service, affecting plant fitness and regeneration based on foraging by fruit-eating vertebrates. Here we used a network approach, widely used to understand how seed-dispersal is organized at the species level, to gain insights into the patterns that emerge at the individual-level. We studied the individual fruit consumption behavior of a South American didelphid Didelphis albiventris, during the cool-dry and warm-wet seasons. In species-species networks the heterogeneity in specialization levels generates patterns such as nestedness and asymmetry. Because generalist populations may be comprised of specialized individuals, we hypo thesized that network structural properties, such as nestedness, should also emerge at the individual level. We detected variation in fruit consumption that was not related to resource availability, ontogenetic or sexual factors or sampling biases. Such variation resulted in the structural patterns often found in species-species seed-dispersal networks: low connectance, a high degree of nestedness and the absence of modules. Moreover structure varied between the warm-wet and cool-dry seasons, presumably as a consequence of seasonal fluctuation in fruit availability. Our findings suggest individuals may differ in selectivity causing asymmetries in seed dispersal efficiency within the population. In this sense the realized dispersal would differ from the expected dispersal estimated from their average dispersal potential. Additionally the results suggest possible frequency-dependent effects on seed dispersal that might affect individual plant performance and plant community composition.","CF","include","intraspecific","seed-dispersal","","Individual variation in resource use by opossums leading to nested fruit consumption","Despite recent findings on the ecological relevance of within population diet variation far less attention has been devoted to the role diet variation for ecological services. Seed dispersal is a key ecological service, affecting plant fitness and regeneration based on foraging by fruit-eating vertebrates. Here we used a network approach, widely used to understand how seed-dispersal is organized at the species level, to gain insights into the patterns that emerge at the individual-level. We studied the individual fruit consumption behavior of a South American didelphid Didelphis albiventris, during the cool-dry and warm-wet seasons. In species-species networks the heterogeneity in specialization levels generates patterns such as nestedness and asymmetry. Because generalist populations may be comprised of specialized individuals, we hypo thesized that network structural properties, such as nestedness, should also emerge at the individual level. We detected variation in fruit consumption that was not related to resource availability, ontogenetic or sexual factors or sampling biases. Such variation resulted in the structural patterns often found in species-species seed-dispersal networks: low connectance, a high degree of nestedness and the absence of modules. Moreover structure varied between the warm-wet and cool-dry seasons, presumably as a consequence of seasonal fluctuation in fruit availability. Our findings suggest individuals may differ in selectivity causing asymmetries in seed dispersal efficiency within the population. In this sense the realized dispersal would differ from the expected dispersal estimated from their average dispersal potential. Additionally the results suggest possible frequency-dependent effects on seed dispersal that might affect individual plant performance and plant community composition.","MW","include","interspecific","seed dispersal/fruit consumption","",NA,NA,NA,NA,NA,NA,NA
"118","MA204",118,"Inducible defence and the social evolution of herd immunity","Many organisms vary their level of investment in defensive characters. Protective traits may be induced upon exposure to predators or parasites. In a similar way, humans vaccinate in response to threatening epidemics. When most group members defend themselves, epidemics die out quickly because parasites cannot spread. A high level of group (herd) immunity is therefore beneficial to the group. There is, however, a well-known divergence between the optimum degree of induction for selfish individuals and the level of induction that maximizes group benefit. I develop two optimality models for the frequency of induction. The first model shows that higher relatedness favours more induction and a smaller difference between selfish and cooperative optima. The second model assumes variation in the vigour of individuals and therefore differences in the relative cost for induction. The model predicts that strong individuals induce more easily than weak individuals. Small differences in vigour cause a large divergence in the optimal levels of induction for strong and weak individuals. The concept of genetic relatedness in an evolutionary model is analogous to correlated interests and correlated strategies in an economic model of human behaviour. The evolutionary models presented here therefore provide a basis for further study of human vaccination.","KJB","include","interspecific","Host-parasite, modelling","Last part seems most interesting: small differences in vigour leading to differences in optimal level of induction. However, it is unclear currently whether the small differences supposedly occur in multiple individuals in the same population, or whether they describe differences between two (in themselves homgeneous) populations.","Inducible defence and the social evolution of herd immunity","Many organisms vary their level of investment in defensive characters. Protective traits may be induced upon exposure to predators or parasites. In a similar way, humans vaccinate in response to threatening epidemics. When most group members defend themselves, epidemics die out quickly because parasites cannot spread. A high level of group (herd) immunity is therefore beneficial to the group. There is, however, a well-known divergence between the optimum degree of induction for selfish individuals and the level of induction that maximizes group benefit. I develop two optimality models for the frequency of induction. The first model shows that higher relatedness favours more induction and a smaller difference between selfish and cooperative optima. The second model assumes variation in the vigour of individuals and therefore differences in the relative cost for induction. The model predicts that strong individuals induce more easily than weak individuals. Small differences in vigour cause a large divergence in the optimal levels of induction for strong and weak individuals. The concept of genetic relatedness in an evolutionary model is analogous to correlated interests and correlated strategies in an economic model of human behaviour. The evolutionary models presented here therefore provide a basis for further study of human vaccination.","NM","include","intraspecific","theory/modelling; competition-cooperation;","",NA,NA,NA,NA,NA,NA,NA
"119","MA205",119,"Information use and resource competition: An integrative framework","Organisms may reduce uncertainty regarding how best to exploit their environment by collecting information about resource distribution. We develop a model to demonstrate how competition can facilitate or constrain an individuals ability to use information when acquiring resources. As resource distribution underpins both selection on information use and the strength and nature of competition between individuals, we demonstrate interdependencies between the two that should be common in nature. Individuals in our model can search for resources either personally or by using social information. We explore selection on social information use across a comprehensive range of ecological conditions, generalizing the producerscrounger framework to a wide diversity of taxa and resources. We show that resource ecologydefined by scarcity, depletion rate and monopolizabilitydetermines patterns of individual differences in social information use. These differences suggest coevolutionary processes linking dominance systems and social information use, with implications for the evolutionary demography of populations.  2016 The Author(s) Published by the Royal Society. All rights reserved.","CM","include","interspecific","theoretical/modelling, social networks",NA,"Information use and resource competition: An integrative framework","Organisms may reduce uncertainty regarding how best to exploit their environment by collecting information about resource distribution. We develop a model to demonstrate how competition can facilitate or constrain an individuals ability to use information when acquiring resources. As resource distribution underpins both selection on information use and the strength and nature of competition between individuals, we demonstrate interdependencies between the two that should be common in nature. Individuals in our model can search for resources either personally or by using social information. We explore selection on social information use across a comprehensive range of ecological conditions, generalizing the producerscrounger framework to a wide diversity of taxa and resources. We show that resource ecologydefined by scarcity, depletion rate and monopolizabilitydetermines patterns of individual differences in social information use. These differences suggest coevolutionary processes linking dominance systems and social information use, with implications for the evolutionary demography of populations.  2016 The Author(s) Published by the Royal Society. All rights reserved.","PT","include","intraspecific","model/theory","",NA,NA,NA,NA,NA,NA,NA
"120","MA206",120,"Insect seed predators and environmental change","1. The seed-to-seedling transition may be a critical stage in determining the dynamics of plant populations. Insects which kill seeds either before or after dispersal can influence the population dynamics of individual plant species, and ultimately, plant diversity and assemblage composition. 2. We discuss the potential for insect seed predators to maintain diversity in plant assemblages and to structure their composition, with a particular focus on diverse tropical forest habitats. We suggest that our ability to understand the functional effects of insect seed predators is hampered by a shortage of unbiased information on (i) their responses to the density of prey seeds at different spatial scales, and (ii) their host plant specificity. 3. Density-dependence and its implications may be best assessed using manipulative field experiments. Such approaches can reveal how insect seed predators respond behaviourally and demographically to the density of individual host species and multiple host species across a range of spatial scales. 5. Host specificity and its implications may be best addressed through quantitative food web approaches previously applied largely to host-parasitoid interactions. Food webs will allow ecologists to assess the likely importance of indirect interactions such as apparent competition and apparent mutualism in structuring plant assemblages, and the functional consequences of adding or removing individual resource or consumer species. 6. Fully quantifying the wider effects of seed predators will require studies that better integrate seed stage-specific demographic information, and which quantify the long-term effects of variations in seed predation rates for plant recruitment. Synthesis and applications. Compared to other functionally important insect groups such as pollinators, seed predators have received relatively little attention in the context of the functioning and sustainability of agro-ecosystems and the consequences of global environmental change for ecological communities. A fuller understanding of the ecology of insect seed predator-plant interactions will be valuable to conservation and management in a range of natural and agricultural systems. For example, seed predator community ecology is relevant to predicting the consequences of deliberately or unintentionally introducing novel resource or consumer species; the process of habitat recovery following local disturbances; and managing the effects of pest or beneficial seed predators in agricultural crops. Furthermore, patterns of insect seed predation on a larger scale are likely to be highly sensitive to global environmental change drivers such as climate change and systematic habitat modification and fragmentation, with implications for the structure and organization of ecological communities more widely.","CF","include","intraspecific","seed-dispersal/predators","","Insect seed predators and environmental change","1. The seed-to-seedling transition may be a critical stage in determining the dynamics of plant populations. Insects which kill seeds either before or after dispersal can influence the population dynamics of individual plant species, and ultimately, plant diversity and assemblage composition. 2. We discuss the potential for insect seed predators to maintain diversity in plant assemblages and to structure their composition, with a particular focus on diverse tropical forest habitats. We suggest that our ability to understand the functional effects of insect seed predators is hampered by a shortage of unbiased information on (i) their responses to the density of prey seeds at different spatial scales, and (ii) their host plant specificity. 3. Density-dependence and its implications may be best assessed using manipulative field experiments. Such approaches can reveal how insect seed predators respond behaviourally and demographically to the density of individual host species and multiple host species across a range of spatial scales. 5. Host specificity and its implications may be best addressed through quantitative food web approaches previously applied largely to host-parasitoid interactions. Food webs will allow ecologists to assess the likely importance of indirect interactions such as apparent competition and apparent mutualism in structuring plant assemblages, and the functional consequences of adding or removing individual resource or consumer species. 6. Fully quantifying the wider effects of seed predators will require studies that better integrate seed stage-specific demographic information, and which quantify the long-term effects of variations in seed predation rates for plant recruitment. Synthesis and applications. Compared to other functionally important insect groups such as pollinators, seed predators have received relatively little attention in the context of the functioning and sustainability of agro-ecosystems and the consequences of global environmental change for ecological communities. A fuller understanding of the ecology of insect seed predator-plant interactions will be valuable to conservation and management in a range of natural and agricultural systems. For example, seed predator community ecology is relevant to predicting the consequences of deliberately or unintentionally introducing novel resource or consumer species; the process of habitat recovery following local disturbances; and managing the effects of pest or beneficial seed predators in agricultural crops. Furthermore, patterns of insect seed predation on a larger scale are likely to be highly sensitive to global environmental change drivers such as climate change and systematic habitat modification and fragmentation, with implications for the structure and organization of ecological communities more widely.","PT","include","interspecific","seed predation","",NA,NA,NA,NA,NA,NA,NA
"123","MA209",123,"Inter individual variations of the fish skin microbiota: Host genetics basis of mutualism?","The commensal microbiota of fish skin is suspected to provide a protection against opportunist infections. The skin of fish harbors a complex and diverse microbiota that closely interacts with the surrounding water microbial communities. Up to now there is no clear evidence as to whether the host regulates the recruitment of environmental bacteria to build a specific skin microbiota. To address this question, we detected Quantitative Trait Loci (QTL) associated with the abundance of specific skin microbiota bacterial strains in brook charr (Salvelinus fontinalis), combining 16S RNA tagged-amplicon 454 pyrosequencing with genetic linkage analysis. Skin microbiota analysis revealed high inter-individual variation among 86 F2 fish progeny based upon the relative abundance of bacterial operational taxonomic units (OTUs). Out of those OTUs, the pathogenic strain Flavobacterium psychrophilum and the non-pathogenic strain Methylobacterium rhodesianum explained the majority of inter-individual distances. Furthermore, a strong negative correlation was found between Flavobacterium and Methylobacterium , suggesting a mutually competitive relationship. Finally, after considering a total of 266 markers, genetic linkage analysis highlighted three major QTL associated with the abundance of Lysobacter, Rheinheimera and Methylobacterium. All these three genera are known for their beneficial antibacterial activity. Overall, our results provide evidence that host genotype may regulate the abundance of specific genera among their surface microbiota. They also indicate that Lysobacter, Rheinheimera and Methylobacterium are potentially important genera in providing protection against pathogens.  2014 Boutin et al.","CM","include","interspecific","parasite-host, bacteria-fish",NA,"Inter individual variations of the fish skin microbiota: Host genetics basis of mutualism?","The commensal microbiota of fish skin is suspected to provide a protection against opportunist infections. The skin of fish harbors a complex and diverse microbiota that closely interacts with the surrounding water microbial communities. Up to now there is no clear evidence as to whether the host regulates the recruitment of environmental bacteria to build a specific skin microbiota. To address this question, we detected Quantitative Trait Loci (QTL) associated with the abundance of specific skin microbiota bacterial strains in brook charr (Salvelinus fontinalis), combining 16S RNA tagged-amplicon 454 pyrosequencing with genetic linkage analysis. Skin microbiota analysis revealed high inter-individual variation among 86 F2 fish progeny based upon the relative abundance of bacterial operational taxonomic units (OTUs). Out of those OTUs, the pathogenic strain Flavobacterium psychrophilum and the non-pathogenic strain Methylobacterium rhodesianum explained the majority of inter-individual distances. Furthermore, a strong negative correlation was found between Flavobacterium and Methylobacterium , suggesting a mutually competitive relationship. Finally, after considering a total of 266 markers, genetic linkage analysis highlighted three major QTL associated with the abundance of Lysobacter, Rheinheimera and Methylobacterium. All these three genera are known for their beneficial antibacterial activity. Overall, our results provide evidence that host genotype may regulate the abundance of specific genera among their surface microbiota. They also indicate that Lysobacter, Rheinheimera and Methylobacterium are potentially important genera in providing protection against pathogens.  2014 Boutin et al.","NM","include","interspecific","parasite-host","",NA,NA,NA,NA,NA,NA,NA
"129","MA214",129,"Intra- and interindividual differences in the costs and benefits of intergroup aggression in female vervet monkeys","In social species, fighting in intergroup conflicts is one of the riskiest cooperative activities group members engage in, particularly for individuals of the smaller sex. In a number of species, female group members are significantly smaller than males, so the costs associated with intergroup aggression outweigh the potential benefits and females avoid participating. Studies conducted on species in which females are active participants have consistently found that they fight to defend access to food resources and that high-ranking females tend to be more active than low-rankers. However, additional factors may modulate the costs and benefits of participation, creating differences between individuals and variability within individuals over time. In this study, we investigated costs and benefits that potentially affect female vervet monkey, Chlorocebus aethiops pygerythrus, participation in intergroup conflicts. We observed the participation of 35 females in three groups, during 115 intergroup conflicts. Our findings suggest that female vervet monkeys defend access to valuable food resources, as well as to areas that are intensely used in the long term; however, rank also influenced female participation indicating that the potential benefits gained from resource defence vary with one's priority of access to these resources. We found that females were more likely to participate aggressively when they did not have an infant, and when they received more male support throughout the intergroup conflict, suggesting these factors influence the perceived risk, or costs, of intergroup aggression. Because we observed considerable temporal variability in both the proportion of female group members with infants and the number and identity of male group members (i.e. amount of male support provided), the relative fighting ability of neighbouring groups will inevitably fluctuate. Thus, our findings may help explain the lack of stable intergroup dominance relationships observed in many studies of intergroup conflict. (C) 2016 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","CF","include","intraspecific","sociality,aggression- cooperation","","Intra- and interindividual differences in the costs and benefits of intergroup aggression in female vervet monkeys","In social species, fighting in intergroup conflicts is one of the riskiest cooperative activities group members engage in, particularly for individuals of the smaller sex. In a number of species, female group members are significantly smaller than males, so the costs associated with intergroup aggression outweigh the potential benefits and females avoid participating. Studies conducted on species in which females are active participants have consistently found that they fight to defend access to food resources and that high-ranking females tend to be more active than low-rankers. However, additional factors may modulate the costs and benefits of participation, creating differences between individuals and variability within individuals over time. In this study, we investigated costs and benefits that potentially affect female vervet monkey, Chlorocebus aethiops pygerythrus, participation in intergroup conflicts. We observed the participation of 35 females in three groups, during 115 intergroup conflicts. Our findings suggest that female vervet monkeys defend access to valuable food resources, as well as to areas that are intensely used in the long term; however, rank also influenced female participation indicating that the potential benefits gained from resource defence vary with one's priority of access to these resources. We found that females were more likely to participate aggressively when they did not have an infant, and when they received more male support throughout the intergroup conflict, suggesting these factors influence the perceived risk, or costs, of intergroup aggression. Because we observed considerable temporal variability in both the proportion of female group members with infants and the number and identity of male group members (i.e. amount of male support provided), the relative fighting ability of neighbouring groups will inevitably fluctuate. Thus, our findings may help explain the lack of stable intergroup dominance relationships observed in many studies of intergroup conflict. (C) 2016 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","NM","include","intraspecific","competition-cooperation; social hierarchies/networks","",NA,NA,NA,NA,NA,NA,NA
"130","MA215",130,"Intra- and Intersexual Conflicts and Cooperation in the Evolution of Mating Strategies: Lessons Learnt From Ungulates,","The traditional narrow focus on male mate competition in studies of mammalian mating strategies has been successful in explaining many conspicuous outcomes of sexual selection. However, focusing on ungulates, I here review increasing evidence that a comprehensive understanding of sexually selected adaptations requires consideration of a broader range of sex roles, particularly those relating to female behaviour. I show how mate competition and mate choice in both sexes can interact and often lead to intra- and intersexual conflicts and sometimes also cooperation. By causing phenotypic selection, these behavioural interactions can shape evolution although the outcome depends on genetic constraints. I conclude that to advance the understanding of mammalian mating systems we must broaden our conceptual framework from being largely focused on male competitive strategies to encompass coevolutionary dynamics between the mating strategies of both sexes. Future challenges include clarifying (1) the ecological basis for the inter- and intraspecific diversity in sex roles, (2) the condition-dependence of female mating strategies, and (3) the ultimate causes of mate competition and promiscuity in females.  2010 Springer Science+Business Media, LLC.","UE","include","intraspecific","male-female review","","Intra- and Intersexual Conflicts and Cooperation in the Evolution of Mating Strategies: Lessons Learnt From Ungulates","The traditional narrow focus on male mate competition in studies of mammalian mating strategies has been successful in explaining many conspicuous outcomes of sexual selection. However, focusing on ungulates, I here review increasing evidence that a comprehensive understanding of sexually selected adaptations requires consideration of a broader range of sex roles, particularly those relating to female behaviour. I show how mate competition and mate choice in both sexes can interact and often lead to intra- and intersexual conflicts and sometimes also cooperation. By causing phenotypic selection, these behavioural interactions can shape evolution although the outcome depends on genetic constraints. I conclude that to advance the understanding of mammalian mating systems we must broaden our conceptual framework from being largely focused on male competitive strategies to encompass coevolutionary dynamics between the mating strategies of both sexes. Future challenges include clarifying (1) the ecological basis for the inter- and intraspecific diversity in sex roles, (2) the condition-dependence of female mating strategies, and (3) the ultimate causes of mate competition and promiscuity in females.  2010 Springer Science+Business Media, LLC.","NM","include","intraspecific","competition-cooperation; male-female","",NA,NA,NA,NA,NA,NA,NA
"136","MA220",136,"Intraspecific differences in plant chemotype determine the structure of arthropod food webs,","It is becoming increasingly appreciated that the structure and functioning of ecological food webs are controlled by the nature and level of plant chemicals. It is hypothesized that intraspecific variation in plant chemical resistance, in which individuals of a host-plant population exhibit genetic differences in their chemical contents (called plant chemotypes), may be an important determinant of variation in food web structure and functioning. We evaluated this hypothesis using field assessments and plant chemical assays in the tansy plant Tanacetum vulgare L. (Asteraceae). We examined food webs in which chemotypes of tansy plants are the resource for two specialized aphids, their predators and mutualistic ants. The density of the ant-tended aphid Metopeurum fuscoviride was significantly higher on particular chemotypes (borneol) than others. Clear chemotype preferences between predators were also detected. Aphid specialist seven-spotted ladybird beetles (Coccinella septempunctata) were more often found on camphor plants, while significantly higher numbers of the polyphagous nursery web spider (Pisaura mirabilis) were observed on borneol plants. The analysis of plant chemotype effects on the arthropod community clearly demonstrates a range of possible outcomes between plant-aphid-predator networks. The findings help to offer a deeper insight into how one important factorplant chemical contentinfluences which species coexist within a food web on a particular host plant and the nature of their trophic linkages.  2015, Springer-Verlag Berlin Heidelberg.","UE","include","both"," predator-prey, host-parasite observation","","Intraspecific differences in plant chemotype determine the structure of arthropod food webs","It is becoming increasingly appreciated that the structure and functioning of ecological food webs are controlled by the nature and level of plant chemicals. It is hypothesized that intraspecific variation in plant chemical resistance, in which individuals of a host-plant population exhibit genetic differences in their chemical contents (called plant chemotypes), may be an important determinant of variation in food web structure and functioning. We evaluated this hypothesis using field assessments and plant chemical assays in the tansy plant Tanacetum vulgare L. (Asteraceae). We examined food webs in which chemotypes of tansy plants are the resource for two specialized aphids, their predators and mutualistic ants. The density of the ant-tended aphid Metopeurum fuscoviride was significantly higher on particular chemotypes (borneol) than others. Clear chemotype preferences between predators were also detected. Aphid specialist seven-spotted ladybird beetles (Coccinella septempunctata) were more often found on camphor plants, while significantly higher numbers of the polyphagous nursery web spider (Pisaura mirabilis) were observed on borneol plants. The analysis of plant chemotype effects on the arthropod community clearly demonstrates a range of possible outcomes between plant-aphid-predator networks. The findings help to offer a deeper insight into how one important factorplant chemical contentinfluences which species coexist within a food web on a particular host plant and the nature of their trophic linkages.  2015, Springer-Verlag Berlin Heidelberg.","NM","include","intraspecific","plant-animal interaction; chemical defences","",NA,NA,NA,NA,NA,NA,NA
