abstract.id,sort.id,FulltextReviewer.initial,title,author,short_citation,StudyType,StudyType_Processed,TaskforceAllocation,Scale,What.is.the.scale.of.the.shift,Scale_Processed,FulltextTopicIdentifier,InteractionType,InteractionType_Processed,journal,volume,number,pages,year,doi,Timestamp,FulltextReviewer,SpeciesInteracting,Species_Processed,TraitDescription,SpeciesTraitVariation,GeneticNotes,Trait_Processed,Is.there.a.shift.in.the.interaction,What.is.the.direction.of.shift,What.factors.are.driving.that.shift,What.is.the.ecological.impact.of.the.interaction.and.shift.of.that.interaction,Shift_Processed,Is.there.a.connection.to.the.NC3,Reviewer.notes,Reviewer.outstanding.concerns,ReviewerDecision,ReviewerDecisionReason,ReviewerDecision.checked.by,FinalDecision,FinalDecisionReason,FinalDecisionNotes,used in main text?,WOS,SCO
non-systematic,11,NA,"Comparing constitutive and induced costs of symbiont-conferred resistance to parasitoids in aphids. Ecology and Evolution 3, 706–713.","Vorburger, C., Ganesanandamoorthy, P. & Kwiatkowski, M.","(Vorberger et al., 2013)",NA,Experimental,NA,NA,NA,Interspecific,NA,NA,Host-symbiont,Ecology and Evolution,3,3,706-713,2013,10.1002/ece3.491,NA,NA,NA,black bean aphid (Aphis fabae); Hamiltonella defensa,NA,NA,NA,Chemical defence traits H. defensa against parasitoid infection,NA,NA,NA,NA,"Infection with H. defensa incurs fitness costs on hosts, but provides protection from parasitoid infection, so the net outcome of the interaction is context-dependent, based on the presence-absence of parasitoids",NA,NA,NA,NA,NA,NA,Include,,Non-systematically sources article,Host-sym,y,y
non-systematic,12,NA,"Symbiont interactions with non-native hosts limit the formation of new symbioses. BMC Evolutionary Biology 18, 27.","Niepoth, N., Ellers, J. & Henry, L.M. ","(Niepoth et al., 2018)",NA,Experimental,NA,NA,NA,Interspecific,NA,NA,Host-symbiont,BMC evolutionary biology,18,1,01-dec,2018,10.1186/s12862-018-1143-z,NA,NA,NA,pea aphid (Acyrthosiphon pisum); Hamiltonella defensa,NA,NA,NA,Chemical defence traits H. defensa against parasitoid infection,NA,NA,NA,NA,Infection with different strains of H. defensa incurs different levels of protectiveness and of fitness costs on hosts,NA,NA,NA,NA,NA,NA,Include,,Non-systematically sources article,Host-sym,y,y
non-systematic,13,NA,The fine line between mutualism and parasitism: complex effects in a cleaning symbiosis demonstrated by multiple field experiments,"Brown, B. L., Creed, R. P., Skelton, J., Rollins, M. A., & Farrell, K. J.","(Brown et al., 2012)",NA,Experimental,NA,NA,NA,Interspecific,NA,NA,Host-symbiont,Oecologia,170,1,199-207,2012,10.1007/s00442-012-2280-5,NA,NA,NA,New River crayfish (Cambarus chasmodactylus); Cambarincola ingens,NA,NA,NA,Feeding behaviour of symbiont,NA,NA,NA,NA,Mutualistic symbiont can begin feeding on the hosts gills and cause gill scarring when they at high densities,NA,NA,NA,NA,NA,NA,Include,,Non-systematically sources article,Host-sym,y,y
MA264,14,RR,Ontogenetic shifts in a freshwater cleaning symbiosis: consequences for hosts and their symbionts,"Thomas, Michael J. and Creed, Robert P. and Skelton, James and Brown, Bryan L.","(Thomas et al., 2016)",Experimental,Observational; Experimental,Interspecific,Inter-specific (>2 species),the symbiont composition changes with the size difference at different life changes.,Interspecific,host-symbiont,Host-symbiont,Host-symbiont,ECOLOGY,97,6,1507-1517,2016,10.1890/15-1443.1,12/27/2019 8:49:51,RR,Cambarus bartonii (cray fish) and Cambarincola philadelphicus and Cambarincola ingens (  branchiobdellidan annelids ),common crayfish (Cambarus bartonii); Cambarincola philadelphicus; Cambarincola ingens,size or ontogenic stage,host (cray fish),"No, it is about the variation in size at different life stages",Body size of C. bartonii; Feeding behaviour of symbiont,the study shows a rapid removal rate of the worms by smaller hosts. ALso there was  gill scarring by the worms on the hosts but dont have a net negative effect.But in general it is stated about the interaction that the worms can turn parasites when there is food limitation.,the dominating symbiotic species changes with host ontogeny due to removal of the symbiont species by host differentially at different life stages.,the shift in symbiont composition was due to ability of the symbionts to avoid removal by host which inturn depends on the size of the specific symbiont species and the specific life stage (size) of the host,no such information obtained from the paper,"Mutualistic symbiont can begin feeding on the hosts gills when they are food limited, particularly smaller crayfish who are less able to remove them",no,,,No,"The trait varies between species, not within-species",MW/NM,Include,,"Conflicting decision made [NM: I think it may be included, as there is an interaction (host-symbiont), variation (body size), and in smaller crayfish Cambarincola philadelphicus did some damage to the host (mutualistic interaction became more antagonistic). It is not the primary focus, and not a super clear shift, but it does seem like the symbionts can become damaging parasites depending on the size/state of the host car, MW: Agree with NM]",Host-sym,y,
MA156,15,ET,Friend or foe: Inter-specific interactions and conflicts of interest within the family,"De Gasperin, O. and Kilner, R.M.","(De Gasperin and Kilner, 2015)",Experimental,Experimental,Intraspecific,Inter-specific (2 species),Species,Inter- and Intraspecific,competition-cooperation,Host-symbiont,Host-symbiont; Male-female; Parent-offspring,Ecological Entomology,40,6,787-795,2015,10.1111/een.12259,11/22/2019 1:13:09,ET,"Poecilochirus carabi, Nicrophorus vespilloides",Poecilochirus carabi; Nicrophorus vespilloides,The duration of the mite’s life cycle closely matches the duration of parental care of the burying beetles.,Both,Strategies are inherited.,Behavioural phenotype of P. carabi (feeding); Sex/age differences in N. vespilloides linked to trait differences,Yes,"Mutualistic to antagonistic, Antagonistic to mutualistic",Density of parasite,High densities of parasites reduce reproductive success of beetles,"Variation in P. carabi feeding behaviour shifts mutualistic interaction towards antagonistic, linked with density; Balance of male-female and parent-offspring interaction shifts as a result of mite infection, due to differential effects of infection on fitness",No,,,Yes,,NM,Include,,Agree with reviewer decision,Host-sym; Male-fem,,y
non-systematic,16,NA,Experimental evidence that partner choice is a driving force in the payoff distribution among cooperators or mutualists: the cleaner fish case,"Bshary, R., & Grutter, A. S.","(Bshary and Grutter, 2002)",NA,Experimental,NA,NA,NA,Interspecific,,,Host-symbiont,Ecology Letters,5,1,130-136,2002,10.1046/j.1461-0248.2002.00295.x,NA,NA,NA,cleaner wrasse (Labroides dimidiatus),NA,NA,NA,"Behavioural phenotype (cleaning service quality, host exploitation)",NA,NA,NA,NA,"Individuals differ in the quality of service they provide to hosts, which may depend on the level of choice the hosts can exert",NA,NA,NA,NA,NA,NA,Include,,Non-systematically sources article,Host-sym,y,y
non-systematic,17,NA,Choosy reef fish select cleaner fish that provide high-quality service,"Bshary, R., & Schäffer, D.","(Bshary and Schäffer, 2002)",NA,Experimental,NA,NA,NA,Interspecific,,,Host-symbiont,Animal Behaviour,63,3,557-564,2002,10.1006/anbe.2001.1923,NA,NA,NA,"longnosed parrotfish (Hipposcarus harid); cleaner wrasse (Labroides dimidiatus),",NA,NA,NA,"Behavioural phenotype of L. dimidiatus (cleaning service quality, host exploitation); Behavioural phenotype of H. harid (movement, range, partner switching)",NA,NA,NA,NA,"Wider ranging individuals hosts (clients) can switch between cleaner symbionts, so may receive better service",NA,NA,NA,NA,NA,NA,Include,,Non-systematically sources article,Host-sym,y,y
non-systematic,18,NA,A shift to parasitism in the jellyfish symbiont Symbiodinium microadriaticum,"Sachs, J. L., & Wilcox, T. P.","(Sachs and Wilcox, 2006)",NA,Experimental,NA,NA,NA,Interspecific,,,Host-symbiont,Proceedings of the Royal Society B: Biological Sciences,273,1585,425-429,2006,10.1098/rspb.2005.3346,NA,NA,NA,upside-down jellyfish (Cassiopea xamachana); Symbiodinium microadriaticum ,NA,NA,NA,"Variation in symbiont algae proliferation rate, dispersal and benefits provided for hosts",NA,NA,NA,NA,"Experimental manipulation of transmission mechanism of algae among hosts favored parasitic traits, and an evolutionary shift towards a parasitic strain",NA,NA,NA,NA,NA,NA,Include,,Non-systematically sources article,Host-sym,y,y
MA76,19,ET,Cooperation and conflict in ant foundress associations: insights from geographical variation,"Helms Cahan, S","(Helms Cahan, 2001)",Experimental,Experimental,Intraspecific,Intra-specific (between populations),"Individuals, Populations",Intraspecific,competition-cooperation,Competition-cooperation,Competition-cooperation,ANIMAL BEHAVIOUR,61,4,819-825,2001,10.1006/anbe.2000.1671,11/21/2019 22:30:34,ET,Messor pergandel,desert seed-harvester ant (Messor pergandei),Behavioural phenotype,,No,"Behavioural phenotype of female foundresses (sociality, aggression, resource investment in colony)",Yes,"Mutualistic to antagonistic, Antagonistic to mutualistic",Social,Investment,"Variation between regions in social and nonsocial phenotypes in cooperative-competitive interactions with other females, with both types showing some change in their level of sociability/aggression based on the type of female it was interacting with",Yes,"Non-social Foundresses shifted towards cooperation (regarding investment decisions) when in social context, whereas social Foundresses shifted towards competition.",,Yes,,NM,Include,,Agree with reviewer decision,Coop-comp,y,y
MA246,20,UE,Models of density-dependent genic selection and a new rock-paper-scissors social system,"Sinervo, Barry and Heulin, Benoit and Surget-Groba, Yann and Clobert, Jean and Miles, Donald B. and Corl, Ammon and Chaine, Alexis and Davis, Alison","(Sinervo et al., 2007)","Observational, Experimental, Modelling/theory, Review",Observational; Experimental; Modelling/theory,Intraspecific,Intra-specific (within population),Individuals,Intraspecific,competition-cooperation,"Male-female, Competition-cooperation",Male-female; Competition-cooperation,AMERICAN NATURALIST,170,5,663-680,2007,10.1086/522092,44014.32902,UE,"Lacerta vivipara, and genus Uta",Viviparous lizard (Lacerta vivipara); Side-blotched lizards (genus Uta),"3 alleles (o,y, b)","Lacerta vivipara, and genus Uta","yes, three alleles, single locus, but also three recognition genes which are physically not linked (""coupled by correlational selection into a social supergene"")","Morphological, physiological, behavioural morphs of male L. vivipara, linked by composition of genetic alleles","yes, the different alleles are coupled to different behaviours, one is cooperative, the others are not","cyclic (rock, paper, scissors)",negative frequency depenent selection,ever changing frequencies of a particular morph (but stable cycles),"Morphs show varying levels of cooperation-conflict between conspecifics and sexes, where there is temporal variation in composition of morphs due to the relative success of each morph in a rock-paper-scissors dynamic","yes, different genes and different behavioural (social) niches",,it is cyclic- very cool,Yes,,NM,Include,,Agree with reviewer decision,Coop-comp,y,y
MA106,21,BC,Dominance hierarchies in group-living cleaning gobies: causes and foraging consequences,"Whiteman, EA and Cote, IM","(Whiteman and Côté, 2004)",Experimental,Experimental,Intraspecific,Intra-specific (within population),Individuals,Intraspecific,competition-cooperation,Competition-cooperation,Competition-cooperation,ANIMAL BEHAVIOUR,67,2,239-247,2004,10.1016/j.anbehav.2003.04.006,12/24/2019 10:52:29,BC,,broadstripe goby (Elacatinus prochilos),,Elacatinus prochilos,no,"Body size, behavioural phenotype (aggression)",yes,Mutualistic to antagonistic,presence/absence of larger individuals,,"Variation in size is associated with increased antagonism to other individuals, less cooperation in the formation of stable social hierarchies to occupy and share resources on sponge habitat patches","yes, the maintenance of individual-level traits; niche conformance",,no,Yes,,NM,Include,,"Agree with reviewer decision, size variation is associated with increased antagonism to other individuals, less cooperation in the formation of stable social hierarchies to occupy and share resources on sponge habitat patches.",Coop-comp,y,
MA120,22,JW,Endocrinology of sociality: Comparisons between sociable and solitary individuals within the same population of African striped mice,"Schoepf, Ivana and Schradin, Carsten","(Schoepf and Schradin, 2013)",Experimental,Experimental,Intraspecific,Intra-specific (within population),Individuals,Intraspecific,competition-cooperation,Competition-cooperation,Competition-cooperation,HORMONES AND BEHAVIOR,64,1,89-94,2013,10.1016/j.yhbeh.2013.04.011,1/28/2020 0:05:02,JW,African striped mouse (Rhabdomys pumilio),African striped mouse (Rhabdomys pumilio),social flexibility (solitary vs group living and reproductive tactics),African striped mouse (Rhabdomys pumilio),NA,"Behavioural phenotype (sociality, solitary or group living)",Yes,Antagonistic to mutualistic,"population density (ecological), with testosterone and corticosterone as the proximate cause","Environmental change can impact group-living and physiological mechanisms, with further effects on behavior and fitness","Variation in living strategy is associated with different levels of social cooperation-competition, driven by variation in population density and reproductive competition",Yes,NA,No,Yes,,NM,Include,,Agree with reviewer decision,Coop-comp,y,
MA375,23,BC,The extended personality: indirect effects of behavioural syndromes on the behaviour of others in a group-living cichlid,"Hamilton, Ian M. and Ligocki, Isaac Y.","(Hamilton and Ligocki, 2012)",Experimental,Experimental,Intraspecific,Intra-specific (within population),,Intraspecific,competition-cooperation,"Male-female, Competition-cooperation",Male-female; Competition-cooperation,ANIMAL BEHAVIOUR,84,3,659-664,2012,10.1016/j.anbehav.2012.06.022,12/23/2019 19:08:52,BC,NA,daffodil cichlid (Neolamprologus pulcher),Agressive /submissive behaviour,Neolamprologus pulcher,no,Behavioural phenotype (aggression),"no, is not investigated. ",,NA,NA,Variation in the aggression at an individual level is associated with variation in the level of cooperation-competition within social groups,niche conformance,NA,NA,Maybe,There is no shift in the quality of the interaction,NM,Include,,"Considered the intraspecific trait variation to be the level of aggression between indivduals, and this alters the level of competition-cooperation within the social groups",Coop-comp,y,y
MA32,24,BC,"Behavioural type, status and social context affect behaviour and resource allocation in cooperatively breeding cichlids","Riebli, Thomas and Taborsky, Michael and Chervet, Noemie and Apolloni, Nadine and Zuercher, Yvonne and Heg, Dik","(Riebli et al., 2012)",Experimental,Experimental,Intraspecific,Intra-specific (within population),Individuals,Intraspecific,competition-cooperation,Competition-cooperation,Competition-cooperation,ANIMAL BEHAVIOUR,84,4,925-936,2012,10.1016/j.anbehav.2012.07.017,11/24/2019 20:11:38,BC,Neolamprologus pulcher,daffodil cichlid (Neolamprologus pulcher),body size,Neolamprologus pulcher,,Behavioural phenotype of males (aggression),no,no shift,NA,NA,Variation in the aggression at an individual level is associated with variation in the level of cooperation-competition within social groups,no,NA,no,No,"There is no evidence of trait variation, There is no shift in the quality of the interaction",MW/NM,Include,,"Conflicting decision made [NM: I think it may be included, as behavioural trait variation (aggression), is influencing social interactions where competition and cooperation covary, MW: Agreed.]",Coop-comp,y,y
MA228,25,NL,Large-scale regional variation in cooperation and conflict among queens of the desert ant Messor pergandei,"Helms, K.R. and Helms Cahan, S.","(Helms and Helms Cahan, 2012)","Observational, Experimental",Observational; Experimental,Intraspecific,"Intra-specific (within population), Intra-specific (between populations)",Populations,Intraspecific,competition-cooperation,Competition-cooperation,Competition-cooperation,Animal Behaviour,84,3,499-507,2012,10.1016/j.anbehav.2012.05.019,43863.90838,NL,Messor pergandei,desert seed-harvester ant (Messor pergandei),"polygyny vs monogyny, behavioural phenotype, geographic variation, ",Messor pergandei,yes. Genetic differences correlaAC21:AF26te with geographic differences,"Behavioural phenotype of female foundresses (sociality, aggression), linked to genetic variation","yes, queens from polygynous colonies fought less in an experimental setup than queens from  monogynous colonies  ",Mutualistic to antagonistic,Behavioural phenotype of males (AC21:AF26,"homogeneity within colony, adaptation to environment, gene flow,natural selection",Variation between regions in social and nonsocial phenotypes in cooperative-competitive interactions with other females,"yes, niche variation, but on population-level rather that individual level",,no,Yes,,NM,Include,,Agree with reviewer decision,Coop-comp,,y
MA301,26,NL,Reconciling with Valuable Partners by Longtailed Macaques,"Cords, M. and Thurnheer, S.","(Cords and Thurnheer, 1993)",NA,Experimental,Intraspecific,"Intra-specific (within population), NA",NA,Intraspecific,competition-cooperation,NA,Competition-cooperation,Ethology,93,4,315-325,1993,10.1111/j.1439-0310.1993.tb01212.x,44045.16089,NL,Macaca fascicularis,longtailed macaque (Macaca fascicularis),,Macaca fascicularis,NA,Variation in individual 'value' related to access to food resources,NA,NA,NA,NA,"Individuals of higher 'value' are more likely to be reconciled with following an aggressive conflict, i.e. variation in conflict-cooperation linked to individual variation in resource-related traits",NA,No full text available,NA,Maybe,Full-text not accessible/not in English or German,NM,Include,,"Fulltext located, study meets criteria for inclusion (trait variation related to variation in 'value' to conspecifics, individuals more likely to reconcile to form cooperative relationships with higher value individuals following aggressive competitive interactions)",Coop-comp,y,y
